district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
คลองสาน,2023-01-01,30.0,26.0,114.6,0.0,51.5,1015.3
คลองสาน,2023-01-02,35.3,26.2,168.7,0.0,53.2,1015.6
คลองสาน,2023-01-03,38.6,27.3,58.5,0.0,56.1,1015.0
คลองสาน,2023-01-04,30.6,28.0,178.2,0.0,52.3,1014.5
คลองสาน,2023-01-05,32.7,28.0,85.0,0.0,55.1,1013.9
คลองสาน,2023-01-06,25.5,27.4,83.6,0.0,53.7,1014.5
คลองสาน,2023-01-07,25.4,26.1,99.9,0.0,49.2,1014.1
คลองสาน,2023-01-08,45.5,27.1,113.5,0.0,49.7,1013.0
คลองสาน,2023-01-09,55.1,28.3,195.9,0.0,52.7,1012.9
คลองสาน,2023-01-10,45.0,28.6,164.5,0.0,60.0,1011.7
คลองสาน,2023-01-11,24.3,26.5,86.7,0.0,72.3,1010.9
คลองสาน,2023-01-12,34.3,27.2,108.2,0.0,74.3,1010.3
คลองสาน,2023-01-13,29.1,28.3,203.7,0.0,75.3,1011.0
คลองสาน,2023-01-14,25.0,28.3,173.5,0.0,76.8,1009.4
คลองสาน,2023-01-15,28.9,28.5,221.6,0.0,65.6,1008.7
คลองสาน,2023-01-16,29.2,28.2,191.7,0.0,69.7,1010.5
คลองสาน,2023-01-17,33.4,28.6,113.4,0.0,62.8,1011.9
คลองสาน,2023-01-18,33.4,28.1,104.6,0.0,55.4,1013.8
คลองสาน,2023-01-19,31.1,27.5,115.1,0.0,50.7,1013.6
คลองสาน,2023-01-20,35.7,27.8,82.9,0.0,49.8,1013.2
คลองสาน,2023-01-21,41.4,27.9,162.9,0.0,48.0,1012.2
คลองสาน,2023-01-22,44.8,28.1,126.0,0.0,43.7,1010.8
คลองสาน,2023-01-23,57.7,29.4,118.6,0.0,43.3,1009.8
คลองสาน,2023-01-24,56.7,29.6,79.3,0.0,45.4,1010.6
คลองสาน,2023-01-25,28.0,25.5,107.1,0.0,48.5,1012.7
คลองสาน,2023-01-26,52.9,26.8,200.9,0.0,48.4,1011.6
คลองสาน,2023-01-27,58.1,28.1,140.6,0.0,47.1,1010.9
คลองสาน,2023-01-28,27.8,26.1,95.3,0.0,50.6,1011.9
คลองสาน,2023-01-29,32.4,24.9,70.4,0.0,46.5,1013.3
คลองสาน,2023-01-30,43.1,23.6,188.5,0.0,43.4,1014.6
คลองสาน,2023-01-31,78.0,25.4,221.9,0.0,43.6,1011.9
