district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
คลองสามวา,2023-01-01,37.8,0.3,64.9,23.9,66.0,1015.9
คลองสามวา,2023-01-02,41.8,0.3,85.2,24.5,66.5,1015.9
คลองสามวา,2023-01-03,35.6,0.4,58.5,26.2,65.7,1015.6
คลองสามวา,2023-01-04,30.2,0.4,52.2,27.4,59.2,1015.0
คลองสามวา,2023-01-05,33.5,0.4,57.4,26.1,67.7,1014.5
คลองสามวา,2023-01-06,28.1,0.6,68.2,25.8,66.2,1015.0
คลองสามวา,2023-01-07,30.1,0.5,98.2,24.9,59.2,1014.6
คลองสามวา,2023-01-08,47.5,0.4,57.8,26.4,57.0,1013.6
คลองสามวา,2023-01-09,54.1,0.4,46.0,27.7,58.2,1013.3
คลองสามวา,2023-01-10,44.5,0.5,94.0,27.7,68.9,1012.2
คลองสามวา,2023-01-11,22.5,0.6,159.0,25.1,83.9,1011.6
คลองสามวา,2023-01-12,33.1,0.4,142.2,26.8,78.4,1010.9
คลองสามวา,2023-01-13,44.4,0.5,185.7,27.5,79.9,1011.5
คลองสามวา,2023-01-14,31.6,0.6,220.0,28.0,76.6,1009.8
คลองสามวา,2023-01-15,33.9,0.5,192.0,27.9,72.4,1009.1
คลองสามวา,2023-01-16,40.1,0.4,184.9,27.5,68.6,1011.0
คลองสามวา,2023-01-17,48.7,0.3,63.0,17.5,51.4,675.1
คลองสามวา,2023-01-18,37.7,0.0,0.0,0.0,0.0,0.0
คลองสามวา,2023-01-19,34.3,0.0,0.0,0.0,0.0,0.0
คลองสามวา,2023-01-20,41.7,0.0,0.0,0.0,0.0,0.0
คลองสามวา,2023-01-21,46.8,0.0,0.0,0.0,0.0,0.0
คลองสามวา,2023-01-22,54.2,0.0,0.0,0.0,0.0,0.0
คลองสามวา,2023-01-23,73.3,0.1,28.5,14.2,19.5,462.5
คลองสามวา,2023-01-24,63.5,0.7,68.0,27.0,61.1,1011.2
คลองสามวา,2023-01-25,34.2,0.6,62.8,24.2,53.7,1013.2
คลองสามวา,2023-01-26,57.5,0.3,59.4,25.2,58.6,1012.0
คลองสามวา,2023-01-27,58.6,0.4,88.3,26.0,60.9,1011.5
คลองสามวา,2023-01-28,35.7,0.7,71.5,24.0,61.9,1012.5
คลองสามวา,2023-01-29,39.5,0.8,70.0,22.9,58.3,1013.9
คลองสามวา,2023-01-30,51.7,0.4,98.7,22.4,54.5,1015.0
คลองสามวา,2023-01-31,71.5,0.3,95.4,24.4,52.2,1012.2
คลองสามวา,2023-02-01,99.7,0.3,117.2,26.5,57.3,1010.3
คลองสามวา,2023-02-02,104.2,0.3,104.7,28.4,58.0,1010.0
คลองสามวา,2023-02-03,49.2,1.0,215.0,29.1,69.0,1010.5
คลองสามวา,2023-02-04,42.5,1.0,191.4,28.6,77.1,1009.9
คลองสามวา,2023-02-05,32.3,0.5,191.8,27.7,79.3,1009.9
คลองสามวา,2023-02-06,26.2,1.1,228.0,28.1,80.4,1009.8
คลองสามวา,2023-02-07,24.1,1.5,224.0,28.6,75.7,1010.1
คลองสามวา,2023-02-08,26.9,1.3,226.0,29.2,74.4,1010.0
คลองสามวา,2023-02-09,24.7,1.8,220.9,29.1,76.7,1010.0
คลองสามวา,2023-02-10,20.6,1.5,216.7,29.0,74.7,1010.6
คลองสามวา,2023-02-11,21.3,1.6,223.3,29.4,71.2,1010.5
คลองสามวา,2023-02-12,21.3,1.8,222.4,29.4,73.5,1010.9
คลองสามวา,2023-02-13,25.3,1.6,218.2,29.1,75.6,1010.6
คลองสามวา,2023-02-14,30.5,1.1,213.3,29.7,74.2,1010.2
คลองสามวา,2023-02-15,44.5,0.6,180.1,25.5,93.2,1011.9
คลองสามวา,2023-02-16,37.9,0.6,93.2,25.9,80.4,1013.7
คลองสามวา,2023-02-17,48.0,0.6,53.6,26.3,68.5,1013.8
คลองสามวา,2023-02-18,60.0,0.5,62.0,27.3,0.0,1013.0
คลองสามวา,2023-02-19,72.1,0.3,62.6,28.5,61.3,1011.7
คลองสามวา,2023-02-20,50.8,0.5,95.3,28.2,60.6,1012.0
คลองสามวา,2023-02-21,50.4,0.4,67.8,27.9,60.8,1013.0
คลองสามวา,2023-02-22,58.1,0.4,75.6,28.0,60.7,1013.0
คลองสามวา,2023-02-23,62.9,0.3,77.2,28.5,55.8,1012.2
คลองสามวา,2023-02-24,72.8,0.4,87.5,28.8,56.9,1011.5
คลองสามวา,2023-02-25,50.0,1.1,87.7,27.5,53.1,1014.8
คลองสามวา,2023-02-26,41.8,0.9,69.5,25.8,55.9,1018.0
คลองสามวา,2023-02-27,51.8,0.6,56.3,25.2,58.0,1017.6
