district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
คันนายาว,2023-01-01,31.3,0.7,83.0,24.5,61.2,1016.0
คันนายาว,2023-01-02,33.2,0.6,135.7,24.9,62.6,1016.2
คันนายาว,2023-01-03,28.9,0.7,95.9,26.7,62.2,1015.6
คันนายาว,2023-01-04,26.5,0.6,74.6,27.4,57.2,1015.0
คันนายาว,2023-01-05,31.3,0.6,74.6,27.0,61.5,1014.6
คันนายาว,2023-01-06,22.1,0.9,91.6,26.6,60.5,1015.2
คันนายาว,2023-01-07,22.7,0.8,122.1,25.4,55.0,1014.8
คันนายาว,2023-01-08,39.2,0.6,67.7,26.6,53.6,1013.6
คันนายาว,2023-01-09,45.1,0.6,62.3,27.8,56.0,1013.4
คันนายาว,2023-01-10,40.0,0.8,105.1,28.2,64.4,1012.3
คันนายาว,2023-01-11,20.9,0.9,140.8,25.7,80.2,1011.7
คันนายาว,2023-01-12,30.2,0.5,154.5,26.8,79.4,1010.9
คันนายาว,2023-01-13,36.7,0.5,198.7,27.8,79.2,1011.6
คันนายาว,2023-01-14,22.7,0.5,220.2,28.3,76.8,1010.0
คันนายาว,2023-01-15,26.5,0.4,267.5,28.1,70.2,1009.2
คันนายาว,2023-01-16,35.1,0.4,210.6,27.6,68.6,1011.0
คันนายาว,2023-01-17,44.8,0.7,141.2,27.8,68.1,1012.6
คันนายาว,2023-01-18,34.0,0.9,130.2,27.1,62.1,1014.5
คันนายาว,2023-01-19,29.1,0.7,121.7,26.3,59.2,1014.2
คันนายาว,2023-01-20,35.3,0.7,103.1,26.4,58.2,1013.8
คันนายาว,2023-01-21,35.3,0.6,115.3,27.0,52.1,1012.7
คันนายาว,2023-01-22,48.0,0.5,141.8,26.5,53.0,1011.4
คันนายาว,2023-01-23,61.5,0.5,119.5,27.9,53.0,1010.3
คันนายาว,2023-01-24,59.3,0.9,97.3,28.0,55.7,1011.2
คันนายาว,2023-01-25,26.1,1.0,125.2,24.5,53.9,1013.3
คันนายาว,2023-01-26,46.2,0.5,150.9,25.8,52.8,1012.1
คันนายาว,2023-01-27,56.6,0.7,118.9,26.9,55.3,1011.6
คันนายาว,2023-01-28,31.3,1.0,105.1,24.6,58.3,1012.6
คันนายาว,2023-01-29,33.9,1.0,103.3,23.4,54.9,1014.1
คันนายาว,2023-01-30,40.3,0.6,110.9,22.6,51.7,1015.1
คันนายาว,2023-01-31,60.9,0.4,209.2,24.9,47.5,1012.4
คันนายาว,2023-02-01,88.9,0.4,157.6,26.9,51.6,1010.5
คันนายาว,2023-02-02,99.3,0.5,159.9,28.7,55.8,1010.2
คันนายาว,2023-02-03,43.8,0.5,233.7,28.9,69.2,1010.7
คันนายาว,2023-02-04,32.6,0.6,221.4,28.6,78.1,1010.1
คันนายาว,2023-02-05,25.1,0.5,234.8,27.9,78.6,1010.1
คันนายาว,2023-02-06,18.6,0.7,238.3,28.7,77.6,1010.0
คันนายาว,2023-02-07,16.6,0.7,227.1,28.7,75.4,1010.3
คันนายาว,2023-02-08,18.9,0.7,223.1,29.1,74.7,1010.0
คันนายาว,2023-02-09,17.8,0.7,234.0,29.0,77.1,1010.2
คันนายาว,2023-02-10,14.0,0.8,235.6,29.0,74.9,1010.7
คันนายาว,2023-02-11,14.6,0.8,232.0,29.3,71.6,1010.7
คันนายาว,2023-02-12,16.0,0.8,232.2,29.3,74.0,1010.9
คันนายาว,2023-02-13,19.2,0.8,228.8,29.1,75.9,1010.7
คันนายาว,2023-02-14,22.2,0.7,222.0,29.6,74.8,1010.3
คันนายาว,2023-02-15,42.8,0.5,211.0,25.7,94.0,1011.9
คันนายาว,2023-02-16,34.4,0.7,145.3,26.1,78.7,1013.9
คันนายาว,2023-02-17,39.1,0.9,93.4,26.7,66.1,1013.9
คันนายาว,2023-02-18,51.9,0.7,54.3,27.5,57.7,1012.9
คันนายาว,2023-02-19,61.6,0.5,136.2,29.0,56.7,1011.7
คันนายาว,2023-02-20,45.1,0.9,131.6,28.5,58.5,1012.0
คันนายาว,2023-02-21,41.8,0.7,94.1,28.6,57.3,1013.0
คันนายาว,2023-02-22,52.9,0.7,117.2,28.7,56.2,1013.0
คันนายาว,2023-02-23,54.2,0.5,178.7,29.0,52.1,1012.1
คันนายาว,2023-02-24,65.5,0.6,109.9,29.6,51.8,1011.6
คันนายาว,2023-02-25,45.9,1.1,116.8,28.0,50.9,1014.9
คันนายาว,2023-02-26,36.1,1.1,111.8,26.0,53.9,1018.0
คันนายาว,2023-02-27,42.9,0.8,106.0,25.6,55.3,1017.7
คันนายาว,2023-02-28,60.5,0.6,101.6,27.2,52.1,1016.0
คันนายาว,2023-03-01,58.1,0.5,93.3,29.2,51.4,1014.7
คันนายาว,2023-03-02,55.8,0.8,116.2,30.2,49.8,1014.4
คันนายาว,2023-03-03,44.1,0.7,112.0,28.8,48.5,1015.9
คันนายาว,2023-03-04,64.0,0.8,107.8,28.1,53.4,1016.7
คันนายาว,2023-03-05,60.7,0.7,113.7,27.8,56.3,1016.3
คันนายาว,2023-03-06,67.7,0.7,132.1,28.5,55.7,1014.9
คันนายาว,2023-03-07,91.1,0.5,157.5,29.2,57.1,1014.0
