district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
จตุจักร,2023-01-01,31.8,0.7,159.3,24.7,57.8,1016.6
จตุจักร,2023-01-02,31.4,0.5,131.4,25.1,58.3,1016.8
จตุจักร,2023-01-03,31.0,0.6,141.4,26.5,58.2,1016.3
จตุจักร,2023-01-04,21.6,0.7,131.6,27.0,56.2,1015.6
จตุจักร,2023-01-05,23.3,0.7,138.1,27.0,57.9,1015.2
จตุจักร,2023-01-06,22.6,0.7,166.0,26.7,57.4,1015.8
จตุจักร,2023-01-07,23.9,0.7,179.7,25.6,52.3,1015.4
จตุจักร,2023-01-08,39.0,0.7,154.5,26.3,52.7,1014.3
จตุจักร,2023-01-09,47.5,0.7,140.7,27.6,55.6,1014.1
จตุจักร,2023-01-10,42.2,0.8,185.5,27.9,63.0,1012.9
จตุจักร,2023-01-11,25.6,0.9,250.4,26.2,72.9,1012.2
จตุจักร,2023-01-12,32.0,0.8,252.2,27.4,71.3,1011.4
จตุจักร,2023-01-13,39.2,0.8,240.8,28.4,71.9,1012.0
จตุจักร,2023-01-14,26.2,0.8,182.2,28.8,67.8,1010.4
จตุจักร,2023-01-15,26.8,0.7,139.6,28.4,64.3,1009.7
จตุจักร,2023-01-16,35.3,0.7,196.8,28.3,62.7,1011.6
จตุจักร,2023-01-17,41.6,0.7,227.1,28.2,62.3,1013.1
จตุจักร,2023-01-18,36.2,1.0,234.0,27.7,57.2,1015.1
จตุจักร,2023-01-19,32.4,0.7,222.6,27.2,56.5,1014.2
จตุจักร,2023-01-20,30.8,0.7,198.1,26.8,56.1,1014.7
จตุจักร,2023-01-21,36.7,0.7,145.8,26.7,53.1,1013.4
จตุจักร,2023-01-22,42.1,0.6,163.1,26.9,50.5,1012.0
จตุจักร,2023-01-23,56.2,0.5,135.2,27.8,51.3,1011.0
จตุจักร,2023-01-24,54.7,0.7,156.2,28.0,53.6,1011.8
จตุจักร,2023-01-25,28.7,1.0,188.5,24.5,52.9,1014.0
จตุจักร,2023-01-26,47.2,0.6,146.5,25.8,52.4,1012.7
จตุจักร,2023-01-27,56.8,0.6,183.8,27.3,52.3,1012.1
จตุจักร,2023-01-28,31.2,0.8,196.1,25.1,55.5,1013.2
จตุจักร,2023-01-29,31.7,0.7,168.4,23.7,52.1,1014.6
จตุจักร,2023-01-30,38.4,0.7,133.9,22.4,48.4,1015.7
จตุจักร,2023-01-31,65.3,0.5,134.2,24.6,46.8,1012.9
จตุจักร,2023-02-01,85.2,0.4,139.2,27.2,48.2,1010.9
