district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
จอมทอง,2023-01-01,24.8,0.7,77.2,24.7,51.2,1015.9
จอมทอง,2023-01-02,30.3,0.7,85.6,24.9,51.5,1015.9
จอมทอง,2023-01-03,26.8,0.9,49.4,27.0,49.9,1015.6
จอมทอง,2023-01-04,20.9,1.0,47.1,27.3,47.2,1015.1
จอมทอง,2023-01-05,23.7,0.9,53.4,27.2,50.8,1014.6
จอมทอง,2023-01-06,16.0,1.1,57.8,27.0,48.4,1014.9
จอมทอง,2023-01-07,17.5,1.4,61.4,25.8,42.6,1014.9
จอมทอง,2023-01-08,34.8,0.8,87.3,26.5,42.6,1013.7
จอมทอง,2023-01-09,47.5,0.8,81.0,27.3,48.5,1013.5
จอมทอง,2023-01-10,31.9,1.1,53.0,28.1,53.8,1012.3
จอมทอง,2023-01-11,17.0,1.3,57.3,26.3,69.5,1011.7
จอมทอง,2023-01-12,28.2,0.5,126.0,26.5,74.8,1011.0
จอมทอง,2023-01-13,20.8,0.4,231.7,27.1,78.2,1011.6
จอมทอง,2023-01-14,16.8,0.4,236.4,27.3,78.3,1010.2
จอมทอง,2023-01-15,22.0,0.3,177.5,27.3,67.7,1009.2
จอมทอง,2023-01-16,25.0,0.4,199.2,26.9,69.5,1011.0
จอมทอง,2023-01-17,31.8,0.4,133.8,27.1,66.2,1012.5
จอมทอง,2023-01-18,28.2,1.2,110.3,27.3,0.0,1014.2
จอมทอง,2023-01-19,24.7,0.9,84.5,26.8,47.7,1014.2
จอมทอง,2023-01-20,27.2,0.8,70.8,26.8,45.2,1013.8
จอมทอง,2023-01-21,32.5,0.7,85.2,26.8,44.6,1012.8
จอมทอง,2023-01-22,47.4,0.5,101.8,26.4,46.0,1011.5
จอมทอง,2023-01-23,50.5,0.6,64.0,28.4,39.0,1010.4
จอมทอง,2023-01-24,46.5,1.2,60.4,28.5,40.9,1011.0
จอมทอง,2023-01-25,19.3,1.8,60.6,25.3,40.5,1013.1
จอมทอง,2023-01-26,49.5,0.5,85.5,25.6,44.5,1012.2
จอมทอง,2023-01-27,47.2,0.7,95.3,27.0,43.6,1011.5
จอมทอง,2023-01-28,17.9,1.6,64.0,25.8,44.5,1012.4
จอมทอง,2023-01-29,24.8,1.6,62.5,24.4,41.5,1013.8
จอมทอง,2023-01-30,35.2,1.2,50.2,23.0,37.6,1015.2
จอมทอง,2023-01-31,75.7,0.5,77.9,24.3,38.0,1012.8
จอมทอง,2023-02-01,89.2,0.2,165.4,26.3,44.5,1010.6
จอมทอง,2023-02-02,108.5,0.2,112.9,27.4,61.5,1010.2
จอมทอง,2023-02-03,34.8,0.5,246.8,28.0,71.3,1010.8
จอมทอง,2023-02-04,21.2,0.6,232.9,28.1,76.0,1010.4
จอมทอง,2023-02-05,14.0,0.5,241.8,28.1,71.7,1010.2
จอมทอง,2023-02-06,13.2,0.6,248.0,28.0,75.2,1010.2
จอมทอง,2023-02-07,13.2,0.8,243.2,27.9,75.2,1010.4
จอมทอง,2023-02-08,13.1,0.7,247.0,28.1,74.5,1010.4
จอมทอง,2023-02-09,11.8,0.9,239.6,28.2,75.1,1010.4
จอมทอง,2023-02-10,9.1,0.8,243.2,28.4,71.9,1010.9
จอมทอง,2023-02-11,9.9,0.8,238.9,28.5,69.1,1010.9
จอมทอง,2023-02-12,12.5,0.9,239.0,28.4,73.8,1011.0
จอมทอง,2023-02-13,15.3,0.8,244.0,28.1,77.1,1011.0
จอมทอง,2023-02-14,17.2,0.7,247.0,28.7,76.2,1010.6
จอมทอง,2023-02-15,33.2,0.6,195.4,25.2,88.0,1011.8
จอมทอง,2023-02-16,25.8,0.9,75.6,25.8,73.1,1013.8
จอมทอง,2023-02-17,33.8,1.1,64.2,27.0,57.0,1013.9
จอมทอง,2023-02-18,46.8,1.0,78.8,27.1,0.0,1013.2
จอมทอง,2023-02-19,52.5,0.6,82.8,28.6,49.5,1011.9
จอมทอง,2023-02-20,44.0,0.8,112.0,28.6,50.3,1012.0
จอมทอง,2023-02-21,36.2,1.0,69.0,28.6,47.2,1013.0
จอมทอง,2023-02-22,43.5,1.0,121.6,28.8,46.5,1013.0
จอมทอง,2023-02-23,56.0,0.4,174.5,28.5,51.2,1012.3
จอมทอง,2023-02-24,66.7,0.7,97.8,29.4,45.1,1011.5
จอมทอง,2023-02-25,42.0,1.8,87.8,28.3,39.7,1014.5
จอมทอง,2023-02-26,29.2,1.8,64.3,27.0,39.9,1017.8
จอมทอง,2023-02-27,39.2,1.4,55.2,26.2,41.9,1017.8
จอมทอง,2023-02-28,56.4,0.7,58.5,27.1,41.3,1016.0
จอมทอง,2023-03-01,58.3,0.7,71.0,28.9,42.2,1014.8
จอมทอง,2023-03-02,51.8,0.8,98.8,30.1,42.3,1014.4
จอมทอง,2023-03-03,39.5,1.0,94.7,29.5,35.1,1015.7
จอมทอง,2023-03-04,53.2,1.1,103.4,28.3,43.0,1016.6
จอมทอง,2023-03-05,54.4,0.9,116.7,27.9,46.0,1016.2
จอมทอง,2023-03-06,59.7,0.7,133.2,28.1,52.8,1015.0
จอมทอง,2023-03-07,81.7,0.3,183.4,28.5,55.5,1014.1
จอมทอง,2023-03-08,69.6,0.5,237.5,28.7,65.5,1013.8
จอมทอง,2023-03-09,47.3,0.8,243.1,28.5,73.2,1012.6
จอมทอง,2023-03-10,48.3,0.6,239.4,28.7,73.7,1012.2
จอมทอง,2023-03-11,38.8,0.9,238.3,28.4,77.5,1012.0
จอมทอง,2023-03-12,35.1,0.9,236.2,28.6,76.3,1012.1
จอมทอง,2023-03-13,44.8,1.2,100.0,27.7,66.5,1012.8
จอมทอง,2023-03-14,49.2,0.8,62.9,28.5,51.9,1011.5
จอมทอง,2023-03-15,43.9,0.6,223.2,28.2,68.7,1011.0
จอมทอง,2023-03-16,26.0,1.0,235.6,28.6,71.8,1012.3
จอมทอง,2023-03-17,23.3,1.0,237.9,28.7,70.7,1012.1
จอมทอง,2023-03-18,20.5,1.0,237.5,28.8,72.2,1011.0
จอมทอง,2023-03-19,21.2,1.1,234.8,29.0,72.6,1010.2
จอมทอง,2023-03-20,21.9,1.0,239.4,29.2,73.5,1009.6
จอมทอง,2023-03-21,21.5,1.1,237.6,29.2,74.3,1009.4
จอมทอง,2023-03-22,22.0,1.1,239.3,29.4,75.5,1008.1
จอมทอง,2023-03-23,15.8,1.1,239.0,29.6,75.1,1008.0
จอมทอง,2023-03-24,18.7,1.0,241.5,29.8,75.4,1008.4
จอมทอง,2023-03-25,18.2,1.0,238.3,29.7,76.3,1009.0
จอมทอง,2023-03-26,15.7,1.2,236.9,29.9,74.2,1008.7
จอมทอง,2023-03-27,15.0,1.1,240.3,29.8,74.6,1008.6
จอมทอง,2023-03-28,11.1,1.3,241.7,29.7,70.6,1010.1
จอมทอง,2023-03-29,10.9,1.1,241.4,30.0,65.2,1011.0
จอมทอง,2023-03-30,11.2,1.1,241.7,29.7,72.2,1009.5
จอมทอง,2023-03-31,15.4,1.3,240.4,30.0,72.2,1009.0
จอมทอง,2023-04-01,18.9,1.4,241.0,30.1,72.4,1008.9
จอมทอง,2023-04-02,22.1,1.4,239.7,30.1,71.9,1008.7
จอมทอง,2023-04-03,33.0,1.0,242.5,30.8,62.0,1007.9
จอมทอง,2023-04-04,43.8,1.0,242.3,30.9,61.9,1007.5
จอมทอง,2023-04-05,44.0,0.8,232.8,30.9,56.8,1007.6
จอมทอง,2023-04-06,43.2,0.8,246.0,31.2,63.3,1008.4
จอมทอง,2023-04-07,23.9,0.8,251.1,29.5,72.7,1009.9
จอมทอง,2023-04-08,17.3,0.8,250.0,30.1,71.9,1011.8
จอมทอง,2023-04-09,16.6,0.8,253.3,30.7,71.0,1012.3
จอมทอง,2023-04-10,13.7,1.1,246.6,30.6,70.7,1010.6
จอมทอง,2023-04-11,29.7,1.0,246.1,31.1,70.1,1009.4
จอมทอง,2023-04-12,33.1,1.1,246.8,30.8,75.4,1008.3
จอมทอง,2023-04-13,40.9,0.8,250.0,31.3,69.2,1008.1
จอมทอง,2023-04-14,47.5,0.8,248.0,31.2,67.9,1007.9
จอมทอง,2023-04-15,58.4,0.8,249.8,31.3,71.6,1007.2
จอมทอง,2023-04-16,57.0,0.7,231.9,29.6,79.9,1007.6
จอมทอง,2023-04-17,51.2,0.6,256.4,30.5,69.6,1008.4
จอมทอง,2023-04-18,46.3,1.0,248.1,30.9,70.2,1009.1
จอมทอง,2023-04-19,50.2,0.9,239.1,31.5,69.0,1006.6
จอมทอง,2023-04-20,45.5,0.9,230.8,31.9,60.3,1004.8
จอมทอง,2023-04-21,56.6,0.9,226.4,32.0,59.1,1005.0
จอมทอง,2023-04-22,53.0,0.8,221.6,32.3,61.3,1005.6
จอมทอง,2023-04-23,35.8,1.2,240.2,31.7,67.1,1007.6
จอมทอง,2023-04-24,22.1,0.7,242.7,31.8,64.5,1009.8
จอมทอง,2023-04-25,17.5,0.8,217.8,31.7,61.4,1008.3
จอมทอง,2023-04-26,21.7,0.5,177.8,27.4,77.4,1009.2
จอมทอง,2023-04-27,36.8,0.6,178.8,29.8,70.8,1009.3
จอมทอง,2023-04-28,21.5,0.7,242.1,31.2,67.7,1009.2
จอมทอง,2023-04-29,23.3,1.0,241.4,31.6,68.6,1008.1
จอมทอง,2023-04-30,18.7,0.7,141.5,29.1,71.6,1008.3
จอมทอง,2023-05-01,27.5,0.7,175.3,30.3,63.8,1008.9
จอมทอง,2023-05-02,19.3,0.8,241.5,31.1,70.1,1009.3
จอมทอง,2023-05-03,15.1,0.9,231.6,31.5,64.6,1010.3
จอมทอง,2023-05-04,16.7,0.9,242.8,30.5,72.4,1008.9
จอมทอง,2023-05-05,15.7,0.7,174.9,28.7,82.4,1008.5
จอมทอง,2023-05-06,17.2,0.9,139.9,29.9,74.5,1008.3
จอมทอง,2023-05-07,18.3,1.1,164.9,28.7,79.2,1007.5
จอมทอง,2023-05-08,17.5,1.2,168.9,29.3,73.2,1007.1
จอมทอง,2023-05-09,19.9,1.0,165.9,30.4,73.1,1007.5
จอมทอง,2023-05-10,15.6,1.1,147.4,31.3,66.8,1007.9
จอมทอง,2023-05-11,12.3,0.5,249.0,31.0,75.1,1008.0
จอมทอง,2023-05-12,11.3,0.8,238.9,31.2,74.0,1009.4
จอมทอง,2023-05-13,13.9,0.6,186.6,30.5,77.9,1009.5
จอมทอง,2023-05-14,13.9,0.9,247.2,30.9,73.4,1009.2
จอมทอง,2023-05-15,24.1,0.6,249.7,30.7,78.1,1009.9
จอมทอง,2023-05-16,33.3,0.5,213.0,31.0,70.4,1010.5
จอมทอง,2023-05-17,26.5,0.5,223.0,32.0,66.0,1010.5
จอมทอง,2023-05-18,22.3,0.6,210.3,32.6,64.3,1009.6
