district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ดอนเมือง,2023-01-01,33.5,0.4,167.8,24.8,58.8,1015.9
ดอนเมือง,2023-01-02,33.6,0.5,198.5,25.2,59.2,1016.1
ดอนเมือง,2023-01-03,28.3,0.5,171.4,26.9,57.5,1015.6
ดอนเมือง,2023-01-04,21.9,0.6,240.6,27.5,55.5,1014.9
ดอนเมือง,2023-01-05,22.0,0.5,172.2,27.2,58.4,1014.5
ดอนเมือง,2023-01-06,19.7,0.6,167.3,26.8,58.0,1015.1
ดอนเมือง,2023-01-07,22.3,0.5,136.5,25.9,51.9,1014.7
ดอนเมือง,2023-01-08,38.5,0.5,194.3,26.6,52.3,1013.6
ดอนเมือง,2023-01-09,45.5,0.6,232.6,27.9,56.1,1013.4
ดอนเมือง,2023-01-10,36.4,0.9,192.6,28.0,64.8,1012.2
ดอนเมือง,2023-01-11,18.3,1.2,119.7,26.2,76.7,1011.5
ดอนเมือง,2023-01-12,28.7,0.5,165.0,27.5,73.4,1010.8
ดอนเมือง,2023-01-13,44.3,0.3,181.9,28.3,74.3,1011.4
ดอนเมือง,2023-01-14,24.6,0.5,240.7,28.7,70.4,1009.8
ดอนเมือง,2023-01-15,30.4,0.8,275.5,28.1,68.6,1009.1
ดอนเมือง,2023-01-16,36.9,0.4,206.3,28.2,63.0,1010.9
ดอนเมือง,2023-01-17,35.2,0.9,128.9,28.3,63.8,1012.5
ดอนเมือง,2023-01-18,34.0,1.0,125.5,27.6,59.6,1014.4
ดอนเมือง,2023-01-19,29.4,0.6,154.2,27.0,55.8,1014.1
ดอนเมือง,2023-01-20,33.3,0.4,212.1,26.8,55.4,1013.7
ดอนเมือง,2023-01-21,40.5,0.5,261.6,26.9,52.8,1012.7
ดอนเมือง,2023-01-22,50.6,0.4,224.9,26.8,52.8,1011.3
ดอนเมือง,2023-01-23,62.9,0.4,270.0,27.7,52.9,1010.3
ดอนเมือง,2023-01-24,56.8,0.7,191.2,28.1,54.7,1011.1
ดอนเมือง,2023-01-25,27.2,0.9,195.8,24.7,53.9,1013.3
ดอนเมือง,2023-01-26,57.2,0.5,265.2,25.8,54.1,1012.1
ดอนเมือง,2023-01-27,59.2,0.5,174.0,27.3,53.2,1011.5
ดอนเมือง,2023-01-28,31.2,0.6,132.5,25.2,56.0,1012.5
ดอนเมือง,2023-01-29,36.3,0.6,139.3,24.0,51.2,1014.0
ดอนเมือง,2023-01-30,42.7,0.8,286.5,22.5,48.3,1015.1
ดอนเมือง,2023-01-31,67.4,0.4,258.6,24.6,47.4,1012.3
ดอนเมือง,2023-02-01,93.8,0.3,265.8,27.0,50.3,1010.4
ดอนเมือง,2023-02-02,96.5,0.3,226.2,29.1,51.3,1010.0
ดอนเมือง,2023-02-03,51.6,0.4,248.6,29.6,64.0,1010.5
ดอนเมือง,2023-02-04,35.7,0.4,245.7,29.1,72.3,1010.0
ดอนเมือง,2023-02-05,26.6,0.6,242.4,28.4,71.8,1010.0
ดอนเมือง,2023-02-06,23.9,0.4,211.5,29.1,73.1,1009.8
ดอนเมือง,2023-02-07,22.6,0.4,217.5,29.5,69.0,1010.1
ดอนเมือง,2023-02-08,22.7,0.3,214.7,30.2,67.5,1009.8
ดอนเมือง,2023-02-09,22.7,0.3,247.2,29.8,70.4,1010.0
ดอนเมือง,2023-02-10,18.0,0.4,218.4,29.8,68.5,1010.5
ดอนเมือง,2023-02-11,18.3,0.2,211.8,30.4,64.9,1010.5
ดอนเมือง,2023-02-12,19.1,0.3,196.9,30.4,67.9,1010.7
ดอนเมือง,2023-02-13,24.6,0.3,212.2,30.2,69.0,1010.6
ดอนเมือง,2023-02-14,28.1,0.4,191.2,30.5,67.8,1010.1
ดอนเมือง,2023-02-15,39.2,0.5,207.1,26.4,86.0,1011.9
ดอนเมือง,2023-02-16,35.8,0.5,200.2,26.7,73.5,1013.8
ดอนเมือง,2023-02-17,34.4,0.8,246.2,26.7,63.4,1013.9
ดอนเมือง,2023-02-18,47.5,0.7,275.7,27.6,57.7,1012.9
ดอนเมือง,2023-02-19,60.2,0.5,294.0,28.9,57.7,1011.7
ดอนเมือง,2023-02-20,44.9,1.0,173.1,28.9,56.7,1011.9
ดอนเมือง,2023-02-21,38.7,0.8,193.4,28.8,55.4,1013.0
ดอนเมือง,2023-02-22,47.4,0.8,180.4,29.1,54.1,1012.9
ดอนเมือง,2023-02-23,54.4,0.3,223.7,29.3,50.9,1012.2
ดอนเมือง,2023-02-24,68.0,0.4,200.8,30.0,50.2,1011.5
ดอนเมือง,2023-02-25,42.7,1.1,106.4,28.9,46.8,1014.8
ดอนเมือง,2023-02-26,32.6,0.5,141.3,26.7,50.7,1018.0
ดอนเมือง,2023-02-27,42.1,0.5,203.5,25.8,52.5,1017.7
ดอนเมือง,2023-02-28,56.5,0.5,279.6,27.2,51.0,1016.0
ดอนเมือง,2023-03-01,64.9,0.5,233.8,29.2,51.8,1014.6
ดอนเมือง,2023-03-02,62.8,0.4,198.9,30.6,49.3,1014.3
