district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ดินแดง,2023-01-01,29.7,3.1,44.7,25.1,53.1,1015.4
ดินแดง,2023-01-02,32.7,2.9,65.7,25.7,53.0,1015.7
ดินแดง,2023-01-03,34.5,3.3,21.3,27.1,54.4,1015.1
ดินแดง,2023-01-04,28.6,3.5,41.2,27.9,51.3,1014.4
ดินแดง,2023-01-05,29.3,3.6,34.6,27.8,53.0,1013.9
ดินแดง,2023-01-06,23.3,3.2,36.9,26.9,53.9,1014.7
ดินแดง,2023-01-07,24.8,3.0,39.3,25.7,48.5,1014.1
ดินแดง,2023-01-08,43.1,3.3,23.7,26.9,48.3,1013.1
ดินแดง,2023-01-09,51.0,3.3,58.1,28.2,51.2,1012.9
ดินแดง,2023-01-10,42.1,2.7,62.4,28.1,60.5,1011.7
ดินแดง,2023-01-11,18.4,2.5,63.9,25.8,73.2,1011.0
ดินแดง,2023-01-12,27.9,1.9,142.2,27.2,72.1,1010.3
ดินแดง,2023-01-13,26.7,1.6,208.2,28.2,72.9,1010.9
ดินแดง,2023-01-14,22.8,1.4,220.4,28.5,70.2,1009.3
ดินแดง,2023-01-15,25.9,2.0,275.7,28.5,61.3,1008.6
ดินแดง,2023-01-16,25.9,1.3,204.7,28.4,64.3,1010.5
ดินแดง,2023-01-17,35.0,2.0,63.6,28.5,59.0,1012.0
ดินแดง,2023-01-18,32.2,2.8,57.9,27.6,53.7,1014.0
ดินแดง,2023-01-19,27.8,2.5,42.6,26.9,50.9,1013.6
ดินแดง,2023-01-20,34.8,2.9,24.7,27.3,49.5,1013.2
ดินแดง,2023-01-21,37.8,3.0,90.6,27.6,46.6,1012.1
ดินแดง,2023-01-22,45.3,2.9,60.4,27.7,43.3,1010.7
ดินแดง,2023-01-23,57.0,2.9,113.8,28.6,42.8,1007.8
ดินแดง,2023-01-24,52.4,3.0,35.2,28.8,46.9,1010.5
ดินแดง,2023-01-25,28.8,3.2,81.6,24.8,48.1,1012.8
ดินแดง,2023-01-26,51.1,2.8,109.9,26.8,46.2,1011.3
ดินแดง,2023-01-27,54.9,2.7,47.7,27.7,46.5,1010.8
ดินแดง,2023-01-28,27.6,3.2,48.7,25.1,51.5,1012.0
ดินแดง,2023-01-29,32.5,3.3,42.3,23.9,47.6,1013.5
ดินแดง,2023-01-30,45.6,3.3,108.7,23.3,43.2,1014.5
ดินแดง,2023-01-31,74.1,2.5,239.9,25.7,41.5,1011.7
ดินแดง,2023-02-01,82.6,2.3,180.5,27.9,41.7,1009.8
ดินแดง,2023-02-02,84.2,2.1,164.1,29.5,48.2,1009.4
ดินแดง,2023-02-03,43.5,1.7,220.4,29.1,63.9,1010.0
ดินแดง,2023-02-04,27.8,1.8,204.7,28.9,71.2,1009.4
ดินแดง,2023-02-05,22.3,1.8,170.5,28.3,68.5,1009.4
ดินแดง,2023-02-06,19.4,1.7,232.0,28.8,71.9,1009.3
ดินแดง,2023-02-07,18.1,2.1,212.9,28.4,70.9,1009.5
ดินแดง,2023-02-08,18.4,1.9,213.5,29.0,68.8,1009.3
ดินแดง,2023-02-09,18.5,2.5,216.3,28.7,72.4,1009.5
ดินแดง,2023-02-10,15.5,2.0,215.5,28.8,69.6,1010.0
