district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ดุสิต,2023-01-01,23.8,0.3,271.2,25.7,56.2,1015.4
ดุสิต,2023-01-02,28.3,0.3,260.4,26.0,57.4,1015.3
ดุสิต,2023-01-03,27.0,0.3,319.9,27.3,56.8,1015.0
ดุสิต,2023-01-04,20.2,0.3,305.1,27.9,54.7,1014.4
ดุสิต,2023-01-05,21.8,0.3,295.2,28.1,56.3,1013.9
ดุสิต,2023-01-06,15.4,0.4,255.4,27.5,55.3,1014.5
ดุสิต,2023-01-07,17.3,0.4,251.5,26.3,49.9,1014.2
ดุสิต,2023-01-08,34.0,0.3,286.4,27.2,50.5,1013.1
ดุสิต,2023-01-09,42.0,0.3,321.4,28.2,54.5,1012.8
ดุสิต,2023-01-10,34.9,0.4,178.2,28.5,62.6,1011.8
ดุสิต,2023-01-11,16.1,0.6,74.9,26.7,74.3,1011.0
ดุสิต,2023-01-12,27.8,0.4,159.7,27.9,74.2,1010.2
ดุสิต,2023-01-13,25.3,0.5,151.5,28.8,75.6,1011.0
ดุสิต,2023-01-14,20.7,0.6,151.2,29.0,74.3,1009.4
ดุสิต,2023-01-15,23.8,0.4,174.6,28.7,68.1,1008.8
ดุสิต,2023-01-16,25.1,0.5,168.6,28.7,68.6,1010.5
ดุสิต,2023-01-17,31.1,0.3,134.2,28.9,63.3,1012.0
ดุสิต,2023-01-18,25.0,0.6,120.2,28.5,0.0,1013.8
ดุสิต,2023-01-19,22.8,0.3,173.4,27.7,52.1,1013.6
ดุสิต,2023-01-20,30.8,0.2,256.2,27.7,52.4,1013.1
ดุสิต,2023-01-21,34.5,0.2,264.4,27.7,51.5,1012.2
ดุสิต,2023-01-22,39.7,0.2,253.2,27.8,49.0,1010.8
ดุสิต,2023-01-23,49.9,0.2,262.2,28.9,48.5,1009.8
ดุสิต,2023-01-24,49.0,0.4,230.8,29.1,51.2,1010.6
ดุสิต,2023-01-25,23.5,0.4,205.0,25.6,47.8,1012.8
ดุสิต,2023-01-26,44.4,0.2,259.8,26.7,52.1,1011.6
ดุสิต,2023-01-27,47.7,0.3,168.8,28.1,50.3,1010.9
ดุสิต,2023-01-28,20.5,0.4,239.3,26.2,52.7,1012.0
ดุสิต,2023-01-29,27.2,0.4,278.9,25.0,48.6,1013.4
ดุสิต,2023-01-30,35.8,0.3,286.8,23.4,46.5,1014.7
ดุสิต,2023-01-31,66.1,0.3,215.6,25.3,46.8,1011.9
ดุสิต,2023-02-01,75.3,1.2,211.5,26.9,47.9,1010.0
ดุสิต,2023-02-02,84.8,0.2,219.8,29.8,52.2,1009.5
ดุสิต,2023-02-03,40.3,0.6,151.6,29.5,66.4,1010.1
ดุสิต,2023-02-04,26.4,0.6,162.0,29.1,76.3,1009.6
ดุสิต,2023-02-05,21.9,0.4,176.9,28.5,73.3,1009.6
ดุสิต,2023-02-06,20.5,0.6,146.8,29.3,75.0,1009.3
ดุสิต,2023-02-07,18.0,0.8,142.9,29.1,73.9,1009.5
ดุสิต,2023-02-08,18.6,1.0,140.1,25.2,89.2,1009.2
ดุสิต,2023-02-09,17.7,0.9,141.4,25.8,74.5,1008.8
ดุสิต,2023-02-10,14.3,0.8,129.4,28.6,65.8,1009.6
ดุสิต,2023-02-11,15.2,0.8,139.8,29.8,69.6,1010.1
ดุสิต,2023-02-12,15.7,0.8,136.8,29.6,73.4,1010.4
ดุสิต,2023-02-13,18.8,0.9,141.1,29.5,75.3,1010.2
ดุสิต,2023-02-14,23.3,0.8,142.4,30.0,74.2,1009.8
ดุสิต,2023-02-15,39.4,0.4,137.6,26.2,90.4,1011.5
ดุสิต,2023-02-16,29.4,0.3,164.3,26.8,76.5,1013.3
ดุสิต,2023-02-17,33.0,0.3,262.0,27.6,61.8,1013.4
ดุสิต,2023-02-18,44.2,0.2,292.5,28.6,0.0,1012.3
ดุสิต,2023-02-19,52.7,0.2,221.3,29.6,54.3,1011.2
ดุสิต,2023-02-20,38.8,0.4,132.1,29.8,54.0,1011.4
ดุสิต,2023-02-21,35.9,0.3,133.1,29.8,52.3,1012.5
ดุสิต,2023-02-22,41.8,0.4,141.9,29.9,51.6,1012.3
ดุสิต,2023-02-23,48.4,0.2,147.4,27.3,57.2,1014.1
ดุสิต,2023-02-24,59.9,0.1,165.4,28.6,58.2,1015.0
ดุสิต,2023-02-25,39.9,0.6,80.1,29.2,45.5,1014.2
ดุสิต,2023-02-26,31.5,0.3,265.6,27.2,49.3,1017.4
ดุสิต,2023-02-27,39.9,0.2,301.7,26.4,51.3,1017.2
ดุสิต,2023-02-28,53.3,0.1,227.5,27.8,50.1,1015.5
ดุสิต,2023-03-01,56.2,0.2,174.2,29.9,49.5,1014.2
ดุสิต,2023-03-02,54.9,0.2,186.1,31.2,47.7,1013.8
ดุสิต,2023-03-03,39.9,0.2,170.4,30.0,44.2,1015.3
ดุสิต,2023-03-04,54.7,0.3,119.0,29.1,49.3,1016.1
ดุสิต,2023-03-05,51.3,0.2,205.8,28.8,51.8,1015.6
ดุสิต,2023-03-06,60.1,0.2,173.0,29.3,53.7,1014.3
ดุสิต,2023-03-07,82.9,0.2,187.6,30.0,53.9,1013.4
ดุสิต,2023-03-08,71.7,0.4,125.6,30.5,62.7,1013.0
ดุสิต,2023-03-09,54.3,0.5,155.9,30.0,70.8,1011.8
ดุสิต,2023-03-10,54.0,0.5,143.6,29.9,72.5,1011.4
ดุสิต,2023-03-11,42.4,0.8,145.4,29.3,78.0,1011.3
