district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ตลิ่งชัน,2023-01-01,33.9,0.5,96.2,24.7,61.0,1016.0
ตลิ่งชัน,2023-01-02,38.0,0.5,99.3,25.3,59.7,1016.0
ตลิ่งชัน,2023-01-03,33.9,0.6,95.7,26.9,58.7,1015.7
ตลิ่งชัน,2023-01-04,27.6,0.6,95.1,27.4,57.3,1015.1
ตลิ่งชัน,2023-01-05,28.7,0.6,97.1,27.1,60.1,1014.6
ตลิ่งชัน,2023-01-06,24.9,0.6,104.9,26.8,58.5,1015.0
ตลิ่งชัน,2023-01-07,23.1,0.5,104.1,26.2,50.5,1014.8
ตลิ่งชัน,2023-01-08,44.2,0.6,96.6,26.5,54.2,1013.7
ตลิ่งชัน,2023-01-09,49.5,0.6,97.3,27.8,56.4,1013.5
ตลิ่งชัน,2023-01-10,37.6,0.6,113.5,28.2,61.7,1012.2
ตลิ่งชัน,2023-01-11,18.9,0.7,132.0,26.8,71.2,1011.5
ตลิ่งชัน,2023-01-12,31.9,0.3,144.3,27.4,72.8,1010.9
ตลิ่งชัน,2023-01-13,29.5,0.2,212.3,28.2,75.5,1011.6
ตลิ่งชัน,2023-01-14,25.7,0.2,239.5,28.5,73.5,1009.9
ตลิ่งชัน,2023-01-15,31.3,0.3,191.2,28.0,68.5,1009.3
ตลิ่งชัน,2023-01-16,33.2,0.2,215.5,28.0,67.4,1011.0
ตลิ่งชัน,2023-01-17,41.1,0.3,161.1,27.9,65.5,1012.5
ตลิ่งชัน,2023-01-18,35.7,0.7,133.0,27.9,0.0,1014.4
ตลิ่งชัน,2023-01-19,33.8,0.4,109.5,26.9,55.5,1014.2
ตลิ่งชัน,2023-01-20,37.2,0.5,99.3,26.8,55.9,1013.8
ตลิ่งชัน,2023-01-21,40.2,0.6,101.5,26.8,55.2,1012.8
ตลิ่งชัน,2023-01-22,56.1,0.5,104.2,26.9,54.3,1011.4
ตลิ่งชัน,2023-01-23,59.4,0.4,98.2,27.8,50.8,1010.3
ตลิ่งชัน,2023-01-24,56.7,0.6,107.6,28.1,54.2,1011.1
ตลิ่งชัน,2023-01-25,28.2,0.6,98.2,25.2,49.7,1013.2
ตลิ่งชัน,2023-01-26,61.4,0.4,108.3,25.8,55.1,1012.1
ตลิ่งชัน,2023-01-27,60.2,0.5,103.4,27.2,53.6,1011.5
ตลิ่งชัน,2023-01-28,28.1,0.6,100.7,25.4,54.9,1012.5
ตลิ่งชัน,2023-01-29,31.7,0.7,99.1,24.0,49.5,1014.0
ตลิ่งชัน,2023-01-30,43.0,0.7,91.7,22.3,49.3,1015.1
ตลิ่งชัน,2023-01-31,76.5,0.3,97.9,24.5,48.1,1012.5
ตลิ่งชัน,2023-02-01,91.6,1.3,149.7,26.0,50.7,1010.4
ตลิ่งชัน,2023-02-02,104.8,0.2,128.9,28.7,55.9,1010.0
ตลิ่งชัน,2023-02-03,48.3,0.3,234.8,29.2,67.6,1010.7
ตลิ่งชัน,2023-02-04,29.4,0.4,231.9,29.2,72.6,1010.0
ตลิ่งชัน,2023-02-05,28.8,0.3,200.8,28.5,73.0,1010.0
ตลิ่งชัน,2023-02-06,21.4,0.1,96.4,12.2,38.5,463.3
ตลิ่งชัน,2023-02-07,20.7,0.0,0.0,0.0,0.0,0.0
ตลิ่งชัน,2023-02-08,19.9,0.1,51.5,5.9,15.1,210.3
ตลิ่งชัน,2023-02-09,23.5,0.5,234.5,29.2,72.7,1010.1
ตลิ่งชัน,2023-02-10,17.5,0.4,223.9,29.2,71.1,1010.7
ตลิ่งชัน,2023-02-11,18.5,0.5,225.6,29.3,68.5,1010.6
ตลิ่งชัน,2023-02-12,18.8,0.5,224.8,29.2,72.0,1010.8
ตลิ่งชัน,2023-02-13,21.3,0.5,223.9,29.1,74.7,1010.7
ตลิ่งชัน,2023-02-14,24.5,0.3,222.0,29.7,72.5,1010.3
ตลิ่งชัน,2023-02-15,40.9,0.3,201.7,26.0,88.0,1012.1
ตลิ่งชัน,2023-02-16,32.2,0.5,114.6,26.4,76.7,1013.9
ตลิ่งชัน,2023-02-17,38.9,0.7,96.7,26.8,63.4,1014.0
ตลิ่งชัน,2023-02-18,47.2,0.6,97.3,27.7,0.0,1013.1
ตลิ่งชัน,2023-02-19,61.1,0.5,104.8,28.6,57.5,1011.8
ตลิ่งชัน,2023-02-20,44.1,0.6,116.2,29.2,55.9,1012.0
ตลิ่งชัน,2023-02-21,44.6,0.6,110.2,29.0,55.4,1013.1
ตลิ่งชัน,2023-02-22,50.1,0.6,115.5,29.2,53.6,1013.1
ตลิ่งชัน,2023-02-23,58.5,0.3,108.1,29.3,52.4,1012.2
ตลิ่งชัน,2023-02-24,73.5,0.4,125.6,29.9,51.5,1011.5
ตลิ่งชัน,2023-02-25,49.2,0.9,124.9,29.0,47.1,1014.8
ตลิ่งชัน,2023-02-26,37.6,0.7,95.8,26.7,50.9,1018.0
ตลิ่งชัน,2023-02-27,47.8,0.7,85.9,25.7,53.2,1017.7
ตลิ่งชัน,2023-02-28,62.5,0.6,91.1,27.0,52.4,1016.2
ตลิ่งชัน,2023-03-01,66.3,0.5,121.8,29.2,52.0,1014.8
ตลิ่งชัน,2023-03-02,69.2,0.4,116.6,30.4,50.7,1014.3
ตลิ่งชัน,2023-03-03,52.5,0.4,112.6,29.5,47.6,1015.9
ตลิ่งชัน,2023-03-04,70.7,0.6,109.2,28.6,52.7,1016.6
ตลิ่งชัน,2023-03-05,68.5,0.6,113.2,28.3,54.4,1016.1
ตลิ่งชัน,2023-03-06,73.2,0.5,138.0,28.7,56.8,1014.8
ตลิ่งชัน,2023-03-07,90.6,0.3,162.7,29.4,56.9,1013.9
ตลิ่งชัน,2023-03-08,86.9,0.3,217.2,29.8,63.0,1013.5
ตลิ่งชัน,2023-03-09,61.1,0.3,229.3,29.6,69.8,1012.3
ตลิ่งชัน,2023-03-10,55.2,0.3,213.8,29.5,71.7,1011.9
ตลิ่งชัน,2023-03-11,46.0,0.5,241.4,29.3,75.1,1011.8
ตลิ่งชัน,2023-03-12,41.3,0.5,234.6,29.5,73.7,1011.8
ตลิ่งชัน,2023-03-13,54.5,0.6,117.6,28.2,66.9,1012.7
ตลิ่งชัน,2023-03-14,65.2,0.5,106.6,28.5,61.0,1011.3
ตลิ่งชัน,2023-03-15,57.2,0.3,233.9,29.1,66.7,1010.9
ตลิ่งชัน,2023-03-16,33.6,0.5,239.9,29.6,69.4,1012.1
ตลิ่งชัน,2023-03-17,30.9,0.5,239.7,29.5,69.7,1011.8
ตลิ่งชัน,2023-03-18,33.3,0.5,247.7,29.8,70.2,1010.7
ตลิ่งชัน,2023-03-19,28.8,0.6,241.2,29.8,71.1,1010.0
