district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ทวีวัฒนา,2023-01-01,42.4,1.4,179.1,23.9,67.4,1015.5
ทวีวัฒนา,2023-01-02,36.2,1.4,244.5,24.5,65.5,1015.6
ทวีวัฒนา,2023-01-03,36.5,1.6,221.7,26.4,63.7,1015.1
ทวีวัฒนา,2023-01-04,37.9,1.6,210.8,26.4,64.0,1014.6
ทวีวัฒนา,2023-01-05,34.9,1.6,189.7,26.3,67.1,1013.9
ทวีวัฒนา,2023-01-06,25.6,1.3,102.7,26.1,62.9,1014.7
ทวีวัฒนา,2023-01-07,24.7,1.1,71.1,25.7,54.8,1014.2
ทวีวัฒนา,2023-01-08,44.9,1.6,150.7,26.1,59.9,1013.1
ทวีวัฒนา,2023-01-09,51.7,1.5,206.4,27.2,61.7,1012.8
ทวีวัฒนา,2023-01-10,45.1,0.9,154.8,27.5,67.9,1011.7
ทวีวัฒนา,2023-01-11,21.1,0.8,83.5,26.3,75.7,1010.8
ทวีวัฒนา,2023-01-12,33.0,0.8,188.0,26.8,79.1,1010.2
ทวีวัฒนา,2023-01-13,26.2,1.1,185.6,27.6,80.8,1010.9
ทวีวัฒนา,2023-01-14,30.9,1.0,215.5,28.0,79.1,1009.5
ทวีวัฒนา,2023-01-15,34.5,0.9,278.9,27.3,73.8,1008.8
ทวีวัฒนา,2023-01-16,43.7,1.0,181.9,27.1,71.6,1010.6
ทวีวัฒนา,2023-01-17,47.7,0.6,149.5,26.9,73.5,1012.0
ทวีวัฒนา,2023-01-18,47.7,0.9,53.0,26.9,65.3,1014.0
ทวีวัฒนา,2023-01-19,31.2,0.9,231.2,25.8,63.5,1013.6
ทวีวัฒนา,2023-01-20,38.6,1.0,212.7,25.6,64.5,1013.2
ทวีวัฒนา,2023-01-21,40.5,1.2,253.7,25.6,63.9,1012.2
ทวีวัฒนา,2023-01-22,54.0,1.0,313.0,25.4,62.0,1010.8
ทวีวัฒนา,2023-01-23,63.5,0.8,243.2,26.5,58.8,1009.9
ทวีวัฒนา,2023-01-24,61.2,1.1,162.4,27.1,59.8,1010.7
ทวีวัฒนา,2023-01-25,28.2,1.5,211.4,24.0,58.2,1012.9
ทวีวัฒนา,2023-01-26,60.0,1.0,233.9,24.6,61.3,1011.6
ทวีวัฒนา,2023-01-27,62.8,1.1,167.6,26.3,59.9,1011.0
ทวีวัฒนา,2023-01-28,31.1,1.5,158.9,24.4,60.5,1012.0
ทวีวัฒนา,2023-01-29,31.4,1.9,128.5,23.1,55.5,1013.6
ทวีวัฒนา,2023-01-30,41.0,1.8,254.4,21.3,54.8,1014.6
ทวีวัฒนา,2023-01-31,80.2,0.8,266.7,23.7,53.2,1011.8
ทวีวัฒนา,2023-02-01,91.0,0.6,201.8,26.1,55.8,1009.9
ทวีวัฒนา,2023-02-02,87.2,0.7,205.8,27.6,63.5,1009.6
ทวีวัฒนา,2023-02-03,43.2,1.7,193.5,28.7,71.5,1010.2
ทวีวัฒนา,2023-02-04,29.0,1.8,197.2,28.3,79.9,1009.5
ทวีวัฒนา,2023-02-05,31.4,1.1,220.0,28.0,78.0,1009.6
ทวีวัฒนา,2023-02-06,21.4,1.7,186.4,28.4,78.2,1009.5
ทวีวัฒนา,2023-02-07,17.5,2.0,190.7,28.2,79.1,1009.8
ทวีวัฒนา,2023-02-08,17.4,1.8,191.0,28.3,78.0,1009.6
ทวีวัฒนา,2023-02-09,17.2,2.5,193.8,28.5,78.7,1009.8
ทวีวัฒนา,2023-02-10,16.6,2.0,191.5,28.6,75.4,1010.2
ทวีวัฒนา,2023-02-11,14.0,2.4,190.5,28.8,74.0,1010.2
ทวีวัฒนา,2023-02-12,16.8,2.3,189.1,28.6,77.9,1010.4
ทวีวัฒนา,2023-02-13,19.1,2.2,190.1,28.4,80.7,1010.2
ทวีวัฒนา,2023-02-14,23.9,1.8,188.1,29.1,78.2,1009.8
ทวีวัฒนา,2023-02-15,36.0,1.0,207.3,25.4,92.5,1011.6
ทวีวัฒนา,2023-02-16,32.4,0.9,134.6,25.7,82.1,1013.4
ทวีวัฒนา,2023-02-17,40.2,1.6,131.4,26.3,69.0,1013.5
ทวีวัฒนา,2023-02-18,50.8,1.4,164.1,26.9,63.8,1012.4
ทวีวัฒนา,2023-02-19,64.8,1.1,239.2,27.8,60.8,1011.4
ทวีวัฒนา,2023-02-20,53.6,1.0,198.0,28.2,61.9,1011.5
ทวีวัฒนา,2023-02-21,49.9,0.7,159.5,28.0,63.1,1012.5
ทวีวัฒนา,2023-02-22,54.6,0.7,170.4,28.2,60.8,1012.4
ทวีวัฒนา,2023-02-23,66.5,0.8,184.1,28.1,60.9,1011.5
ทวีวัฒนา,2023-02-24,82.5,0.8,123.0,28.8,58.4,1011.0
ทวีวัฒนา,2023-02-25,55.4,1.4,106.5,27.9,54.5,1014.4
ทวีวัฒนา,2023-02-26,46.5,1.6,125.9,25.7,56.5,1017.5
ทวีวัฒนา,2023-02-27,50.6,1.7,219.2,24.8,58.2,1017.3
ทวีวัฒนา,2023-02-28,68.9,1.3,255.4,26.0,57.8,1015.5
ทวีวัฒนา,2023-03-01,75.3,1.0,209.2,28.1,57.0,1014.2
ทวีวัฒนา,2023-03-02,82.0,0.8,188.9,29.0,58.9,1013.8
ทวีวัฒนา,2023-03-03,69.0,0.7,157.0,28.3,55.4,1015.3
ทวีวัฒนา,2023-03-04,71.1,0.9,145.8,27.7,58.7,1016.1
ทวีวัฒนา,2023-03-05,72.4,0.9,167.9,27.3,61.2,1015.6
ทวีวัฒนา,2023-03-06,76.1,0.8,157.4,27.7,62.3,1014.3
ทวีวัฒนา,2023-03-07,90.5,0.6,184.7,28.1,64.2,1013.5
ทวีวัฒนา,2023-03-08,96.0,0.8,186.9,28.9,68.3,1013.1
ทวีวัฒนา,2023-03-09,57.9,1.5,199.0,29.0,75.3,1011.9
ทวีวัฒนา,2023-03-10,56.8,1.3,177.6,29.0,77.0,1011.5
ทวีวัฒนา,2023-03-11,46.1,2.1,194.1,28.7,80.9,1011.4
ทวีวัฒนา,2023-03-12,38.1,2.2,192.8,28.9,78.9,1011.4
ทวีวัฒนา,2023-03-13,54.5,1.5,132.9,27.4,73.9,1012.3
ทวีวัฒนา,2023-03-14,70.8,1.0,146.7,27.7,67.1,1010.9
ทวีวัฒนา,2023-03-15,66.9,1.4,198.3,28.2,73.8,1010.5
ทวีวัฒนา,2023-03-16,32.3,2.2,197.4,28.8,75.2,1011.7
ทวีวัฒนา,2023-03-17,29.4,2.1,197.8,28.9,74.7,1011.4
ทวีวัฒนา,2023-03-18,26.4,2.1,201.9,29.0,75.8,1010.3
ทวีวัฒนา,2023-03-19,25.9,2.5,196.7,29.1,76.6,1009.5
ทวีวัฒนา,2023-03-20,28.3,2.3,193.5,29.5,77.2,1008.8
