district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ทุ่งครุ,2023-01-01,24.1,0.6,297.0,25.0,57.1,1015.8
ทุ่งครุ,2023-01-02,30.1,0.4,294.8,25.3,60.2,1016.1
ทุ่งครุ,2023-01-03,29.2,0.5,304.2,27.2,58.2,1015.4
ทุ่งครุ,2023-01-04,22.8,0.7,283.5,27.4,56.8,1014.9
ทุ่งครุ,2023-01-05,27.2,0.6,294.6,27.4,59.3,1014.3
ทุ่งครุ,2023-01-06,19.0,0.8,314.6,27.1,57.0,1014.9
ทุ่งครุ,2023-01-07,20.6,0.8,317.5,26.1,51.3,1014.5
ทุ่งครุ,2023-01-08,36.1,0.6,279.1,26.9,51.1,1013.5
ทุ่งครุ,2023-01-09,48.2,0.6,249.0,27.7,56.8,1013.3
ทุ่งครุ,2023-01-10,34.9,0.5,290.0,28.4,62.1,1012.1
ทุ่งครุ,2023-01-11,21.3,0.5,293.5,26.5,75.3,1011.4
ทุ่งครุ,2023-01-12,0.6,302.3,30.2,62.0,1011.7,22.9
ทุ่งครุ,2023-01-13,25.5,0.4,120.9,27.9,83.3,1011.6
ทุ่งครุ,2023-01-14,21.1,0.5,121.9,28.2,82.1,1009.9
ทุ่งครุ,2023-01-15,22.2,0.4,197.8,27.9,72.7,1009.1
ทุ่งครุ,2023-01-16,26.0,0.3,158.0,27.8,75.1,1011.0
ทุ่งครุ,2023-01-17,34.0,0.2,217.7,27.8,70.8,1012.4
ทุ่งครุ,2023-01-18,30.8,0.6,275.4,27.8,0.0,1014.3
ทุ่งครุ,2023-01-19,25.1,0.5,317.5,27.1,54.4,1014.0
ทุ่งครุ,2023-01-20,29.8,0.4,291.9,26.9,56.2,1013.6
ทุ่งครุ,2023-01-21,34.1,0.6,281.2,27.1,53.5,1012.5
ทุ่งครุ,2023-01-22,44.0,0.4,269.4,26.8,53.0,1011.1
ทุ่งครุ,2023-01-23,47.6,0.5,273.5,28.2,49.0,1010.1
ทุ่งครุ,2023-01-24,45.1,0.8,307.7,28.5,51.8,1011.0
ทุ่งครุ,2023-01-25,21.1,1.1,312.3,25.1,48.8,1013.1
ทุ่งครุ,2023-01-26,50.0,0.5,252.9,25.8,54.5,1012.0
ทุ่งครุ,2023-01-27,47.3,0.5,307.9,27.5,50.9,1011.3
ทุ่งครุ,2023-01-28,20.9,1.0,330.4,25.8,53.1,1012.4
ทุ่งครุ,2023-01-29,27.5,0.9,325.6,24.5,49.9,1013.7
ทุ่งครุ,2023-01-30,35.0,0.9,281.9,23.0,47.1,1015.0
ทุ่งครุ,2023-01-31,72.9,0.5,255.4,24.5,48.5,1012.4
ทุ่งครุ,2023-02-01,90.7,3.2,221.0,23.7,53.8,1010.4
ทุ่งครุ,2023-02-02,78.7,0.2,204.3,28.0,69.2,1010.0
ทุ่งครุ,2023-02-03,40.5,0.6,121.7,28.6,76.0,1010.7
