district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ธนบุรี,2023-01-01,33.1,25.6,234.8,0.0,53.4,1016.3
ธนบุรี,2023-01-02,35.7,25.8,245.5,0.0,54.8,1016.6
ธนบุรี,2023-01-03,37.7,27.1,289.5,0.0,57.1,1016.0
ธนบุรี,2023-01-04,27.7,27.5,279.8,0.0,54.1,1015.5
ธนบุรี,2023-01-05,33.7,27.6,283.2,0.0,57.1,1014.9
ธนบุรี,2023-01-06,26.1,27.5,238.5,0.0,53.5,1015.5
ธนบุรี,2023-01-07,25.9,26.3,242.1,0.0,48.1,1015.1
ธนบุรี,2023-01-08,44.5,26.8,228.9,0.0,50.5,1014.1
ธนบุรี,2023-01-09,56.8,27.9,230.6,0.0,54.5,1013.9
ธนบุรี,2023-01-10,43.0,28.5,166.8,0.0,60.5,1012.7
ธนบุรี,2023-01-11,24.8,26.8,88.1,0.0,71.2,1012.0
ธนบุรี,2023-01-12,32.2,27.4,115.7,0.0,73.9,1011.3
ธนบุรี,2023-01-13,23.2,28.0,124.4,0.0,77.9,1012.1
ธนบุรี,2023-01-14,19.8,28.3,131.8,0.0,76.5,1010.5
ธนบุรี,2023-01-15,25.2,27.8,182.6,0.0,68.8,1009.9
ธนบุรี,2023-01-16,24.5,28.1,139.5,0.0,68.9,1011.6
ธนบุรี,2023-01-17,34.0,28.4,115.0,0.0,64.2,1013.0
ธนบุรี,2023-01-18,36.8,28.2,94.6,0.0,55.6,1014.9
ธนบุรี,2023-01-19,34.4,27.6,117.0,0.0,50.9,1014.6
ธนบุรี,2023-01-20,35.5,27.8,207.2,0.0,49.4,1014.2
ธนบุรี,2023-01-21,41.9,27.7,238.6,0.0,48.7,1013.2
ธนบุรี,2023-01-22,52.7,27.5,209.3,0.0,48.5,1011.8
ธนบุรี,2023-01-23,60.6,29.0,251.2,0.0,44.5,1010.7
ธนบุรี,2023-01-24,60.7,29.3,189.0,0.0,47.2,1011.6
ธนบุรี,2023-01-25,27.9,25.6,210.0,0.0,48.0,1013.7
ธนบุรี,2023-01-26,53.9,26.4,224.0,0.0,49.3,1012.6
ธนบุรี,2023-01-27,59.4,28.2,136.2,0.0,47.0,1011.9
ธนบุรี,2023-01-28,28.3,26.2,189.6,0.0,49.8,1012.9
ธนบุรี,2023-01-29,33.3,24.8,205.5,0.0,46.8,1014.3
ธนบุรี,2023-01-30,43.3,23.3,281.7,0.0,44.4,1015.6
ธนบุรี,2023-01-31,80.0,24.8,231.4,0.0,44.5,1012.9
ธนบุรี,2023-02-01,92.4,27.3,182.7,0.0,47.3,1010.9
ธนบุรี,2023-02-02,110.8,28.5,131.9,0.0,61.5,1010.5
ธนบุรี,2023-02-03,36.7,28.6,135.9,0.0,71.7,1011.2
ธนบุรี,2023-02-04,23.3,28.5,134.6,0.0,76.9,1010.7
ธนบุรี,2023-02-05,17.9,28.8,141.6,0.0,71.3,1010.6
ธนบุรี,2023-02-06,15.2,28.8,129.1,0.0,74.8,1010.6
ธนบุรี,2023-02-07,14.9,28.5,134.6,0.0,74.8,1010.8
ธนบุรี,2023-02-08,14.8,28.6,130.1,0.0,74.9,1010.7
ธนบุรี,2023-02-09,13.0,28.8,137.0,0.0,75.4,1010.9
ธนบุรี,2023-02-10,11.1,28.9,134.9,0.0,72.1,1011.3
ธนบุรี,2023-02-11,11.4,29.2,133.6,0.0,69.7,1011.4
ธนบุรี,2023-02-12,13.2,29.0,133.2,0.0,73.6,1011.6
ธนบุรี,2023-02-13,15.7,28.6,134.0,0.0,77.3,1011.4
ธนบุรี,2023-02-14,19.8,29.2,132.0,0.0,75.8,1011.0
ธนบุรี,2023-02-15,36.6,25.8,133.9,0.0,89.0,1012.5
ธนบุรี,2023-02-16,36.6,26.6,125.0,0.0,72.9,1014.4
ธนบุรี,2023-02-17,43.2,27.4,235.8,0.0,59.7,1014.4
ธนบุรี,2023-02-18,51.9,27.8,250.9,0.0,56.6,1013.5
ธนบุรี,2023-02-19,59.5,29.3,266.2,0.0,52.2,1012.3
ธนบุรี,2023-02-20,49.9,29.4,144.5,0.0,53.0,1012.5
ธนบุรี,2023-02-21,44.4,29.4,148.0,0.0,51.5,1013.5
ธนบุรี,2023-02-22,52.1,29.9,133.4,0.0,48.8,1013.4
ธนบุรี,2023-02-23,61.2,29.7,156.2,0.0,50.0,1012.6
ธนบุรี,2023-02-24,71.7,30.7,169.5,0.0,45.8,1012.0
ธนบุรี,2023-02-25,50.8,29.4,91.9,0.0,43.6,1015.2
ธนบุรี,2023-02-26,38.6,27.2,188.5,0.0,46.6,1018.4
ธนบุรี,2023-02-27,50.9,26.7,237.4,0.0,47.9,1018.1
ธนบุรี,2023-02-28,67.2,27.9,274.1,0.0,47.4,1016.5
