district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
บางกอกน้อย,2023-01-01,26.9,24.6,165.5,0.0,58.4,1016.2
บางกอกน้อย,2023-01-02,30.7,25.0,229.8,0.0,58.5,1016.4
บางกอกน้อย,2023-01-03,29.9,26.6,200.1,0.0,58.5,1015.9
บางกอกน้อย,2023-01-04,22.0,26.8,235.4,0.0,57.2,1015.4
บางกอกน้อย,2023-01-05,25.5,26.9,232.8,0.0,58.8,1014.9
บางกอกน้อย,2023-01-06,18.6,26.6,125.0,0.0,57.3,1015.4
บางกอกน้อย,2023-01-07,18.0,25.7,114.1,0.0,50.8,1015.0
บางกอกน้อย,2023-01-08,39.2,26.4,221.5,0.0,53.0,1014.0
บางกอกน้อย,2023-01-09,45.6,27.3,213.3,0.0,57.1,1013.8
บางกอกน้อย,2023-01-10,38.2,27.8,188.9,0.0,63.5,1012.6
บางกอกน้อย,2023-01-11,19.7,26.5,87.6,0.0,72.6,1011.8
บางกอกน้อย,2023-01-12,29.4,27.2,121.3,0.0,73.7,1011.1
บางกอกน้อย,2023-01-13,26.8,28.3,132.1,0.0,74.1,1011.8
บางกอกน้อย,2023-01-14,25.0,28.3,150.7,0.0,73.5,1010.3
บางกอกน้อย,2023-01-15,30.3,27.7,188.4,0.0,68.1,1009.6
บางกอกน้อย,2023-01-16,36.8,27.9,111.5,0.0,67.6,1011.3
บางกอกน้อย,2023-01-17,39.6,28.2,121.6,0.0,63.5,1012.8
บางกอกน้อย,2023-01-18,34.8,27.8,97.9,0.0,55.6,1014.7
บางกอกน้อย,2023-01-19,25.0,26.8,122.4,0.0,53.7,1014.5
บางกอกน้อย,2023-01-20,28.2,26.5,196.8,0.0,54.2,1014.1
บางกอกน้อย,2023-01-21,34.3,26.7,241.7,0.0,52.7,1013.1
บางกอกน้อย,2023-01-22,47.9,26.8,222.0,0.0,50.9,1011.7
บางกอกน้อย,2023-01-23,52.5,28.0,257.5,0.0,48.1,1010.7
บางกอกน้อย,2023-01-24,53.4,28.2,162.4,0.0,51.4,1011.5
บางกอกน้อย,2023-01-25,21.4,24.6,169.8,0.0,51.9,1013.6
บางกอกน้อย,2023-01-26,49.0,25.4,263.2,0.0,53.5,1012.5
บางกอกน้อย,2023-01-27,52.8,27.1,148.3,0.0,51.1,1011.8
บางกอกน้อย,2023-01-28,21.3,25.2,90.3,0.0,54.5,1012.8
บางกอกน้อย,2023-01-29,26.9,23.8,137.5,0.0,50.2,1014.3
บางกอกน้อย,2023-01-30,36.9,22.2,231.6,0.0,48.5,1015.5
บางกอกน้อย,2023-01-31,68.0,24.0,264.2,0.0,47.5,1012.7
บางกอกน้อย,2023-02-01,88.5,26.6,136.1,0.0,47.9,1010.8
บางกอกน้อย,2023-02-02,100.7,28.6,158.4,0.0,55.3,1010.4
บางกอกน้อย,2023-02-03,44.5,29.0,128.7,0.0,67.6,1011.0
บางกอกน้อย,2023-02-04,30.8,28.9,142.7,0.0,73.5,1010.4
บางกอกน้อย,2023-02-05,26.0,28.5,161.4,0.0,70.7,1010.4
