district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
บางกอกใหญ่,2023-01-01,30.5,0.3,164.4,25.5,45.9,1015.4
บางกอกใหญ่,2023-01-02,38.1,0.3,206.1,25.7,47.5,1015.4
บางกอกใหญ่,2023-01-03,35.5,0.2,185.2,27.1,47.8,1015.1
บางกอกใหญ่,2023-01-04,29.9,0.2,240.4,27.7,45.5,1014.5
บางกอกใหญ่,2023-01-05,31.7,0.3,224.3,27.7,47.8,1013.9
บางกอกใหญ่,2023-01-06,23.8,0.6,120.8,27.5,45.9,1014.5
บางกอกใหญ่,2023-01-07,23.9,0.6,70.9,26.4,39.6,1014.2
บางกอกใหญ่,2023-01-08,36.8,0.2,197.5,27.0,42.1,1013.1
บางกอกใหญ่,2023-01-09,51.1,0.2,204.8,27.9,45.7,1012.8
บางกอกใหญ่,2023-01-10,42.2,0.5,182.1,28.3,52.5,1011.7
บางกอกใหญ่,2023-01-11,23.6,0.8,80.1,26.9,63.6,1010.9
บางกอกใหญ่,2023-01-12,34.8,0.4,108.8,27.4,66.0,1010.2
บางกอกใหญ่,2023-01-13,30.5,0.3,73.2,28.5,68.3,1011.0
บางกอกใหญ่,2023-01-14,28.7,0.2,94.9,28.6,67.1,1009.6
บางกอกใหญ่,2023-01-15,34.3,0.2,205.1,28.5,58.9,1009.0
บางกอกใหญ่,2023-01-16,35.9,0.2,100.3,28.7,59.0,1010.6
บางกอกใหญ่,2023-01-17,37.8,0.4,143.1,28.6,54.6,1012.0
บางกอกใหญ่,2023-01-18,32.8,0.9,89.6,28.4,0.0,1013.9
บางกอกใหญ่,2023-01-19,31.8,0.5,122.1,27.6,42.0,1013.6
บางกอกใหญ่,2023-01-20,37.1,0.3,166.9,27.6,41.9,1013.2
บางกอกใหญ่,2023-01-21,40.4,0.3,256.2,27.6,41.4,1012.2
บางกอกใหญ่,2023-01-22,52.5,0.2,212.0,27.5,40.8,1010.8
บางกอกใหญ่,2023-01-23,57.7,0.1,225.4,28.8,37.2,1009.9
บางกอกใหญ่,2023-01-24,53.6,0.8,143.1,28.8,41.3,1010.5
บางกอกใหญ่,2023-01-25,27.2,0.6,139.7,25.8,37.8,1012.7
บางกอกใหญ่,2023-01-26,54.9,0.2,237.8,26.2,42.3,1011.6
บางกอกใหญ่,2023-01-27,57.1,0.5,165.0,27.8,40.5,1010.9
บางกอกใหญ่,2023-01-28,26.9,0.8,75.8,26.2,42.1,1011.8
บางกอกใหญ่,2023-01-29,31.5,0.6,103.8,24.9,38.0,1013.4
บางกอกใหญ่,2023-01-30,43.3,0.2,264.2,23.3,36.2,1014.6
บางกอกใหญ่,2023-01-31,77.8,0.2,224.5,24.9,36.2,1011.9
บางกอกใหญ่,2023-02-01,91.7,1.2,174.8,26.5,37.2,1010.0
บางกอกใหญ่,2023-02-02,109.6,0.1,137.9,29.2,47.7,1009.6
บางกอกใหญ่,2023-02-03,48.3,0.3,52.9,29.1,61.5,1010.2
บางกอกใหญ่,2023-02-04,35.2,0.4,70.8,29.2,66.8,1009.6
บางกอกใหญ่,2023-02-05,27.5,0.2,90.3,29.2,61.9,1009.7
บางกอกใหญ่,2023-02-06,27.0,0.4,63.8,29.2,65.5,1009.6
บางกอกใหญ่,2023-02-07,25.6,0.4,48.6,28.9,65.3,1009.8
บางกอกใหญ่,2023-02-08,25.0,0.4,63.0,29.3,64.7,1009.7
บางกอกใหญ่,2023-02-09,24.0,0.3,130.2,29.2,66.7,1009.9
บางกอกใหญ่,2023-02-10,22.1,0.3,72.2,29.3,63.1,1010.2
บางกอกใหญ่,2023-02-11,23.5,0.4,50.5,29.5,61.0,1010.3
บางกอกใหญ่,2023-02-12,21.8,0.4,60.2,29.3,65.1,1010.5
บางกอกใหญ่,2023-02-13,25.2,0.4,69.0,29.1,68.2,1010.5
บางกอกใหญ่,2023-02-14,28.3,0.4,79.5,29.8,66.5,1010.0
บางกอกใหญ่,2023-02-15,43.3,0.3,107.6,26.0,82.5,1011.5
บางกอกใหญ่,2023-02-16,35.3,0.7,138.5,26.4,68.6,1013.6
บางกอกใหญ่,2023-02-17,40.0,0.5,175.0,27.3,53.5,1013.6
บางกอกใหญ่,2023-02-18,54.3,0.2,189.1,28.1,0.0,1012.5
บางกอกใหญ่,2023-02-19,57.2,0.2,236.7,29.2,44.8,1011.5
บางกอกใหญ่,2023-02-20,44.7,0.7,118.6,29.5,44.5,1011.5
บางกอกใหญ่,2023-02-21,41.7,0.7,122.9,29.5,42.5,1012.5
บางกอกใหญ่,2023-02-22,48.3,0.8,115.7,29.8,41.1,1012.4
บางกอกใหญ่,2023-02-23,55.5,0.3,158.6,30.2,39.5,1011.6
บางกอกใหญ่,2023-02-24,69.4,0.6,134.8,30.7,37.6,1011.0
บางกอกใหญ่,2023-02-25,43.8,1.6,81.7,29.5,35.0,1014.1
บางกอกใหญ่,2023-02-26,33.8,1.1,117.2,27.5,38.3,1017.2
บางกอกใหญ่,2023-02-27,43.8,0.5,136.4,26.6,40.1,1017.1
บางกอกใหญ่,2023-02-28,56.4,0.2,233.6,27.7,40.2,1015.5
บางกอกใหญ่,2023-03-01,71.0,0.3,174.2,29.6,40.3,1014.2
บางกอกใหญ่,2023-03-02,46.5,0.2,288.6,28.3,49.8,1014.4
บางกอกใหญ่,2023-03-03,47.9,0.2,148.6,32.2,31.7,1014.8
บางกอกใหญ่,2023-03-04,60.8,0.9,93.8,29.4,37.5,1016.1
บางกอกใหญ่,2023-03-05,57.2,0.7,131.6,29.2,40.1,1015.6
บางกอกใหญ่,2023-03-06,66.6,0.5,159.7,29.5,45.4,1014.4
บางกอกใหญ่,2023-03-07,88.1,0.2,175.4,30.0,45.2,1013.5
