district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
บางกะปิ,2023-01-01,30.9,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-02,29.4,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-03,31.9,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-04,25.2,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-05,27.0,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-06,20.9,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-07,19.9,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-08,38.5,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-09,45.2,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-10,34.1,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-11,18.7,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-12,25.5,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-13,32.0,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-14,19.1,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-15,24.0,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-16,28.2,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-17,33.9,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-18,28.8,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-19,25.2,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-20,32.0,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-21,32.8,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-22,40.9,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-23,58.2,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-24,51.0,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-25,26.1,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-26,44.3,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-27,52.2,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-28,23.8,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-29,28.1,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-30,39.0,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-01-31,61.5,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-02-01,83.9,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-02-02,93.4,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-02-03,39.4,0.0,0.0,0.0,0.0,0.0
บางกะปิ,2023-02-04,30.1,0.0,0.0,0.0,0.0,0.0
