district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
บางขุนเทียน,2023-01-01,28.6,1016.7,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-02,32.0,1017.0,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-03,30.9,1016.5,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-04,23.7,1015.9,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-05,28.6,1015.4,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-06,21.6,1016.0,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-07,20.8,1015.5,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-08,41.2,1014.5,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-09,54.8,1014.3,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-10,39.3,1013.2,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-11,22.8,1012.4,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-12,34.0,1011.9,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-13,28.1,1012.8,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-14,27.2,1011.4,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-15,26.4,1010.7,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-16,34.3,1012.5,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-17,40.4,1013.8,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-18,38.6,1015.7,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-19,31.3,1015.4,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-20,33.9,1015.0,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-21,36.5,1013.9,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-22,48.6,1012.5,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-23,51.2,1011.4,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-24,53.5,1012.0,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-25,23.3,1014.0,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-26,51.2,1012.8,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-27,55.1,1012.2,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-28,23.3,1013.1,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-29,27.5,1014.5,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-30,36.8,1015.7,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-01-31,74.9,1013.1,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-01,94.4,1011.2,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-02,106.8,1011.0,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-03,47.5,1011.8,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-04,28.1,1011.4,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-05,24.8,1011.4,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-06,22.8,1011.4,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-07,22.4,1011.6,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-08,21.8,1011.5,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-09,21.8,1011.7,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-10,19.8,1012.2,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-11,18.6,1012.2,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-12,18.1,1012.4,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-13,22.2,1012.3,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-14,24.7,1011.9,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-15,35.9,1013.3,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-16,30.1,1015.2,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-17,37.0,1015.2,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-18,45.9,1014.4,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-19,53.6,1013.1,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-20,48.2,1013.2,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-21,44.0,1014.3,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-22,50.6,1014.1,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-23,59.7,1013.2,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-24,68.6,1012.6,n/a,n/a,n/a,n/a
บางขุนเทียน,2023-02-25,50.0,1015.8,n/a,n/a,n/a,n/a
