district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
บางคอแหลม เคลื่อนที่(3),2023-01-01,24.0,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-02,29.5,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-03,27.8,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-04,20.8,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-05,23.9,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-06,15.3,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-07,17.9,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-08,35.5,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-09,47.1,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-10,33.4,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-11,16.1,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-12,26.5,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-13,20.2,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-14,17.0,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-15,21.5,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-16,23.6,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-17,29.9,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-18,26.7,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-19,22.2,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-20,25.6,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-21,32.8,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-22,39.4,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-23,48.0,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-24,45.0,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-25,20.2,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-26,46.3,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-27,45.0,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-28,19.1,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-29,25.9,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-30,35.7,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-01-31,72.1,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-02-01,86.2,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-02-02,106.8,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-02-03,34.9,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-02-04,21.6,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-02-05,15.3,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-02-06,14.4,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-02-07,14.5,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-02-08,16.2,,,0.0,0.0,0.0
บางคอแหลม เคลื่อนที่(3),2023-02-09,13.0,,,0.0,0.0,0.0
