district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
บางซื่อ,2023-01-01,37.3,24.9,54.1,0.0,58.9,1016.0
บางซื่อ,2023-01-02,40.2,25.3,58.6,0.0,59.8,1016.2
บางซื่อ,2023-01-03,39.9,26.9,54.6,0.0,58.9,1015.7
บางซื่อ,2023-01-04,31.4,27.5,54.4,0.0,56.3,1015.1
บางซื่อ,2023-01-05,32.5,27.4,52.3,0.0,58.4,1014.6
บางซื่อ,2023-01-06,28.3,26.9,49.5,0.0,58.3,1015.1
บางซื่อ,2023-01-07,28.3,25.7,58.7,0.0,52.6,1014.8
บางซื่อ,2023-01-08,46.2,26.5,51.4,0.0,53.2,1013.7
บางซื่อ,2023-01-09,54.0,27.8,53.5,0.0,56.7,1013.5
บางซื่อ,2023-01-10,47.8,27.8,57.2,0.0,65.2,1012.3
บางซื่อ,2023-01-11,25.4,26.0,42.7,0.0,76.8,1011.6
บางซื่อ,2023-01-12,34.8,27.5,131.6,0.0,74.5,1010.9
บางซื่อ,2023-01-13,36.4,28.4,223.2,0.0,75.5,1011.6
บางซื่อ,2023-01-14,29.7,28.9,233.2,0.0,72.0,1010.0
บางซื่อ,2023-01-15,33.2,28.5,182.4,0.0,68.1,1009.3
บางซื่อ,2023-01-16,36.5,28.5,226.6,0.0,66.9,1011.1
บางซื่อ,2023-01-17,40.5,28.0,97.3,0.0,64.9,1012.6
บางซื่อ,2023-01-18,38.7,27.6,58.5,0.0,58.1,1014.5
บางซื่อ,2023-01-19,35.8,26.8,53.4,0.0,55.7,1014.2
บางซื่อ,2023-01-20,39.5,26.9,58.0,0.0,55.4,1013.8
บางซื่อ,2023-01-21,43.6,27.0,59.1,0.0,53.1,1012.8
บางซื่อ,2023-01-22,51.8,26.7,61.6,0.0,52.4,1011.4
บางซื่อ,2023-01-23,63.0,28.0,68.0,0.0,51.0,1010.4
บางซื่อ,2023-01-24,60.7,28.1,52.8,0.0,54.2,1011.2
บางซื่อ,2023-01-25,33.7,24.8,51.7,0.0,53.2,1013.4
บางซื่อ,2023-01-26,53.9,26.0,83.5,0.0,53.9,1012.2
บางซื่อ,2023-01-27,61.3,27.2,55.0,0.0,53.8,1011.5
บางซื่อ,2023-01-28,35.4,25.2,50.0,0.0,56.3,1012.6
บางซื่อ,2023-01-29,39.9,24.0,49.7,0.0,51.6,1014.0
บางซื่อ,2023-01-30,47.4,22.9,68.8,0.0,47.9,1015.2
บางซื่อ,2023-01-31,74.6,24.9,104.2,0.0,48.1,1012.5
บางซื่อ,2023-02-01,89.2,27.3,149.3,0.0,50.2,1010.5
บางซื่อ,2023-02-02,89.8,28.8,124.3,0.0,54.3,1010.1
บางซื่อ,2023-02-03,57.3,29.6,248.6,0.0,64.0,1010.7
บางซื่อ,2023-02-04,36.8,28.4,206.1,0.0,78.0,1010.2
