district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
บางนา,2023-01-01,26.4,1.1,309.3,25.5,55.2,1016.0
บางนา,2023-01-02,34.3,1.0,298.8,25.9,56.6,1016.2
บางนา,2023-01-03,38.7,1.1,299.2,27.3,58.1,1015.6
บางนา,2023-01-04,30.5,0.9,293.7,28.3,52.6,1015.0
บางนา,2023-01-05,30.4,1.2,300.3,28.2,54.6,1014.5
บางนา,2023-01-06,23.2,1.9,315.0,27.3,55.6,1015.1
บางนา,2023-01-07,28.2,1.5,309.5,25.9,51.0,1014.7
บางนา,2023-01-08,46.2,0.8,295.7,27.3,49.2,1013.6
บางนา,2023-01-09,45.0,0.9,298.2,28.4,51.8,1013.4
บางนา,2023-01-10,43.3,1.0,281.7,28.7,59.9,1012.3
บางนา,2023-01-11,32.1,1.2,288.2,26.3,75.0,1011.6
บางนา,2023-01-12,40.8,0.9,295.9,27.1,76.9,1011.0
บางนา,2023-01-13,40.7,1.1,272.0,28.4,76.0,1011.7
บางนา,2023-01-14,27.4,1.2,267.4,28.6,75.5,1010.1
บางนา,2023-01-15,30.1,1.2,273.3,28.9,65.7,1009.3
บางนา,2023-01-16,31.6,1.2,276.4,28.5,68.5,1011.2
บางนา,2023-01-17,42.4,1.0,294.8,28.7,64.2,1012.6
บางนา,2023-01-18,35.8,1.3,311.1,28.1,57.4,1014.5
บางนา,2023-01-19,26.3,1.3,306.7,27.2,52.8,1014.2
บางนา,2023-01-20,37.5,1.2,309.3,27.3,52.7,1013.8
บางนา,2023-01-21,46.9,1.2,302.0,27.9,48.6,1012.8
บางนา,2023-01-22,43.7,1.1,306.5,28.0,45.6,1011.4
บางนา,2023-01-23,60.6,0.7,270.6,29.2,46.0,1010.3
บางนา,2023-01-24,50.9,1.5,311.8,29.2,48.1,1011.2
บางนา,2023-01-25,29.1,1.4,299.5,25.3,49.8,1013.3
บางนา,2023-01-26,48.9,0.9,296.7,27.0,46.8,1012.2
บางนา,2023-01-27,57.6,1.3,309.3,27.9,48.0,1011.6
บางนา,2023-01-28,24.1,1.7,312.4,25.7,52.4,1012.5
บางนา,2023-01-29,29.9,1.7,316.5,24.4,49.4,1014.0
บางนา,2023-01-30,39.6,1.2,299.5,23.8,46.4,1015.1
บางนา,2023-01-31,75.8,0.8,289.6,26.1,41.9,1012.5
บางนา,2023-02-01,102.3,1.0,283.4,28.0,47.0,1010.6
บางนา,2023-02-02,111.5,0.9,284.5,29.3,59.1,1010.2
บางนา,2023-02-03,52.8,1.3,266.4,29.2,69.2,1010.8
บางนา,2023-02-04,34.5,1.4,269.2,28.8,76.0,1010.3
บางนา,2023-02-05,25.8,1.2,268.5,29.1,71.2,1010.3
บางนา,2023-02-06,23.9,1.5,258.9,29.1,74.5,1010.2
บางนา,2023-02-07,25.4,1.7,258.6,28.9,74.3,1010.4
บางนา,2023-02-08,27.0,1.4,260.9,29.3,73.2,1010.3
บางนา,2023-02-09,25.1,1.8,259.0,29.0,75.4,1010.5
บางนา,2023-02-10,23.3,1.7,261.3,29.2,72.0,1010.9
บางนา,2023-02-11,22.6,1.7,253.6,29.5,69.3,1011.0
บางนา,2023-02-12,21.8,1.6,250.9,29.3,72.6,1011.2
บางนา,2023-02-13,26.8,1.6,255.3,29.2,74.5,1011.0
บางนา,2023-02-14,32.3,1.4,257.6,29.8,73.9,1010.6
บางนา,2023-02-15,42.2,1.0,277.8,26.0,90.2,1012.1
บางนา,2023-02-16,40.2,1.2,299.6,26.5,74.5,1013.9
บางนา,2023-02-17,46.5,1.2,301.4,27.5,61.3,1013.9
