district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
บางบอน,2023-01-01,39.0,0.2,76.8,26.0,56.4,1015.4
บางบอน,2023-01-02,36.4,0.3,68.9,26.1,55.9,1015.2
บางบอน,2023-01-03,32.4,0.3,18.0,27.5,56.8,1014.9
บางบอน,2023-01-04,25.5,0.3,31.8,28.3,55.1,1014.4
บางบอน,2023-01-05,25.0,0.3,50.8,28.0,57.8,1013.9
บางบอน,2023-01-06,23.3,0.4,79.2,27.6,55.6,1014.1
บางบอน,2023-01-07,22.9,0.6,88.2,27.0,48.8,1014.1
บางบอน,2023-01-08,42.2,0.2,80.7,27.5,50.7,1013.0
บางบอน,2023-01-09,50.2,0.3,63.1,28.2,55.4,1012.8
บางบอน,2023-01-10,38.3,0.3,72.6,28.6,60.5,1011.6
บางบอน,2023-01-11,22.0,0.6,104.3,27.1,70.3,1010.9
บางบอน,2023-01-12,35.2,0.3,177.2,27.5,74.2,1010.2
บางบอน,2023-01-13,28.8,0.2,191.2,28.2,76.5,1010.8
บางบอน,2023-01-14,26.3,0.3,235.0,28.5,75.8,1009.3
บางบอน,2023-01-15,30.8,0.3,176.4,29.4,66.4,1008.6
บางบอน,2023-01-16,31.2,0.3,284.6,28.4,68.0,1010.3
บางบอน,2023-01-17,37.8,0.2,166.0,28.3,66.3,1011.8
บางบอน,2023-01-18,34.5,0.5,100.7,28.1,0.0,1013.6
บางบอน,2023-01-19,31.0,0.3,121.7,27.8,53.3,1013.5
บางบอน,2023-01-20,34.4,0.3,106.0,27.6,53.0,1013.1
บางบอน,2023-01-21,38.2,0.3,97.8,28.1,50.8,1012.2
บางบอน,2023-01-22,52.8,0.2,95.9,27.8,50.8,1010.8
บางบอน,2023-01-23,49.2,0.2,48.0,28.7,48.5,1009.6
บางบอน,2023-01-24,48.1,0.6,53.5,28.8,50.4,1010.3
บางบอน,2023-01-25,23.0,0.7,72.5,26.5,46.2,1012.5
บางบอน,2023-01-26,52.2,0.2,80.1,26.7,50.7,1011.6
บางบอน,2023-01-27,54.7,0.3,92.9,28.0,50.6,1010.7
บางบอน,2023-01-28,24.3,0.6,70.6,26.8,50.8,1011.7
บางบอน,2023-01-29,28.2,0.6,69.3,25.6,46.7,1013.1
บางบอน,2023-01-30,36.2,0.4,21.0,23.9,45.7,1014.8
บางบอน,2023-01-31,73.2,0.3,102.3,25.5,44.3,1011.9
บางบอน,2023-02-01,97.2,1.2,189.9,26.7,47.7,1009.8
บางบอน,2023-02-02,110.8,0.3,210.5,29.0,62.2,1009.7
บางบอน,2023-02-03,40.7,0.4,269.3,29.1,69.4,1010.0
บางบอน,2023-02-04,25.7,0.5,275.0,29.0,74.3,1009.5
บางบอน,2023-02-05,22.1,0.4,248.9,29.2,70.9,1009.5
บางบอน,2023-02-06,19.8,0.4,228.0,29.1,73.6,1009.3
บางบอน,2023-02-07,20.0,0.5,245.5,28.8,73.4,1009.6
บางบอน,2023-02-08,19.9,0.4,233.9,29.0,73.0,1009.5
บางบอน,2023-02-09,17.7,0.6,273.9,29.2,73.4,1009.7
บางบอน,2023-02-10,17.2,0.4,255.6,29.3,71.1,1010.1
บางบอน,2023-02-11,17.0,0.4,244.4,29.4,69.2,1010.1
บางบอน,2023-02-12,17.1,0.5,230.2,29.2,73.5,1010.4
บางบอน,2023-02-13,19.2,0.5,248.2,29.0,76.0,1010.2
บางบอน,2023-02-14,23.2,0.4,235.8,29.5,74.3,1009.9
บางบอน,2023-02-15,38.0,0.4,218.7,26.1,86.1,1011.0
บางบอน,2023-02-16,34.5,0.5,81.7,26.6,74.6,1013.3
บางบอน,2023-02-17,39.3,0.4,51.4,27.6,61.7,1013.1
บางบอน,2023-02-18,49.2,0.3,62.8,28.1,0.0,1012.4
บางบอน,2023-02-19,56.7,0.2,56.9,28.6,58.2,1011.4
บางบอน,2023-02-20,50.7,0.4,81.4,29.4,56.0,1011.2
บางบอน,2023-02-21,46.0,0.3,109.3,28.7,57.2,1012.3
บางบอน,2023-02-22,52.2,0.4,152.2,29.3,56.7,1012.2
บางบอน,2023-02-23,62.3,0.3,134.7,29.8,53.9,1011.4
บางบอน,2023-02-24,72.7,0.2,107.0,28.3,55.9,1011.7
บางบอน,2023-02-25,46.7,1.0,104.9,29.5,46.4,1013.8
บางบอน,2023-02-26,32.7,0.8,74.3,28.0,46.6,1017.0
บางบอน,2023-02-27,43.0,0.4,56.4,27.0,49.8,1017.1
บางบอน,2023-02-28,54.2,0.2,77.8,27.4,52.8,1015.0
บางบอน,2023-03-01,59.5,0.2,78.5,27.7,54.9,1014.8
บางบอน,2023-03-02,60.2,0.2,124.3,29.5,53.4,1014.3
บางบอน,2023-03-03,44.6,0.4,106.9,29.2,46.8,1015.5
บางบอน,2023-03-04,64.7,0.4,111.4,28.1,54.3,1016.4
บางบอน,2023-03-05,60.0,0.3,160.9,27.9,54.8,1016.0
บางบอน,2023-03-06,64.4,0.4,155.7,28.4,60.7,1014.8
บางบอน,2023-03-07,84.0,0.2,212.2,29.7,56.9,1013.3
บางบอน,2023-03-08,73.7,0.4,260.5,30.1,63.7,1013.0
บางบอน,2023-03-09,50.5,0.3,252.6,29.7,70.6,1011.8
บางบอน,2023-03-10,49.7,0.3,219.7,29.7,71.6,1011.4
บางบอน,2023-03-11,41.7,0.4,266.4,28.7,77.8,1011.8
บางบอน,2023-03-12,38.0,n/a,n/a,n/a,n/a,n/a
บางบอน,2023-03-13,47.1,n/a,n/a,n/a,n/a,n/a
บางบอน,2023-03-14,62.8,0.3,131.1,32.0,48.2,1009.5
