district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
บางพลัด,2023-01-01,37.3,1015.9,n/a,n/a,n/a,n/a
บางพลัด,2023-01-02,41.1,1016.1,n/a,n/a,n/a,n/a
บางพลัด,2023-01-03,36.1,1015.6,n/a,n/a,n/a,n/a
บางพลัด,2023-01-04,28.7,1015.0,n/a,n/a,n/a,n/a
บางพลัด,2023-01-05,31.0,1014.5,n/a,n/a,n/a,n/a
บางพลัด,2023-01-06,31.5,1015.0,n/a,n/a,n/a,n/a
บางพลัด,2023-01-07,30.7,1014.7,n/a,n/a,n/a,n/a
บางพลัด,2023-01-08,47.3,1013.6,n/a,n/a,n/a,n/a
บางพลัด,2023-01-09,54.0,1013.4,n/a,n/a,n/a,n/a
บางพลัด,2023-01-10,46.4,1012.2,n/a,n/a,n/a,n/a
บางพลัด,2023-01-11,26.9,1011.5,n/a,n/a,n/a,n/a
บางพลัด,2023-01-12,36.4,1010.8,n/a,n/a,n/a,n/a
บางพลัด,2023-01-13,34.2,1011.5,n/a,n/a,n/a,n/a
บางพลัด,2023-01-14,25.3,1009.9,n/a,n/a,n/a,n/a
บางพลัด,2023-01-15,27.1,1009.2,n/a,n/a,n/a,n/a
บางพลัด,2023-01-16,36.3,1011.0,n/a,n/a,n/a,n/a
บางพลัด,2023-01-17,40.9,1012.5,n/a,n/a,n/a,n/a
บางพลัด,2023-01-18,38.5,1014.4,n/a,n/a,n/a,n/a
บางพลัด,2023-01-19,38.7,1014.1,n/a,n/a,n/a,n/a
บางพลัด,2023-01-20,38.5,1013.7,n/a,n/a,n/a,n/a
บางพลัด,2023-01-21,46.8,1012.7,n/a,n/a,n/a,n/a
บางพลัด,2023-01-22,56.1,1011.3,n/a,n/a,n/a,n/a
บางพลัด,2023-01-23,60.8,1010.3,n/a,n/a,n/a,n/a
บางพลัด,2023-01-24,57.5,1011.1,n/a,n/a,n/a,n/a
บางพลัด,2023-01-25,29.6,1013.2,n/a,n/a,n/a,n/a
บางพลัด,2023-01-26,51.1,1012.1,n/a,n/a,n/a,n/a
บางพลัด,2023-01-27,62.7,1011.4,n/a,n/a,n/a,n/a
บางพลัด,2023-01-28,33.5,1012.5,n/a,n/a,n/a,n/a
บางพลัด,2023-01-29,37.8,1013.9,n/a,n/a,n/a,n/a
บางพลัด,2023-01-30,43.0,1015.1,n/a,n/a,n/a,n/a
บางพลัด,2023-01-31,73.1,1012.3,n/a,n/a,n/a,n/a
บางพลัด,2023-02-01,86.3,1010.4,n/a,n/a,n/a,n/a
บางพลัด,2023-02-02,94.3,1010.0,n/a,n/a,n/a,n/a
บางพลัด,2023-02-03,47.7,1010.6,n/a,n/a,n/a,n/a
บางพลัด,2023-02-04,27.4,1010.1,n/a,n/a,n/a,n/a
บางพลัด,2023-02-05,24.1,1010.0,n/a,n/a,n/a,n/a
บางพลัด,2023-02-06,24.3,1009.9,n/a,n/a,n/a,n/a
บางพลัด,2023-02-07,18.7,1010.2,n/a,n/a,n/a,n/a
บางพลัด,2023-02-08,20.3,1010.0,n/a,n/a,n/a,n/a
บางพลัด,2023-02-09,20.7,1010.2,n/a,n/a,n/a,n/a
บางพลัด,2023-02-10,18.9,1010.7,n/a,n/a,n/a,n/a
บางพลัด,2023-02-11,16.6,1010.7,n/a,n/a,n/a,n/a
บางพลัด,2023-02-12,16.1,1010.8,n/a,n/a,n/a,n/a
บางพลัด,2023-02-13,20.8,1010.7,n/a,n/a,n/a,n/a
บางพลัด,2023-02-14,24.3,1010.3,n/a,n/a,n/a,n/a
บางพลัด,2023-02-15,38.4,1011.9,n/a,n/a,n/a,n/a
บางพลัด,2023-02-16,33.0,1013.9,n/a,n/a,n/a,n/a
บางพลัด,2023-02-17,38.8,1013.9,n/a,n/a,n/a,n/a
บางพลัด,2023-02-18,46.8,1013.0,n/a,n/a,n/a,n/a
บางพลัด,2023-02-19,57.0,1011.8,n/a,n/a,n/a,n/a
บางพลัด,2023-02-20,47.8,1011.9,n/a,n/a,n/a,n/a
บางพลัด,2023-02-21,41.5,1013.0,n/a,n/a,n/a,n/a
บางพลัด,2023-02-22,51.1,1012.9,n/a,n/a,n/a,n/a
บางพลัด,2023-02-23,56.7,1012.1,n/a,n/a,n/a,n/a
บางพลัด,2023-02-24,68.1,1011.5,n/a,n/a,n/a,n/a
บางพลัด,2023-02-25,51.8,1014.8,n/a,n/a,n/a,n/a
บางพลัด,2023-02-26,41.7,1017.9,n/a,n/a,n/a,n/a
บางพลัด,2023-02-27,49.2,1017.6,n/a,n/a,n/a,n/a
บางพลัด,2023-02-28,60.7,1016.0,n/a,n/a,n/a,n/a
บางพลัด,2023-03-01,62.7,1014.7,n/a,n/a,n/a,n/a
บางพลัด,2023-03-02,63.5,1014.3,n/a,n/a,n/a,n/a
บางพลัด,2023-03-03,48.0,1015.8,n/a,n/a,n/a,n/a
