district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
บางพลัด,2023-01-01,37.3,1015.9,,26.3,59.7,760.1
บางพลัด,2023-01-02,41.1,1016.1,,26.7,59.7,760.2
บางพลัด,2023-01-03,36.1,1015.6,,28.2,59.4,759.8
บางพลัด,2023-01-04,28.7,1015.0,,28.8,57.7,759.4
บางพลัด,2023-01-05,31.0,1014.5,,28.9,59.2,759.0
บางพลัด,2023-01-06,31.5,1015.0,,27.8,59.5,759.4
บางพลัด,2023-01-07,30.7,1014.7,,26.9,54.0,759.1
บางพลัด,2023-01-08,47.3,1013.6,,27.6,55.4,758.3
บางพลัด,2023-01-09,54.0,1013.4,,28.9,58.3,758.2
บางพลัด,2023-01-10,46.4,1012.2,,29.0,65.3,757.3
บางพลัด,2023-01-11,26.9,1011.5,,27.0,74.7,756.8
บางพลัด,2023-01-12,36.4,1010.8,,28.8,72.8,756.2
บางพลัด,2023-01-13,34.2,1011.5,,29.8,72.7,756.7
บางพลัด,2023-01-14,25.3,1009.9,,30.0,71.9,755.5
บางพลัด,2023-01-15,27.1,1009.2,,30.1,66.2,755.0
บางพลัด,2023-01-16,36.3,1011.0,,29.3,67.5,756.3
บางพลัด,2023-01-17,40.9,1012.5,,29.1,65.7,757.4
บางพลัด,2023-01-18,38.5,1014.4,,28.7,59.5,758.9
บางพลัด,2023-01-19,38.7,1014.1,,28.3,55.7,758.7
บางพลัด,2023-01-20,38.5,1013.7,,28.2,55.8,758.4
บางพลัด,2023-01-21,46.8,1012.7,,28.2,55.1,757.6
บางพลัด,2023-01-22,56.1,1011.3,,28.1,54.7,756.6
บางพลัด,2023-01-23,60.8,1010.3,,29.4,51.3,755.8
บางพลัด,2023-01-24,57.5,1011.1,,29.1,55.0,756.4
บางพลัด,2023-01-25,29.6,1013.2,,25.9,54.1,758.1
บางพลัด,2023-01-26,51.1,1012.1,,27.1,54.5,757.2
บางพลัด,2023-01-27,62.7,1011.4,,28.7,53.8,756.7
บางพลัด,2023-01-28,33.5,1012.5,,26.4,56.9,757.5
บางพลัด,2023-01-29,37.8,1013.9,,25.3,52.9,758.6
