district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
บางรัก,2023-01-01,25.0,26.0,210.3,0.0,52.7,1015.4
บางรัก,2023-01-02,31.4,26.1,228.4,0.0,53.3,1015.5
บางรัก,2023-01-03,31.6,27.3,202.9,0.0,56.0,1015.1
บางรัก,2023-01-04,25.3,28.1,99.1,0.0,52.5,1014.5
บางรัก,2023-01-05,27.2,28.3,148.3,0.0,53.9,1014.0
บางรัก,2023-01-06,20.0,27.7,232.8,0.0,53.9,1014.3
บางรัก,2023-01-07,22.2,26.2,283.5,0.0,49.8,1014.3
บางรัก,2023-01-08,38.4,27.2,155.9,0.0,48.5,1013.0
บางรัก,2023-01-09,46.6,28.3,142.9,0.0,52.5,1012.9
บางรัก,2023-01-10,42.1,28.7,152.7,0.0,58.9,1011.8
บางรัก,2023-01-11,20.5,26.7,276.8,0.0,71.5,1011.1
บางรัก,2023-01-12,30.2,27.4,231.7,0.0,73.0,1010.3
บางรัก,2023-01-13,28.5,28.1,186.0,0.0,76.1,1011.0
บางรัก,2023-01-14,22.6,28.4,170.1,0.0,74.9,1009.6
บางรัก,2023-01-15,26.3,28.5,144.9,0.0,67.4,1008.7
บางรัก,2023-01-16,27.5,28.5,171.7,0.0,66.3,1010.3
บางรัก,2023-01-17,31.6,28.8,223.3,0.0,62.5,1011.8
บางรัก,2023-01-18,33.6,28.5,275.8,0.0,55.4,1013.7
บางรัก,2023-01-19,27.5,27.8,308.0,0.0,50.6,1013.6
บางรัก,2023-01-20,30.0,27.9,230.0,0.0,49.1,1013.2
บางรัก,2023-01-21,33.1,28.3,154.4,0.0,47.4,1012.3
บางรัก,2023-01-22,40.9,28.5,188.6,0.0,42.5,1010.9
บางรัก,2023-01-23,53.1,29.6,120.0,0.0,43.7,1009.8
บางรัก,2023-01-24,52.2,29.7,199.0,0.0,44.6,1010.4
บางรัก,2023-01-25,22.3,26.0,246.3,0.0,49.1,1012.5
บางรัก,2023-01-26,48.3,27.0,154.1,0.0,47.1,1011.8
บางรัก,2023-01-27,55.3,28.4,175.7,0.0,46.3,1010.8
บางรัก,2023-01-28,26.7,26.4,325.5,0.0,51.2,1011.8
บางรัก,2023-01-29,29.6,24.9,270.2,0.0,48.2,1013.1
บางรัก,2023-01-30,39.1,23.8,128.6,0.0,44.3,1014.7
บางรัก,2023-01-31,71.8,25.4,139.3,0.0,42.4,1012.1
บางรัก,2023-02-01,83.6,28.1,174.5,0.0,42.9,1010.0
บางรัก,2023-02-02,90.4,29.5,193.9,0.0,52.9,1009.6
บางรัก,2023-02-03,48.9,29.0,154.4,0.0,67.0,1010.1
บางรัก,2023-02-04,30.2,28.7,150.5,0.0,74.2,1009.7
