district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
บางเขน,2023-01-01,36.0,24.9,234.8,0.0,58.1,1015.6
บางเขน,2023-01-02,36.3,25.4,228.5,0.0,57.8,1015.8
บางเขน,2023-01-03,34.8,26.7,251.7,0.0,59.3,1015.2
บางเขน,2023-01-04,28.5,27.5,315.6,0.0,55.0,1014.6
บางเขน,2023-01-05,28.5,27.3,221.0,0.0,57.5,1014.2
บางเขน,2023-01-06,23.8,26.9,106.3,0.0,57.4,1014.7
บางเขน,2023-01-07,22.9,25.6,135.5,0.0,52.3,1014.4
บางเขน,2023-01-08,43.7,26.6,231.5,0.0,52.1,1013.3
บางเขน,2023-01-09,90.1,27.9,259.0,0.0,54.9,1013.0
บางเขน,2023-01-10,39.7,27.9,201.4,0.0,64.3,1011.9
บางเขน,2023-01-11,17.4,25.7,108.8,0.0,78.2,1011.3
บางเขน,2023-01-12,27.6,27.0,123.4,0.0,76.1,1010.5
บางเขน,2023-01-13,41.9,27.9,136.0,0.0,77.4,1011.1
บางเขน,2023-01-14,25.0,28.3,176.5,0.0,72.2,1009.5
บางเขน,2023-01-15,34.0,28.2,252.0,0.0,67.5,1008.8
บางเขน,2023-01-16,37.6,27.8,174.8,0.0,64.5,1010.6
บางเขน,2023-01-17,39.0,27.7,105.1,0.0,66.1,1012.2
บางเขน,2023-01-18,32.2,27.2,90.4,0.0,60.0,1014.1
บางเขน,2023-01-19,31.2,26.3,124.6,0.0,57.8,1013.8
บางเขน,2023-01-20,38.4,26.9,184.2,0.0,54.4,1013.4
บางเขน,2023-01-21,42.6,27.0,291.5,0.0,51.9,1012.3
บางเขน,2023-01-22,49.7,27.0,172.4,0.0,50.1,1011.0
บางเขน,2023-01-23,64.2,28.1,244.1,0.0,50.6,1009.9
บางเขน,2023-01-24,59.6,28.2,185.4,0.0,53.2,1010.8
บางเขน,2023-01-25,31.0,24.6,193.5,0.0,53.3,1013.0
บางเขน,2023-01-26,58.3,26.1,283.8,0.0,52.2,1011.7
บางเขน,2023-01-27,60.9,27.1,132.0,0.0,52.9,1011.2
บางเขน,2023-01-28,33.0,24.9,120.1,0.0,56.5,1012.2
บางเขน,2023-01-29,35.2,23.8,123.9,0.0,51.9,1013.7
บางเขน,2023-01-30,43.9,22.9,303.3,0.0,46.6,1014.8
บางเขน,2023-01-31,73.7,25.0,296.8,0.0,45.4,1012.0
บางเขน,2023-02-01,91.4,27.3,245.5,0.0,47.9,1010.1
บางเขน,2023-02-02,97.4,28.9,163.7,0.0,50.5,1009.7
บางเขน,2023-02-03,53.1,29.1,157.0,0.0,65.7,1010.2
บางเขน,2023-02-04,39.1,28.7,204.8,0.0,74.2,1009.7
บางเขน,2023-02-05,29.3,28.0,188.1,0.0,74.0,1009.7
บางเขน,2023-02-06,102.5,28.2,151.4,0.0,77.7,1009.5
บางเขน,2023-02-07,22.0,28.7,146.0,0.0,72.5,1009.8
บางเขน,2023-02-08,22.7,29.1,146.6,0.0,72.0,1009.5
บางเขน,2023-02-09,22.5,28.9,153.4,0.0,74.4,1009.7
บางเขน,2023-02-10,18.8,29.0,156.2,0.0,72.1,1010.2
บางเขน,2023-02-11,17.5,29.4,148.2,0.0,68.7,1010.2
บางเขน,2023-02-12,19.2,29.3,145.9,0.0,72.2,1010.4
