district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
บางแค,2023-01-01,31.2,1.1,300.1,24.0,63.8,1015.6
บางแค,2023-01-02,32.9,1.1,302.2,24.8,61.5,1015.7
บางแค,2023-01-03,28.9,1.3,322.6,26.4,61.6,1015.3
บางแค,2023-01-04,22.1,1.5,336.5,26.8,60.3,1014.8
บางแค,2023-01-05,24.7,1.3,328.5,26.5,63.3,1014.3
บางแค,2023-01-06,19.3,1.0,268.8,26.1,61.6,1014.6
บางแค,2023-01-07,17.6,1.0,156.4,25.8,76.3,1011.5
บางแค,2023-01-08,38.6,1.4,255.6,25.9,69.0,1013.0
บางแค,2023-01-09,45.0,1.1,326.0,27.1,59.5,1013.2
บางแค,2023-01-10,34.6,0.6,224.0,27.5,65.3,1012.0
บางแค,2023-01-11,17.3,0.6,91.8,26.5,74.1,1011.2
บางแค,2023-01-12,27.2,0.5,185.2,26.8,78.3,1010.5
บางแค,2023-01-13,18.0,0.9,158.3,27.6,80.4,1011.2
บางแค,2023-01-14,21.0,0.9,162.3,27.9,79.2,1009.6
บางแค,2023-01-15,26.2,0.8,247.9,27.4,71.8,1009.0
บางแค,2023-01-16,26.2,0.8,188.1,27.5,71.6,1010.8
บางแค,2023-01-17,32.5,0.3,198.0,27.3,70.9,1012.1
บางแค,2023-01-18,32.8,0.6,113.5,27.0,0.0,1014.0
บางแค,2023-01-19,28.1,0.5,256.2,26.2,59.2,1013.8
บางแค,2023-01-20,30.2,0.8,313.8,26.0,59.5,1013.4
บางแค,2023-01-21,35.3,1.1,298.6,26.2,57.5,1012.4
บางแค,2023-01-22,47.1,0.8,299.3,26.2,56.9,1011.0
บางแค,2023-01-23,50.7,0.8,290.5,27.3,52.8,1010.0
บางแค,2023-01-24,48.2,0.9,162.6,27.7,55.0,1010.9
บางแค,2023-01-25,23.5,1.2,219.9,24.7,51.8,1012.9
บางแค,2023-01-26,50.8,0.9,307.7,25.0,56.4,1012.0
บางแค,2023-01-27,53.8,0.7,207.3,26.6,55.0,1011.2
บางแค,2023-01-28,22.9,1.0,196.7,24.9,56.7,1012.2
บางแค,2023-01-29,25.3,1.4,247.8,23.8,52.1,1013.5
บางแค,2023-01-30,36.4,1.5,339.6,21.9,51.1,1015.0
บางแค,2023-01-31,68.9,0.7,284.2,23.8,49.3,1012.2
บางแค,2023-02-01,85.8,1.5,211.1,25.2,53.6,1010.1
บางแค,2023-02-02,102.1,0.4,271.2,27.8,63.3,1009.8
บางแค,2023-02-03,34.8,1.5,168.9,28.5,72.5,1010.4
บางแค,2023-02-04,21.8,1.6,173.8,28.4,78.4,1009.9
บางแค,2023-02-05,18.5,1.0,162.5,28.4,75.1,1009.9
บางแค,2023-02-06,15.8,1.5,171.2,28.4,77.0,1009.8
บางแค,2023-02-07,16.3,1.8,169.4,28.1,77.1,1010.0
บางแค,2023-02-08,14.3,1.7,170.4,28.5,76.6,1009.8
บางแค,2023-02-09,13.8,2.1,168.2,28.6,77.5,1010.0
บางแค,2023-02-10,11.9,1.8,169.1,28.7,74.2,1010.3
บางแค,2023-02-11,12.5,2.1,168.3,28.7,72.8,1010.5
บางแค,2023-02-12,12.8,2.0,168.0,28.5,77.1,1010.8
บางแค,2023-02-13,15.6,1.9,169.2,28.4,79.6,1010.6
บางแค,2023-02-14,17.0,1.6,170.4,28.9,78.1,1010.1
บางแค,2023-02-15,28.7,0.8,182.4,25.8,82.9,1011.7
บางแค,2023-02-16,26.5,0.8,200.0,26.3,79.3,1013.4
บางแค,2023-02-17,33.7,1.3,232.2,26.5,67.2,1013.6
บางแค,2023-02-18,43.1,1.6,289.0,27.0,0.0,1012.4
