district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
บึงกุ่ม,2023-01-01,31.4,24.4,207.4,0.0,61.8,1016.4
บึงกุ่ม,2023-01-02,38.9,24.5,182.8,0.0,65.3,1016.6
บึงกุ่ม,2023-01-03,36.1,26.5,258.9,0.0,63.6,1016.0
บึงกุ่ม,2023-01-04,29.0,27.2,314.6,0.0,58.3,1015.4
บึงกุ่ม,2023-01-05,30.6,26.8,202.0,0.0,62.5,1014.9
บึงกุ่ม,2023-01-06,27.7,26.2,86.0,0.0,62.5,1015.6
บึงกุ่ม,2023-01-07,25.6,25.0,85.2,0.0,57.6,1015.1
บึงกุ่ม,2023-01-08,42.2,26.4,233.9,0.0,54.3,1014.0
บึงกุ่ม,2023-01-09,50.3,27.6,229.2,0.0,56.6,1013.8
บึงกุ่ม,2023-01-10,42.9,27.6,179.1,0.0,67.1,1012.7
บึงกุ่ม,2023-01-11,24.0,25.4,84.7,0.0,82.2,1012.0
บึงกุ่ม,2023-01-12,33.7,26.6,117.5,0.0,80.4,1011.3
บึงกุ่ม,2023-01-13,50.3,27.5,133.9,0.0,81.3,1012.0
บึงกุ่ม,2023-01-14,29.3,27.8,137.5,0.0,80.0,1010.4
บึงกุ่ม,2023-01-15,32.7,27.9,205.6,0.0,70.6,1009.6
บึงกุ่ม,2023-01-16,42.2,27.4,122.7,0.0,72.0,1011.5
บึงกุ่ม,2023-01-17,44.0,27.2,86.7,0.0,71.0,1013.0
บึงกุ่ม,2023-01-18,39.2,26.6,83.4,0.0,65.1,1014.9
บึงกุ่ม,2023-01-19,29.4,25.8,70.0,0.0,61.6,1014.6
บึงกุ่ม,2023-01-20,38.7,25.9,127.8,0.0,60.9,1014.2
บึงกุ่ม,2023-01-21,39.9,26.5,237.5,0.0,54.9,1013.1
บึงกุ่ม,2023-01-22,50.3,26.0,223.2,0.0,55.7,1011.8
บึงกุ่ม,2023-01-23,64.1,27.3,227.4,0.0,55.5,1010.7
บึงกุ่ม,2023-01-24,62.8,27.5,114.7,0.0,57.3,1011.6
บึงกุ่ม,2023-01-25,28.1,24.2,121.6,0.0,55.6,1013.7
บึงกุ่ม,2023-01-26,49.1,25.4,225.3,0.0,55.0,1012.5
บึงกุ่ม,2023-01-27,58.0,26.3,113.8,0.0,58.1,1012.0
บึงกุ่ม,2023-01-28,28.6,24.4,54.3,0.0,59.4,1013.0
บึงกุ่ม,2023-01-29,33.7,23.2,70.4,0.0,55.9,1014.4
บึงกุ่ม,2023-01-30,41.1,22.5,273.9,0.0,51.3,1015.5
บึงกุ่ม,2023-01-31,66.7,24.4,205.3,0.0,49.2,1012.8
บึงกุ่ม,2023-02-01,95.2,26.4,168.4,0.0,53.8,1010.9
