district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ปทุมวัน,2023-01-01,33.7,25.9,110.0,0.0,53.7,1015.5
ปทุมวัน,2023-01-02,40.1,26.1,140.4,0.0,54.8,1015.7
ปทุมวัน,2023-01-03,38.0,27.5,133.0,0.0,56.3,1015.2
ปทุมวัน,2023-01-04,31.6,28.3,204.9,0.0,53.0,1014.6
ปทุมวัน,2023-01-05,35.7,28.3,160.7,0.0,54.5,1014.1
ปทุมวัน,2023-01-06,29.0,27.5,82.4,0.0,55.1,1014.6
ปทุมวัน,2023-01-07,30.1,26.3,74.2,0.0,49.9,1014.3
ปทุมวัน,2023-01-08,49.7,27.4,161.5,0.0,49.5,1013.2
ปทุมวัน,2023-01-09,56.3,28.6,174.2,0.0,53.2,1013.0
ปทุมวัน,2023-01-10,47.0,28.6,141.9,0.0,61.3,1011.9
ปทุมวัน,2023-01-11,26.5,26.5,66.3,0.0,74.1,1011.1
ปทุมวัน,2023-01-12,34.7,27.5,136.8,0.0,74.0,1010.5
ปทุมวัน,2023-01-13,31.1,28.2,194.6,0.0,76.1,1011.2
ปทุมวัน,2023-01-14,25.2,28.6,292.6,0.0,74.8,1009.6
ปทุมวัน,2023-01-15,31.4,28.8,273.0,0.0,65.3,1008.9
ปทุมวัน,2023-01-16,29.9,28.6,258.9,0.0,67.3,1010.7
ปทุมวัน,2023-01-17,37.1,28.7,141.2,0.0,62.6,1012.2
ปทุมวัน,2023-01-18,37.9,28.3,64.5,0.0,55.5,1014.0
ปทุมวัน,2023-01-19,34.6,27.7,65.1,0.0,51.0,1013.8
ปทุมวัน,2023-01-20,38.7,27.8,111.0,0.0,50.5,1013.4
ปทุมวัน,2023-01-21,43.0,28.3,194.9,0.0,47.5,1012.4
ปทุมวัน,2023-01-22,51.4,28.3,116.6,0.0,43.3,1011.0
ปทุมวัน,2023-01-23,62.1,29.6,179.8,0.0,43.8,1010.0
ปทุมวัน,2023-01-24,59.0,29.4,115.7,0.0,47.1,1010.8
ปทุมวัน,2023-01-25,32.4,25.6,116.9,0.0,49.4,1012.8
ปทุมวัน,2023-01-26,56.1,27.3,174.2,0.0,47.4,1011.8
ปทุมวัน,2023-01-27,61.3,28.3,105.1,0.0,46.9,1011.1
ปทุมวัน,2023-01-28,33.3,26.0,67.2,0.0,52.1,1012.1
ปทุมวัน,2023-01-29,39.1,24.8,67.4,0.0,48.4,1013.5
ปทุมวัน,2023-01-30,47.2,23.9,179.0,0.0,44.0,1014.7
ปทุมวัน,2023-01-31,80.8,25.8,212.2,0.0,43.0,1012.0
ปทุมวัน,2023-02-01,92.3,28.3,182.6,0.0,43.4,1010.1
ปทุมวัน,2023-02-02,100.9,29.7,189.3,0.0,53.5,1009.7
ปทุมวัน,2023-02-03,49.7,29.0,269.8,0.0,67.8,1010.3
ปทุมวัน,2023-02-04,33.3,28.8,294.4,0.0,75.3,1009.8
ปทุมวัน,2023-02-05,26.9,29.1,297.8,0.0,68.3,1009.7
ปทุมวัน,2023-02-06,27.4,29.0,215.5,0.0,73.7,1009.7
ปทุมวัน,2023-02-07,22.6,28.6,281.5,0.0,73.6,1009.9
ปทุมวัน,2023-02-08,22.2,29.0,243.2,0.0,72.3,1009.8
ปทุมวัน,2023-02-09,20.7,28.8,238.3,0.0,75.2,1010.0
ปทุมวัน,2023-02-10,18.6,29.0,275.6,0.0,71.5,1010.4
ปทุมวัน,2023-02-11,19.4,29.2,177.3,0.0,68.9,1010.5
ปทุมวัน,2023-02-12,21.5,29.1,218.4,0.0,73.2,1010.7
ปทุมวัน,2023-02-13,23.8,28.8,218.4,0.0,75.9,1010.5
ปทุมวัน,2023-02-14,28.0,29.6,228.9,0.0,73.8,1010.1
ปทุมวัน,2023-02-15,41.9,26.1,141.8,0.0,87.6,1011.7
ปทุมวัน,2023-02-16,37.8,26.7,117.1,0.0,72.8,1013.6
ปทุมวัน,2023-02-17,43.8,27.7,157.7,0.0,59.7,1013.6
ปทุมวัน,2023-02-18,58.2,28.5,199.3,0.0,54.3,1012.7
ปทุมวัน,2023-02-19,64.0,29.8,214.3,0.0,51.6,1011.5
ปทุมวัน,2023-02-20,49.7,29.5,109.8,0.0,53.3,1011.7
ปทุมวัน,2023-02-21,44.9,29.6,103.4,0.0,50.3,1012.7
ปทุมวัน,2023-02-22,52.9,29.8,87.3,0.0,49.6,1012.7
ปทุมวัน,2023-02-23,57.3,30.3,122.6,0.0,45.9,1011.8
ปทุมวัน,2023-02-24,70.5,30.8,98.6,0.0,45.0,1011.2
ปทุมวัน,2023-02-25,54.0,29.2,63.4,0.0,45.2,1014.4
ปทุมวัน,2023-02-26,41.5,27.1,80.7,0.0,48.6,1017.6
ปทุมวัน,2023-02-27,51.4,26.6,110.6,0.0,49.8,1017.3
ปทุมวัน,2023-02-28,68.0,28.3,197.6,0.0,47.0,1015.7
ปทุมวัน,2023-03-01,67.7,0.9,170.1,30.1,47.0,1014.4
ปทุมวัน,2023-03-02,63.6,1.0,58.8,31.1,45.1,1014.0
ปทุมวัน,2023-03-03,52.4,1.2,90.4,30.0,42.5,1015.5
ปทุมวัน,2023-03-04,66.6,1.4,98.0,29.2,46.7,1016.3
ปทุมวัน,2023-03-05,63.5,1.2,112.8,29.1,49.3,1015.7
ปทุมวัน,2023-03-06,70.2,1.0,99.5,29.2,52.3,1014.5
ปทุมวัน,2023-03-07,88.5,0.5,129.8,30.2,51.6,1013.6
ปทุมวัน,2023-03-08,80.6,0.7,226.0,30.1,64.3,1013.2
ปทุมวัน,2023-03-09,60.7,0.7,235.6,29.5,71.2,1012.1
ปทุมวัน,2023-03-10,60.2,0.8,210.4,29.6,72.0,1011.7
ปทุมวัน,2023-03-11,48.6,0.9,224.1,29.0,76.5,1011.6
ปทุมวัน,2023-03-12,44.4,0.8,254.8,29.1,76.0,1011.6
ปทุมวัน,2023-03-13,54.7,1.2,82.4,28.5,66.6,1012.4
ปทุมวัน,2023-03-14,56.6,1.0,125.4,29.1,55.9,1010.9
ปทุมวัน,2023-03-15,53.7,0.8,253.9,29.2,66.4,1010.7
ปทุมวัน,2023-03-16,37.0,1.0,294.1,29.0,72.7,1011.9
ปทุมวัน,2023-03-17,32.3,0.9,249.3,29.2,71.4,1011.6
ปทุมวัน,2023-03-18,30.3,0.9,257.6,29.3,72.6,1010.5
ปทุมวัน,2023-03-19,30.6,1.0,208.9,29.3,73.7,1009.7
ปทุมวัน,2023-03-20,30.4,0.9,290.6,29.8,73.6,1009.1
ปทุมวัน,2023-03-21,33.4,0.9,232.1,29.7,74.6,1008.9
ปทุมวัน,2023-03-22,30.6,0.9,258.3,30.0,75.3,1007.6
ปทุมวัน,2023-03-23,25.3,0.9,192.1,30.1,74.2,1007.6
ปทุมวัน,2023-03-24,28.2,0.9,270.9,30.3,75.5,1008.1
ปทุมวัน,2023-03-25,28.4,0.9,262.0,30.2,75.6,1008.6
ปทุมวัน,2023-03-26,25.3,0.9,234.7,30.3,74.5,1008.2
ปทุมวัน,2023-03-27,25.3,0.9,262.6,30.3,74.4,1008.3
ปทุมวัน,2023-03-28,21.1,1.0,247.1,30.0,72.6,1009.9
ปทุมวัน,2023-03-29,17.3,0.9,242.0,30.5,66.1,1010.7
ปทุมวัน,2023-03-30,20.5,0.8,263.0,30.2,73.6,1009.0
ปทุมวัน,2023-03-31,24.4,0.9,185.3,30.4,73.2,1008.6
ปทุมวัน,2023-04-01,26.8,0.9,226.7,30.5,72.9,1008.6
ปทุมวัน,2023-04-02,30.5,0.9,292.2,30.3,73.7,1008.3
ปทุมวัน,2023-04-03,42.5,0.8,211.6,31.4,63.3,1007.6
ปทุมวัน,2023-04-04,53.5,0.7,254.9,31.6,64.3,1007.1
ปทุมวัน,2023-04-05,55.8,0.8,237.7,31.8,58.2,1007.4
ปทุมวัน,2023-04-06,52.8,0.8,251.4,31.9,65.4,1008.0
ปทุมวัน,2023-04-07,35.5,0.7,241.5,30.1,72.4,1009.8
ปทุมวัน,2023-04-08,26.1,0.7,261.5,30.9,71.0,1011.7
ปทุมวัน,2023-04-09,25.7,0.8,210.7,31.1,71.5,1011.8
