district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ประเวศ,2023-01-01,37.1,1.3,334.2,25.0,59.2,1015.7
ประเวศ,2023-01-02,38.5,1.0,339.0,25.7,60.6,1016.0
ประเวศ,2023-01-03,37.1,1.2,337.1,27.2,61.0,1015.4
ประเวศ,2023-01-04,29.5,1.1,342.1,28.1,54.9,1014.7
ประเวศ,2023-01-05,32.0,1.3,338.2,27.8,58.1,1014.2
ประเวศ,2023-01-06,25.8,1.8,331.3,27.1,58.6,1015.0
ประเวศ,2023-01-07,29.5,1.6,329.3,25.9,53.4,1014.4
ประเวศ,2023-01-08,45.0,1.1,340.3,27.2,51.7,1013.4
ประเวศ,2023-01-09,51.1,1.2,340.3,28.6,53.4,1013.1
ประเวศ,2023-01-10,43.6,1.4,331.4,28.6,63.4,1012.1
ประเวศ,2023-01-11,26.1,1.6,327.2,26.3,79.9,1011.3
ประเวศ,2023-01-12,41.6,1.0,303.5,27.2,80.4,1010.7
ประเวศ,2023-01-13,43.2,0.9,231.1,28.3,79.5,1011.3
ประเวศ,2023-01-14,28.7,0.9,216.5,28.6,78.5,1009.8
ประเวศ,2023-01-15,33.3,0.8,269.1,28.9,66.4,1009.0
ประเวศ,2023-01-16,40.3,0.8,256.8,28.5,70.6,1010.9
ประเวศ,2023-01-17,45.9,1.1,313.2,28.5,68.0,1012.4
ประเวศ,2023-01-18,38.6,1.5,328.9,27.8,60.9,1014.3
ประเวศ,2023-01-19,32.7,1.4,329.9,26.9,56.4,1013.9
ประเวศ,2023-01-20,43.2,1.3,334.2,27.0,56.9,1013.5
ประเวศ,2023-01-21,44.3,1.1,336.2,27.7,50.8,1012.4
ประเวศ,2023-01-22,51.3,1.0,339.8,27.6,48.7,1011.1
ประเวศ,2023-01-23,68.5,1.0,336.8,28.8,49.1,1010.1
ประเวศ,2023-01-24,57.5,1.8,332.0,28.7,52.0,1011.0
ประเวศ,2023-01-25,32.3,1.9,330.9,25.1,52.0,1013.1
ประเวศ,2023-01-26,52.2,1.1,337.7,26.8,49.0,1011.8
ประเวศ,2023-01-27,61.0,1.4,334.3,27.6,52.1,1011.3
ประเวศ,2023-01-28,28.8,1.8,327.7,25.4,55.1,1012.4
ประเวศ,2023-01-29,36.7,1.9,328.9,24.0,52.4,1013.9
ประเวศ,2023-01-30,47.1,1.3,338.5,23.6,47.8,1014.8
ประเวศ,2023-01-31,78.2,0.9,329.8,26.0,44.2,1012.0
ประเวศ,2023-02-01,112.3,0.9,316.9,28.0,48.4,1010.2
ประเวศ,2023-02-02,111.9,0.9,311.9,29.3,60.7,1009.9
ประเวศ,2023-02-03,51.6,0.8,228.1,29.2,71.5,1010.6
ประเวศ,2023-02-04,38.9,0.9,196.8,29.0,78.6,1009.9
ประเวศ,2023-02-05,27.9,0.8,239.8,29.3,72.7,1009.9
ประเวศ,2023-02-06,26.3,1.1,196.9,29.1,77.2,1009.9
ประเวศ,2023-02-07,28.6,1.1,181.8,28.9,76.7,1010.2
ประเวศ,2023-02-08,28.1,1.1,202.1,29.3,75.8,1009.9
ประเวศ,2023-02-09,26.6,1.2,187.5,29.2,77.9,1010.1
ประเวศ,2023-02-10,27.8,1.1,200.0,29.3,74.4,1010.6
ประเวศ,2023-02-11,24.6,1.3,182.4,29.5,71.8,1010.6
ประเวศ,2023-02-12,23.6,1.4,183.1,29.4,74.9,1010.8
ประเวศ,2023-02-13,28.9,1.2,190.0,29.2,77.4,1010.7
ประเวศ,2023-02-14,33.2,1.0,207.1,29.8,76.3,1010.2
ประเวศ,2023-02-15,51.5,1.0,292.7,26.0,93.5,1011.9
ประเวศ,2023-02-16,41.4,1.5,334.2,26.5,78.4,1013.7
ประเวศ,2023-02-17,47.8,1.4,337.1,27.4,64.3,1013.6
ประเวศ,2023-02-18,62.9,1.2,334.2,28.4,56.4,1012.6
ประเวศ,2023-02-19,69.3,0.9,337.1,29.7,54.5,1011.4
ประเวศ,2023-02-20,55.6,1.4,329.4,29.1,57.6,1011.8
ประเวศ,2023-02-21,51.0,1.3,336.1,29.2,56.2,1012.9
ประเวศ,2023-02-22,63.9,1.3,334.6,29.3,54.5,1012.8
ประเวศ,2023-02-23,66.7,1.0,333.2,29.7,51.4,1011.9
ประเวศ,2023-02-24,73.3,1.2,322.8,30.4,48.8,1011.4
ประเวศ,2023-02-25,54.5,1.8,327.5,28.5,49.9,1014.8
ประเวศ,2023-02-26,40.6,2.0,329.8,26.6,51.0,1017.8
ประเวศ,2023-02-27,52.7,1.6,332.9,26.3,52.9,1017.3
ประเวศ,2023-02-28,68.3,1.2,334.4,28.0,49.7,1015.8
ประเวศ,2023-03-01,67.1,1.1,335.1,30.2,48.1,1014.5
ประเวศ,2023-03-02,68.0,1.4,333.7,30.7,48.8,1014.2
ประเวศ,2023-03-03,54.3,1.4,291.2,29.4,46.3,1015.7
ประเวศ,2023-03-04,69.3,1.3,306.6,28.7,51.1,1016.5
ประเวศ,2023-03-05,71.5,1.2,311.9,28.6,53.8,1016.0
ประเวศ,2023-03-06,75.7,1.1,327.6,29.0,57.1,1014.7
ประเวศ,2023-03-07,97.3,1.0,321.9,29.8,58.1,1013.8
ประเวศ,2023-03-08,88.7,0.9,264.0,30.3,66.7,1013.4
ประเวศ,2023-03-09,64.5,0.9,218.9,29.7,74.4,1012.3
ประเวศ,2023-03-10,n/a,1.0,259.3,29.9,74.2,1011.8
ประเวศ,2023-03-11,51.4,1.1,182.9,29.5,78.2,1011.8
ประเวศ,2023-03-12,46.7,1.1,184.7,29.6,77.4,1011.8
ประเวศ,2023-03-13,56.2,1.6,303.2,28.6,70.0,1012.5
ประเวศ,2023-03-14,61.9,1.3,307.4,29.1,59.2,1011.1
ประเวศ,2023-03-15,59.6,1.0,254.7,29.5,69.6,1010.8
ประเวศ,2023-03-16,39.7,1.1,195.4,29.6,74.2,1012.0
ประเวศ,2023-03-17,36.8,1.2,200.8,29.7,73.0,1011.7
ประเวศ,2023-03-18,n/a,1.1,199.9,29.9,73.9,1010.6
ประเวศ,2023-03-19,n/a,1.4,174.0,29.8,75.3,1009.8
ประเวศ,2023-03-20,n/a,1.3,184.1,30.2,75.0,1009.2
ประเวศ,2023-03-21,32.6,1.5,188.1,30.2,75.7,1009.0
ประเวศ,2023-03-22,n/a,1.3,181.3,30.3,76.7,1007.7
ประเวศ,2023-03-23,25.6,1.5,177.9,30.6,75.2,1007.7
ประเวศ,2023-03-24,28.7,1.3,193.0,30.6,77.4,1008.2
ประเวศ,2023-03-25,29.1,1.4,178.7,30.7,76.8,1008.7
ประเวศ,2023-03-26,25.9,1.5,175.8,30.8,75.6,1008.3
ประเวศ,2023-03-27,26.8,1.4,183.9,30.8,75.2,1008.4
ประเวศ,2023-03-28,22.6,1.6,180.2,30.4,74.5,1010.0
ประเวศ,2023-03-29,21.5,1.3,217.7,30.8,68.2,1010.8
ประเวศ,2023-03-30,30.2,1.3,245.4,30.1,75.9,1009.1
ประเวศ,2023-03-31,25.9,1.6,179.1,31.0,74.8,1008.7
ประเวศ,2023-04-01,29.7,1.7,179.8,31.1,73.0,1008.6
ประเวศ,2023-04-02,31.1,1.7,173.1,30.9,73.5,1008.4
ประเวศ,2023-04-03,41.2,1.2,199.8,31.8,64.1,1007.6
ประเวศ,2023-04-04,50.5,1.3,187.3,31.8,66.5,1007.2
ประเวศ,2023-04-05,56.6,1.0,191.6,31.9,60.9,1007.4
ประเวศ,2023-04-06,46.9,1.1,202.5,32.1,68.9,1008.1
ประเวศ,2023-04-07,40.8,1.0,217.4,30.5,73.9,1009.9
ประเวศ,2023-04-08,33.1,1.1,188.2,31.3,71.8,1011.7
ประเวศ,2023-04-09,31.3,1.2,228.4,31.3,72.8,1011.9
ประเวศ,2023-04-10,27.5,1.4,189.7,31.6,72.5,1010.2
ประเวศ,2023-04-11,39.1,1.4,181.1,31.9,72.8,1009.1
ประเวศ,2023-04-12,42.1,1.6,178.3,31.7,77.2,1008.0
ประเวศ,2023-04-13,47.2,1.5,186.4,32.3,71.3,1007.8
ประเวศ,2023-04-14,51.7,1.3,177.8,32.2,69.9,1007.6
ประเวศ,2023-04-15,63.2,1.3,183.6,32.1,72.9,1006.9
ประเวศ,2023-04-16,59.7,1.3,226.0,30.6,78.4,1007.5
ประเวศ,2023-04-17,59.1,1.0,195.5,31.8,68.0,1008.3
ประเวศ,2023-04-18,46.0,1.4,181.2,31.9,72.0,1008.7
ประเวศ,2023-04-19,49.0,1.4,203.5,32.3,72.6,1006.1
ประเวศ,2023-04-20,54.0,1.2,190.9,33.1,62.4,1004.4
ประเวศ,2023-04-21,63.9,1.1,173.1,33.1,61.4,1004.7
ประเวศ,2023-04-22,62.7,1.3,205.8,33.3,64.9,1005.4
ประเวศ,2023-04-23,45.0,1.6,175.4,32.6,69.3,1007.6
ประเวศ,2023-04-24,35.6,1.1,250.9,32.4,68.7,1009.6
ประเวศ,2023-04-25,33.5,1.0,234.8,31.5,72.0,1008.0
ประเวศ,2023-04-26,38.2,1.0,315.2,27.1,87.1,1009.1
ประเวศ,2023-04-27,50.3,0.9,292.8,30.7,74.2,1009.2
ประเวศ,2023-04-28,37.5,0.9,238.8,31.9,71.5,1008.9
ประเวศ,2023-04-29,34.1,1.2,192.4,32.6,70.0,1007.8
ประเวศ,2023-04-30,30.5,1.0,272.3,28.7,82.6,1008.3
ประเวศ,2023-05-01,40.8,1.0,294.2,30.6,73.2,1008.7
ประเวศ,2023-05-02,37.1,1.0,219.1,31.8,74.9,1009.1
ประเวศ,2023-05-03,23.8,1.1,177.5,32.3,67.8,1009.9
ประเวศ,2023-05-04,21.8,1.3,188.2,32.3,70.9,1008.1
ประเวศ,2023-05-05,28.4,1.2,185.9,33.3,68.7,1005.4
ประเวศ,2023-05-06,29.7,1.3,210.3,34.1,64.3,1003.8
ประเวศ,2023-05-07,28.3,1.4,172.1,34.5,61.5,1003.7
ประเวศ,2023-05-08,29.3,1.3,225.2,33.2,68.7,1004.9
ประเวศ,2023-05-09,30.7,1.2,264.2,31.8,69.9,1007.1
ประเวศ,2023-05-10,28.1,1.1,293.8,28.9,80.0,1008.6
ประเวศ,2023-05-11,39.5,0.9,309.8,30.5,78.5,1009.1
ประเวศ,2023-05-12,22.2,1.0,206.9,32.1,67.6,1009.2
ประเวศ,2023-05-13,26.6,1.3,259.1,30.9,73.2,1009.3
ประเวศ,2023-05-14,24.1,1.4,190.1,32.2,65.0,1009.0
ประเวศ,2023-05-15,33.7,0.9,228.5,32.2,67.5,1009.6
ประเวศ,2023-05-16,37.1,1.0,240.5,31.9,63.6,1010.3
ประเวศ,2023-05-17,37.3,0.9,234.1,33.1,59.7,1010.2
ประเวศ,2023-05-18,29.7,1.0,148.6,33.6,59.0,1009.3
ประเวศ,2023-05-19,30.8,1.0,144.3,33.6,56.7,1007.4
ประเวศ,2023-05-20,33.5,1.0,177.2,33.5,54.4,1006.8
ประเวศ,2023-05-21,32.8,1.1,136.4,33.8,57.6,1007.8
ประเวศ,2023-05-22,29.4,1.1,180.8,33.4,62.3,1008.5
ประเวศ,2023-05-23,29.8,0.9,166.8,32.8,59.7,1008.6
ประเวศ,2023-05-24,33.3,0.9,229.2,32.4,63.7,1008.1
ประเวศ,2023-05-25,31.8,0.9,195.0,32.5,61.9,1008.5
ประเวศ,2023-05-26,34.1,1.0,200.1,33.6,57.5,1008.1
ประเวศ,2023-05-27,32.3,0.9,216.4,32.8,62.7,1006.4
ประเวศ,2023-05-28,33.0,0.9,290.7,30.9,69.6,1005.9
ประเวศ,2023-05-29,29.4,0.8,327.9,29.3,78.3,1006.9
ประเวศ,2023-05-30,34.4,0.9,318.9,29.9,79.5,1006.8
ประเวศ,2023-05-31,30.7,1.0,244.2,31.1,76.6,1006.0
ประเวศ,2023-06-01,30.6,0.9,184.0,32.8,63.8,1005.6
ประเวศ,2023-06-02,32.2,1.0,203.6,32.9,63.5,1006.3
ประเวศ,2023-06-03,25.6,1.1,201.8,32.8,62.8,1007.3
ประเวศ,2023-06-04,16.5,1.1,187.0,32.5,66.2,1007.2
ประเวศ,2023-06-05,18.0,0.9,188.4,32.4,63.2,1006.2
ประเวศ,2023-06-06,24.5,0.9,206.5,31.5,67.0,1005.7
ประเวศ,2023-06-07,22.9,1.4,198.4,31.3,70.3,1006.5
ประเวศ,2023-06-08,20.5,1.2,261.8,29.3,79.6,1007.4
ประเวศ,2023-06-09,19.6,0.8,179.1,30.5,72.1,1006.9
ประเวศ,2023-06-10,20.1,0.9,185.6,30.8,73.1,1005.7
ประเวศ,2023-06-11,16.7,1.1,196.2,31.0,70.1,1005.3
ประเวศ,2023-06-12,18.7,1.1,185.4,30.4,70.7,1005.9
ประเวศ,2023-06-13,18.4,1.0,177.6,30.1,75.6,1006.9
ประเวศ,2023-06-14,18.2,0.9,211.0,30.4,74.6,1008.6
ประเวศ,2023-06-15,17.9,0.8,178.8,30.6,75.3,1008.0
ประเวศ,2023-06-16,16.8,1.1,186.1,31.3,71.2,1007.1
ประเวศ,2023-06-17,18.2,1.0,207.9,31.2,73.2,1007.8
ประเวศ,2023-06-18,18.8,0.9,255.7,30.1,76.8,1008.5
ประเวศ,2023-06-19,20.9,0.9,259.5,30.5,72.8,1008.0
ประเวศ,2023-06-20,20.7,0.9,196.7,31.6,70.0,1008.0
ประเวศ,2023-06-21,21.7,0.8,199.8,32.1,68.1,1008.7
ประเวศ,2023-06-22,28.3,0.9,256.9,29.6,79.7,1008.9
ประเวศ,2023-06-23,24.0,0.9,272.9,32.9,64.4,1007.1
ประเวศ,2023-06-24,14.8,0.9,190.2,32.5,60.0,1006.8
ประเวศ,2023-06-25,15.4,1.0,173.8,32.2,57.9,1006.9
ประเวศ,2023-06-26,14.3,1.0,127.4,31.9,57.8,1007.4
ประเวศ,2023-06-27,18.2,1.0,250.3,31.9,62.2,1007.4
ประเวศ,2023-06-28,23.9,0.8,232.7,32.3,65.0,1008.0
ประเวศ,2023-06-29,25.1,1.0,235.5,32.2,66.7,1007.1
ประเวศ,2023-06-30,21.1,0.9,217.6,31.9,69.3,1006.3
ประเวศ,2023-07-01,21.3,1.5,241.3,30.8,78.3,1006.7
ประเวศ,2023-07-02,14.1,1.2,205.2,30.6,75.9,1007.8
ประเวศ,2023-07-03,19.2,0.8,238.1,30.2,76.6,1008.9
ประเวศ,2023-07-04,24.3,0.7,270.3,30.7,70.1,1009.1
ประเวศ,2023-07-05,30.3,1.1,317.0,29.6,78.2,1008.8
ประเวศ,2023-07-06,26.2,0.9,259.1,31.2,68.5,1009.2
ประเวศ,2023-07-07,21.0,1.0,175.6,32.8,62.2,1008.6
ประเวศ,2023-07-08,20.4,1.1,210.4,31.5,74.3,1008.6
ประเวศ,2023-07-09,21.5,1.0,309.0,28.5,89.1,1008.2
ประเวศ,2023-07-10,21.2,1.1,254.0,29.0,83.4,1008.7
ประเวศ,2023-07-11,20.1,0.9,262.6,29.9,80.8,1008.9
ประเวศ,2023-07-12,29.1,0.8,291.3,31.2,71.5,1009.0
ประเวศ,2023-07-13,21.4,0.8,210.4,32.2,66.0,1008.6
ประเวศ,2023-07-14,17.6,0.9,164.5,32.3,61.0,1008.4
ประเวศ,2023-07-15,21.1,0.9,145.1,32.1,58.3,1007.1
ประเวศ,2023-07-16,19.6,0.9,81.4,31.6,61.3,1005.4
ประเวศ,2023-07-17,13.5,1.1,155.2,31.2,60.8,1004.0
ประเวศ,2023-07-18,15.1,1.0,127.9,31.0,59.7,1004.5
ประเวศ,2023-07-19,19.5,0.9,138.1,31.2,59.4,1004.9
ประเวศ,2023-07-20,30.1,0.7,257.6,30.0,70.3,1005.7
ประเวศ,2023-07-21,26.8,0.8,255.7,30.1,75.9,1007.2
ประเวศ,2023-07-22,24.6,0.9,292.1,28.4,86.6,1008.4
ประเวศ,2023-07-23,22.4,0.8,306.2,28.2,88.4,1008.3
ประเวศ,2023-07-24,23.7,0.7,277.7,29.4,77.9,1007.4
ประเวศ,2023-07-25,23.1,0.8,158.8,31.1,67.1,1007.7
ประเวศ,2023-07-26,19.8,0.8,105.1,31.5,63.5,1008.1
ประเวศ,2023-07-27,14.9,1.1,127.7,32.3,57.4,1007.0
ประเวศ,2023-07-28,13.2,1.1,142.5,31.7,59.8,1005.3
ประเวศ,2023-07-29,19.2,0.8,217.2,31.5,63.5,1005.0
ประเวศ,2023-07-30,20.2,0.8,184.6,30.7,70.7,1005.5
ประเวศ,2023-07-31,19.4,1.1,176.7,30.5,74.7,1006.9
ประเวศ,2023-08-01,20.9,1.2,185.2,30.9,74.2,1007.2
ประเวศ,2023-08-02,25.3,0.8,218.6,30.3,77.1,1007.7
ประเวศ,2023-08-03,26.2,0.8,243.4,29.6,81.8,1007.9
ประเวศ,2023-08-04,26.9,0.7,254.9,30.3,75.1,1010.0
ประเวศ,2023-08-05,23.8,0.9,222.4,30.9,69.1,1010.8
ประเวศ,2023-08-06,18.3,0.9,196.4,31.0,68.7,1009.0
ประเวศ,2023-08-07,19.2,0.8,224.4,31.1,68.7,1007.7
ประเวศ,2023-08-08,19.9,1.0,219.6,31.4,67.5,1008.2
ประเวศ,2023-08-09,22.1,0.9,191.6,31.4,67.2,1009.6
ประเวศ,2023-08-10,23.9,0.8,204.7,31.4,67.9,1009.3
ประเวศ,2023-08-11,20.4,0.9,179.8,31.9,65.3,1008.1
ประเวศ,2023-08-12,24.9,0.8,230.7,30.9,71.8,1007.3
ประเวศ,2023-08-13,22.4,0.8,206.2,31.5,69.4,1007.1
ประเวศ,2023-08-14,22.4,0.8,203.9,31.5,70.5,1007.1
ประเวศ,2023-08-15,23.0,0.8,221.5,31.0,67.4,1007.7
ประเวศ,2023-08-16,21.4,0.8,233.4,31.0,66.4,1008.2
ประเวศ,2023-08-17,25.0,0.8,182.9,30.3,67.7,1008.3
ประเวศ,2023-08-18,22.6,0.9,166.4,31.2,66.5,1007.3
ประเวศ,2023-08-19,22.5,1.0,165.3,32.6,59.3,1006.4
ประเวศ,2023-08-20,22.5,0.9,148.9,30.9,68.7,1006.0
ประเวศ,2023-08-21,22.2,1.1,270.6,29.2,83.1,1006.9
ประเวศ,2023-08-22,22.7,0.8,274.5,29.8,78.2,1008.0
ประเวศ,2023-08-23,23.5,0.7,300.1,29.2,81.1,1007.9
ประเวศ,2023-08-24,24.2,0.7,255.9,29.6,76.6,1007.8
ประเวศ,2023-08-25,22.7,0.7,230.0,30.2,72.1,1008.2
ประเวศ,2023-08-26,22.0,0.7,270.7,30.6,72.0,1008.4
ประเวศ,2023-08-27,19.2,0.7,221.8,31.7,62.6,1007.4
ประเวศ,2023-08-28,20.1,0.9,196.5,31.9,62.8,1006.0
ประเวศ,2023-08-29,21.0,0.8,192.9,31.2,65.3,1005.7
ประเวศ,2023-08-30,18.7,0.8,240.3,31.3,69.9,1006.6
ประเวศ,2023-08-31,27.8,1.1,237.7,30.1,78.1,1007.0
ประเวศ,2023-09-01,26.3,0.7,267.5,29.9,78.8,1006.7
ประเวศ,2023-09-02,27.3,0.8,199.2,31.9,66.4,1005.0
ประเวศ,2023-09-03,22.7,1.0,198.5,31.3,68.1,1004.1
ประเวศ,2023-09-04,18.8,1.0,216.7,31.2,71.5,1003.6
ประเวศ,2023-09-05,15.5,0.8,182.7,31.5,63.5,1005.9
ประเวศ,2023-09-06,20.5,0.7,247.1,30.9,66.2,1008.6
ประเวศ,2023-09-07,20.9,0.7,247.8,31.6,63.3,1008.8
ประเวศ,2023-09-08,17.4,0.8,156.4,31.7,63.1,1008.3
ประเวศ,2023-09-09,19.7,0.8,217.9,30.4,70.6,1006.6
ประเวศ,2023-09-10,21.9,0.8,239.2,28.8,85.0,1006.5
ประเวศ,2023-09-11,17.9,0.9,202.8,29.1,79.1,1007.8
ประเวศ,2023-09-12,16.6,0.8,198.7,29.7,74.0,1008.9
ประเวศ,2023-09-13,21.5,0.8,250.9,29.6,75.6,1009.3
ประเวศ,2023-09-14,25.1,0.8,258.0,28.9,82.2,1008.8
ประเวศ,2023-09-15,20.3,0.7,265.2,29.2,77.6,1007.4
ประเวศ,2023-09-16,18.8,1.0,208.4,30.1,69.8,1007.1
ประเวศ,2023-09-17,16.7,1.1,202.3,30.1,73.7,1007.3
ประเวศ,2023-09-18,22.2,1.0,303.8,28.2,87.4,1009.5
ประเวศ,2023-09-19,31.7,1.1,333.4,29.8,80.5,1010.8
ประเวศ,2023-09-20,32.4,0.9,311.2,31.0,72.4,1009.7
