district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ป้อมปราบศัตรูพ่าย,2023-01-01,29.8,0.3,89.9,26.7,51.6,1015.5
ป้อมปราบศัตรูพ่าย,2023-01-02,34.0,0.3,114.3,26.7,53.2,1015.5
ป้อมปราบศัตรูพ่าย,2023-01-03,32.6,0.2,85.8,27.8,54.7,1015.2
ป้อมปราบศัตรูพ่าย,2023-01-04,28.2,0.2,130.0,28.6,51.9,1014.7
ป้อมปราบศัตรูพ่าย,2023-01-05,28.6,0.2,139.1,28.9,53.2,1014.1
ป้อมปราบศัตรูพ่าย,2023-01-06,25.8,0.5,78.8,28.2,52.5,1014.8
ป้อมปราบศัตรูพ่าย,2023-01-07,27.1,0.4,79.0,27.0,47.4,1014.3
ป้อมปราบศัตรูพ่าย,2023-01-08,40.7,0.2,83.9,27.6,48.4,1013.3
ป้อมปราบศัตรูพ่าย,2023-01-09,47.0,0.2,118.9,28.7,52.6,1013.1
ป้อมปราบศัตรูพ่าย,2023-01-10,40.3,0.5,91.5,29.0,59.3,1011.8
ป้อมปราบศัตรูพ่าย,2023-01-11,25.7,0.8,72.8,27.2,70.0,1011.1
ป้อมปราบศัตรูพ่าย,2023-01-12,30.2,0.4,80.1,28.0,70.3,1010.5
ป้อมปราบศัตรูพ่าย,2023-01-13,22.2,0.4,91.0,28.8,72.0,1011.1
ป้อมปราบศัตรูพ่าย,2023-01-14,19.2,0.4,163.0,29.0,70.8,1009.6
ป้อมปราบศัตรูพ่าย,2023-01-15,25.5,0.2,166.9,29.3,62.8,1009.0
ป้อมปราบศัตรูพ่าย,2023-01-16,23.2,0.3,166.3,28.9,64.8,1010.7
ป้อมปราบศัตรูพ่าย,2023-01-17,36.2,0.5,99.8,29.5,58.4,1012.1
ป้อมปราบศัตรูพ่าย,2023-01-18,35.0,0.8,73.9,29.5,0.0,1014.0
ป้อมปราบศัตรูพ่าย,2023-01-19,32.0,0.4,90.9,28.7,48.1,1013.7
ป้อมปราบศัตรูพ่าย,2023-01-20,35.4,0.3,104.4,28.3,48.9,1013.3
ป้อมปราบศัตรูพ่าย,2023-01-21,40.7,0.2,115.8,28.7,47.2,1012.3
ป้อมปราบศัตรูพ่าย,2023-01-22,48.6,0.2,90.0,29.0,43.6,1011.0
ป้อมปราบศัตรูพ่าย,2023-01-23,58.0,0.2,109.5,29.9,43.8,1010.0
ป้อมปราบศัตรูพ่าย,2023-01-24,55.6,0.4,95.0,29.9,46.9,1010.8
ป้อมปราบศัตรูพ่าย,2023-01-25,30.0,0.6,108.2,26.7,44.4,1012.9
ป้อมปราบศัตรูพ่าย,2023-01-26,49.9,0.2,207.5,27.5,47.8,1011.8
ป้อมปราบศัตรูพ่าย,2023-01-27,57.5,0.3,101.3,28.8,46.3,1011.1
ป้อมปราบศัตรูพ่าย,2023-01-28,31.0,0.6,76.2,27.1,49.0,1012.1
