district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
พญาไท,2023-01-01,28.7,25.2,152.6,0.0,55.4,1016.0
พญาไท,2023-01-02,32.7,25.6,161.1,0.0,55.6,1016.2
พญาไท,2023-01-03,30.4,27.0,173.8,0.0,56.2,1015.6
พญาไท,2023-01-04,23.5,27.4,141.0,0.0,54.1,1015.0
พญาไท,2023-01-05,24.1,27.5,174.0,0.0,55.5,1014.5
พญาไท,2023-01-06,20.8,27.1,194.9,0.0,54.9,1015.1
พญาไท,2023-01-07,22.0,25.9,179.5,0.0,49.6,1014.7
พญาไท,2023-01-08,39.7,26.8,131.4,0.0,49.9,1013.6
พญาไท,2023-01-09,46.5,28.0,142.7,0.0,53.6,1013.5
พญาไท,2023-01-10,39.3,28.1,151.4,0.0,61.8,1012.3
พญาไท,2023-01-11,19.3,26.4,178.3,0.0,73.1,1011.6
พญาไท,2023-01-12,28.6,27.6,154.0,0.0,72.4,1010.9
พญาไท,2023-01-13,27.4,28.5,167.8,0.0,73.4,1011.5
พญาไท,2023-01-14,22.0,28.9,164.8,0.0,70.8,1009.9
พญาไท,2023-01-15,25.6,28.4,133.4,0.0,65.4,1009.2
พญาไท,2023-01-16,26.2,28.4,175.7,0.0,65.7,1011.0
พญาไท,2023-01-17,33.5,28.5,165.4,0.0,61.1,1012.5
พญาไท,2023-01-18,30.7,28.1,175.9,0.0,54.2,1014.4
พญาไท,2023-01-19,27.8,27.5,164.1,0.0,51.1,1014.2
พญาไท,2023-01-20,31.4,27.2,158.8,0.0,51.4,1013.8
พญาไท,2023-01-21,35.8,27.3,123.3,0.0,49.5,1012.8
พญาไท,2023-01-22,42.0,27.3,161.0,0.0,46.0,1011.4
พญาไท,2023-01-23,54.8,28.5,149.5,0.0,45.9,1010.3
พญาไท,2023-01-24,53.0,28.9,183.0,0.0,48.2,1011.2
พญาไท,2023-01-25,27.1,25.2,155.6,0.0,49.4,1013.3
พญาไท,2023-01-26,47.9,26.2,126.8,0.0,50.3,1012.1
พญาไท,2023-01-27,54.0,27.8,166.3,0.0,48.4,1011.5
พญาไท,2023-01-28,27.3,25.6,187.4,0.0,52.3,1012.6
พญาไท,2023-01-29,33.7,24.4,210.5,0.0,48.1,1014.0
พญาไท,2023-01-30,42.2,23.0,105.3,0.0,45.4,1015.2
พญาไท,2023-01-31,70.3,24.9,128.4,0.0,45.0,1012.4
พญาไท,2023-02-01,81.8,27.4,157.1,0.0,45.6,1010.5
พญาไท,2023-02-02,84.7,29.2,164.3,0.0,50.4,1010.1
พญาไท,2023-02-03,47.1,29.4,180.3,0.0,63.3,1010.7
พญาไท,2023-02-04,28.8,28.8,172.2,0.0,73.5,1010.1
พญาไท,2023-02-05,20.6,28.0,165.0,0.0,73.3,1010.1
พญาไท,2023-02-06,21.9,29.2,172.3,0.0,72.3,1010.0
พญาไท,2023-02-07,19.0,28.9,179.9,0.0,70.7,1010.2
พญาไท,2023-02-08,18.7,29.4,179.8,0.0,68.7,1010.0
พญาไท,2023-02-09,17.8,29.1,186.0,0.0,72.6,1010.2
พญาไท,2023-02-10,16.1,29.2,178.9,0.0,69.5,1010.7
พญาไท,2023-02-11,15.7,29.5,180.5,0.0,66.5,1010.7
พญาไท,2023-02-12,17.1,29.3,179.3,0.0,71.0,1010.9
พญาไท,2023-02-13,22.2,29.2,181.8,0.0,72.7,1010.8
พญาไท,2023-02-14,24.5,29.9,179.4,0.0,70.6,1010.3
พญาไท,2023-02-15,37.7,25.6,169.7,0.0,90.3,1012.0
พญาไท,2023-02-16,29.4,26.1,174.5,0.0,76.5,1013.9
พญาไท,2023-02-17,36.7,27.1,151.3,0.0,60.9,1014.0
พญาไท,2023-02-18,50.9,26.0,104.1,0.0,61.5,1014.3
พญาไท,2023-02-20,30.2,30.4,147.8,0.0,48.6,1011.7
พญาไท,2023-02-21,35.3,29.1,178.9,0.0,51.5,1013.1
พญาไท,2023-02-22,43.7,29.3,173.1,0.0,50.4,1013.0
พญาไท,2023-02-23,49.3,29.8,144.2,0.0,46.0,1012.2
พญาไท,2023-02-24,57.1,30.3,159.7,0.0,46.5,1011.6
พญาไท,2023-02-25,45.5,28.9,188.2,0.0,44.8,1014.9
พญาไท,2023-02-26,34.2,26.8,196.2,0.0,48.6,1018.0
พญาไท,2023-02-27,43.2,26.1,174.5,0.0,50.0,1017.7
พญาไท,2023-02-28,54.7,27.4,145.7,0.0,48.4,1016.1
พญาไท,2023-03-01,54.8,0.2,164.4,29.4,48.1,1014.8
พญาไท,2023-03-02,54.6,0.2,176.7,30.7,46.7,1014.4
พญาไท,2023-03-03,42.5,0.3,175.2,29.7,43.2,1015.9
พญาไท,2023-03-04,57.8,0.3,174.4,28.8,47.9,1016.7
พญาไท,2023-03-05,55.4,0.2,166.5,28.4,50.6,1016.2
พญาไท,2023-03-06,58.4,0.3,168.9,29.0,51.5,1014.9
พญาไท,2023-03-07,76.7,0.2,161.7,29.7,51.5,1014.0
พญาไท,2023-03-08,68.5,0.4,171.3,30.4,60.1,1013.6
พญาไท,2023-03-09,54.8,0.5,184.3,29.9,67.3,1012.4
พญาไท,2023-03-10,55.0,0.5,178.7,29.9,69.2,1012.0
พญาไท,2023-03-11,43.5,0.7,185.2,29.2,74.6,1011.9
พญาไท,2023-03-12,38.6,0.7,187.0,29.3,74.3,1011.9
พญาไท,2023-03-13,45.6,0.3,190.1,27.9,70.0,1012.8
พญาไท,2023-03-14,46.9,0.2,176.9,28.8,56.3,1011.3
พญาไท,2023-03-15,48.0,0.4,171.2,29.3,64.8,1011.0
พญาไท,2023-03-16,31.9,0.7,187.1,29.3,70.8,1012.1
พญาไท,2023-03-17,28.2,0.6,183.5,29.6,69.3,1011.9
พญาไท,2023-03-18,24.4,0.6,186.3,29.6,70.6,1010.7
พญาไท,2023-03-19,24.7,0.7,186.4,29.6,71.6,1010.0
พญาไท,2023-03-20,26.3,0.7,185.7,30.1,71.1,1009.3
พญาไท,2023-03-21,26.4,0.7,182.8,30.2,71.7,1009.1
พญาไท,2023-03-22,26.8,0.7,184.0,30.5,71.9,1007.8
พญาไท,2023-03-23,21.6,0.7,184.1,30.6,70.9,1007.9
พญาไท,2023-03-24,24.0,0.6,182.9,30.8,71.8,1008.3
พญาไท,2023-03-25,22.8,0.7,184.5,30.7,72.3,1008.8
พญาไท,2023-03-26,19.4,0.7,185.0,30.7,71.1,1008.4
พญาไท,2023-03-27,22.5,0.7,184.0,30.8,71.2,1008.5
พญาไท,2023-03-28,16.6,0.8,184.9,30.4,69.8,1010.1
พญาไท,2023-03-29,13.6,0.7,184.4,31.0,63.4,1010.9
พญาไท,2023-03-30,15.6,0.7,184.6,30.6,70.7,1009.2
พญาไท,2023-03-31,19.9,0.7,182.3,30.9,70.0,1008.8
พญาไท,2023-04-01,21.6,0.7,181.9,30.9,69.5,1008.8
พญาไท,2023-04-02,24.7,0.8,185.9,30.6,71.2,1008.5
พญาไท,2023-04-03,35.6,0.6,165.9,31.8,60.2,1007.8
พญาไท,2023-04-04,43.2,0.6,169.1,31.9,61.0,1007.3
พญาไท,2023-04-05,47.3,0.5,152.3,32.2,54.7,1007.6
พญาไท,2023-04-06,44.8,0.6,180.1,32.4,62.1,1008.2
พญาไท,2023-04-07,29.4,0.6,177.0,30.4,69.2,1010.1
พญาไท,2023-04-08,21.0,0.6,180.0,31.3,67.2,1011.9
พญาไท,2023-04-09,20.0,0.6,172.1,31.6,68.0,1012.0
พญาไท,2023-04-10,19.3,0.7,179.6,31.7,68.4,1010.3
พญาไท,2023-04-11,31.9,0.6,178.4,32.1,67.8,1009.2
พญาไท,2023-04-12,35.7,0.7,182.0,31.6,72.1,1008.1
พญาไท,2023-04-13,41.3,0.6,178.2,32.2,67.0,1008.0
พญาไท,2023-04-14,46.0,0.6,178.9,32.1,66.4,1007.7
พญาไท,2023-04-15,55.5,0.6,180.2,32.0,69.5,1007.0
พญาไท,2023-04-16,53.4,0.7,175.8,30.5,75.2,1007.6
พญาไท,2023-04-17,48.5,0.7,172.5,31.9,64.1,1008.5
พญาไท,2023-04-18,44.3,0.9,181.2,31.9,67.4,1008.8
พญาไท,2023-04-19,47.0,0.8,171.1,32.4,67.3,1006.2
พญาไท,2023-04-20,45.5,0.8,145.7,32.9,58.9,1004.6
พญาไท,2023-04-21,55.1,0.7,139.3,33.0,57.7,1004.9
พญาไท,2023-04-22,51.6,0.7,171.2,33.1,60.5,1005.6
พญาไท,2023-04-23,36.2,1.0,183.7,32.4,65.1,1007.7
พญาไท,2023-04-24,29.1,0.6,161.3,32.1,67.0,1009.8
พญาไท,2023-04-25,24.3,0.6,174.7,31.9,64.1,1008.1
พญาไท,2023-04-26,23.2,0.4,173.7,28.1,77.3,1009.3
พญาไท,2023-04-27,35.4,0.4,156.3,31.0,67.8,1009.4
พญาไท,2023-04-28,25.0,0.6,169.8,31.7,67.9,1009.1
พญาไท,2023-04-29,26.3,0.7,181.5,32.5,66.1,1007.9
พญาไท,2023-04-30,20.3,0.5,168.4,28.7,77.3,1008.5
พญาไท,2023-05-01,28.5,0.3,171.6,30.9,66.8,1008.9
พญาไท,2023-05-02,25.2,0.5,166.9,31.4,71.5,1009.3
พญาไท,2023-05-03,18.8,0.6,172.7,32.2,64.4,1010.0
พญาไท,2023-05-04,14.7,0.7,181.8,32.3,66.5,1008.2
พญาไท,2023-05-05,20.5,0.7,174.2,33.4,63.0,1005.5
พญาไท,2023-05-06,21.6,0.5,150.6,34.1,57.6,1004.0
พญาไท,2023-05-07,19.6,0.6,149.1,34.6,55.7,1003.9
พญาไท,2023-05-08,21.2,0.6,176.1,33.3,63.4,1005.0
พญาไท,2023-05-09,23.3,0.5,169.3,32.3,64.1,1007.2
พญาไท,2023-05-10,21.1,0.4,181.1,30.1,66.9,1008.8
พญาไท,2023-05-11,23.0,0.3,173.3,29.2,80.8,1009.4
พญาไท,2023-05-12,14.9,0.6,167.0,31.7,66.2,1009.3
พญาไท,2023-05-13,15.9,0.4,165.2,30.1,74.3,1009.5
พญาไท,2023-05-14,17.8,0.7,181.1,31.3,66.1,1009.1
พญาไท,2023-05-15,16.1,0.5,169.9,31.8,65.5,1009.8
พญาไท,2023-05-16,n/a,0.4,155.7,32.1,59.5,1010.4
