district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
พระนคร,2023-01-01,27.6,0.2,185.4,25.3,54.3,1016.3
พระนคร,2023-01-02,30.3,0.2,240.7,25.8,55.2,1016.5
พระนคร,2023-01-03,30.4,0.2,251.6,27.2,54.9,1016.0
พระนคร,2023-01-04,21.6,0.2,294.5,27.4,54.2,1015.4
พระนคร,2023-01-05,25.4,0.2,309.3,27.7,55.1,1014.9
พระนคร,2023-01-06,20.6,0.4,118.0,27.3,53.3,1015.5
พระนคร,2023-01-07,18.4,0.3,139.0,26.2,47.6,1015.0
พระนคร,2023-01-08,36.8,0.2,266.8,26.7,50.3,1014.0
พระนคร,2023-01-09,45.2,0.2,196.0,28.0,53.5,1013.8
พระนคร,2023-01-10,37.3,0.3,130.7,28.2,61.3,1012.6
พระนคร,2023-01-11,19.2,0.4,46.7,26.4,70.8,1011.9
พระนคร,2023-01-12,30.2,0.3,120.3,27.7,70.8,1011.2
พระนคร,2023-01-13,23.8,0.2,206.3,28.5,71.9,1011.9
พระนคร,2023-01-14,23.1,0.2,308.3,28.7,71.3,1010.3
พระนคร,2023-01-15,26.9,0.2,319.3,28.5,63.8,1009.7
พระนคร,2023-01-16,26.6,0.2,279.6,28.5,65.1,1011.5
พระนคร,2023-01-17,34.0,0.3,215.4,28.7,59.8,1012.9
พระนคร,2023-01-18,29.8,0.4,83.9,28.3,51.4,1014.8
พระนคร,2023-01-19,26.8,0.3,111.8,27.6,49.3,1014.5
พระนคร,2023-01-20,29.3,0.2,242.3,27.3,50.8,1014.1
พระนคร,2023-01-21,33.0,0.2,326.4,27.3,49.7,1013.1
พระนคร,2023-01-22,43.7,0.2,280.7,27.5,47.3,1011.7
พระนคร,2023-01-23,51.4,0.1,337.0,28.5,45.8,1010.7
พระนคร,2023-01-24,50.5,0.4,176.6,28.7,49.1,1011.6
พระนคร,2023-01-25,22.5,0.4,161.0,25.2,48.2,1013.7
พระนคร,2023-01-26,45.2,0.2,297.2,26.3,49.9,1012.4
พระนคร,2023-01-27,49.8,0.3,168.4,27.9,47.4,1011.9
พระนคร,2023-01-28,22.4,0.4,91.1,25.9,50.2,1012.9
พระนคร,2023-01-29,27.5,0.4,152.8,24.7,46.0,1014.4
พระนคร,2023-01-30,37.1,0.3,289.5,23.1,44.7,1015.5
พระนคร,2023-01-31,64.3,0.1,323.2,25.1,44.7,1012.7
พระนคร,2023-02-01,78.5,0.2,322.1,27.5,45.3,1010.8
พระนคร,2023-02-02,90.2,0.1,322.4,29.4,51.1,1010.4
พระนคร,2023-02-03,41.5,0.2,318.7,29.2,65.2,1011.1
พระนคร,2023-02-04,30.4,0.2,308.2,29.0,71.8,1010.5
พระนคร,2023-02-05,23.8,0.2,292.5,28.9,67.9,1010.5
พระนคร,2023-02-06,20.9,0.3,250.2,29.4,69.2,1010.3
พระนคร,2023-02-07,20.3,0.3,306.0,29.0,69.2,1010.7
พระนคร,2023-02-08,20.4,0.3,250.4,29.6,67.2,1010.4
พระนคร,2023-02-09,19.5,0.3,317.7,29.3,70.6,1010.7
พระนคร,2023-02-10,16.8,0.3,303.6,29.2,67.8,1011.1
พระนคร,2023-02-11,16.4,0.3,332.0,29.8,65.0,1011.1
พระนคร,2023-02-12,18.1,0.3,305.6,29.7,68.5,1011.3
พระนคร,2023-02-13,20.6,0.3,317.9,29.4,71.3,1011.2
พระนคร,2023-02-14,24.2,0.3,264.6,30.1,69.2,1010.7
พระนคร,2023-02-15,31.1,0.2,282.9,25.5,88.9,1012.5
พระนคร,2023-02-16,29.6,0.2,183.2,26.3,73.2,1014.3
พระนคร,2023-02-17,36.9,0.2,246.1,27.0,60.1,1014.3
พระนคร,2023-02-18,43.5,0.2,335.3,27.9,54.6,1013.3
พระนคร,2023-02-19,52.5,0.1,351.5,29.2,52.6,1012.1
พระนคร,2023-02-20,41.4,0.3,147.5,29.4,51.4,1012.4
พระนคร,2023-02-21,36.7,0.3,186.6,29.4,50.0,1013.4
พระนคร,2023-02-22,46.1,0.3,160.5,29.7,48.6,1013.3
พระนคร,2023-02-23,48.5,0.2,249.6,30.0,45.2,1012.5
พระนคร,2023-02-24,61.3,0.3,205.9,30.6,45.0,1011.9
พระนคร,2023-02-25,42.8,0.5,44.1,29.2,42.8,1015.3
พระนคร,2023-02-26,33.4,0.4,160.1,27.0,46.9,1018.4
พระนคร,2023-02-27,41.9,0.3,144.1,26.3,48.7,1018.0
พระนคร,2023-02-28,53.0,0.2,309.5,27.5,48.7,1016.4
พระนคร,2023-03-01,56.6,0.2,230.4,29.6,47.8,1015.1
พระนคร,2023-03-02,55.9,0.2,221.7,30.9,45.1,1014.7
พระนคร,2023-03-03,41.6,0.3,139.7,29.8,42.3,1016.3
พระนคร,2023-03-04,57.3,0.3,157.3,29.0,46.5,1017.0
พระนคร,2023-03-05,53.8,0.3,167.3,28.7,48.9,1016.5
พระนคร,2023-03-06,62.6,0.2,194.5,29.1,52.8,1015.2
พระนคร,2023-03-07,82.1,0.2,268.5,29.8,51.4,1014.3
พระนคร,2023-03-08,76.9,0.2,238.7,30.2,60.6,1013.9
พระนคร,2023-03-09,58.3,0.2,248.3,29.7,68.0,1012.7
พระนคร,2023-03-10,57.8,0.2,249.7,29.7,69.1,1012.3
พระนคร,2023-03-11,48.0,0.3,275.6,29.4,72.5,1012.3
พระนคร,2023-03-12,43.5,0.3,350.8,29.5,72.3,1012.3
พระนคร,2023-03-13,60.7,0.3,224.6,28.3,65.3,1013.1
พระนคร,2023-03-14,51.9,0.3,181.8,28.8,56.1,1011.6
พระนคร,2023-03-15,49.7,0.2,291.7,29.4,63.8,1011.4
พระนคร,2023-03-16,35.6,0.3,274.4,29.5,68.6,1012.6
พระนคร,2023-03-17,30.4,0.3,318.9,29.6,67.5,1012.2
พระนคร,2023-03-18,28.6,0.3,303.0,29.9,68.3,1011.1
พระนคร,2023-03-19,29.3,0.3,330.8,29.8,69.3,1010.4
พระนคร,2023-03-20,30.2,0.3,332.6,30.3,69.3,1009.7
พระนคร,2023-03-21,28.4,0.3,317.2,30.3,70.1,1009.5
พระนคร,2023-03-22,28.5,0.3,317.6,30.5,70.6,1008.1
พระนคร,2023-03-23,23.8,0.3,344.4,30.8,69.2,1008.3
พระนคร,2023-03-24,25.6,0.3,276.7,30.9,70.7,1008.7
พระนคร,2023-03-25,25.7,0.3,318.4,30.9,70.7,1009.3
พระนคร,2023-03-26,23.2,0.3,333.9,31.1,69.3,1008.8
พระนคร,2023-03-27,24.7,0.3,319.3,30.9,69.8,1009.0
พระนคร,2023-03-28,18.3,0.4,331.1,30.6,67.8,1010.6
พระนคร,2023-03-29,14.1,0.3,248.0,31.3,61.7,1011.2
พระนคร,2023-03-30,18.8,0.3,333.6,30.7,69.1,1009.5
พระนคร,2023-03-31,20.6,0.4,331.0,31.1,68.0,1009.2
พระนคร,2023-04-01,25.4,0.4,331.3,31.1,68.0,1009.2
พระนคร,2023-04-02,29.7,0.3,345.3,30.9,68.8,1008.9
พระนคร,2023-04-03,39.5,0.3,292.0,31.9,59.3,1008.2
พระนคร,2023-04-04,49.0,0.3,291.9,32.0,60.0,1007.7
พระนคร,2023-04-05,50.1,0.2,292.2,32.2,54.8,1008.0
พระนคร,2023-04-06,49.5,0.3,264.0,32.6,60.2,1008.6
พระนคร,2023-04-07,32.8,0.3,236.2,30.2,68.5,1010.4
พระนคร,2023-04-08,23.8,0.3,277.2,31.5,66.4,1012.2
พระนคร,2023-04-09,22.9,0.3,249.3,31.8,66.5,1012.4
พระนคร,2023-04-10,21.6,0.3,335.0,31.7,66.9,1010.7
พระนคร,2023-04-11,35.2,0.3,307.5,32.2,66.4,1009.5
พระนคร,2023-04-12,41.6,0.3,349.4,31.8,70.9,1008.5
พระนคร,2023-04-13,50.8,0.3,292.8,32.4,65.2,1008.3
พระนคร,2023-04-14,55.4,0.3,264.2,32.4,64.8,1008.1
พระนคร,2023-04-15,71.0,0.3,277.5,32.3,68.3,1007.4
พระนคร,2023-04-16,78.1,0.3,238.1,30.3,75.4,1008.0
พระนคร,2023-04-17,57.8,0.3,308.2,31.9,64.3,1008.8
พระนคร,2023-04-18,55.0,0.3,320.7,31.9,66.9,1009.2
พระนคร,2023-04-19,57.7,0.3,275.7,32.4,66.7,1006.6
พระนคร,2023-04-20,51.7,0.3,348.8,32.9,59.1,1005.0
พระนคร,2023-04-21,62.5,0.2,335.4,33.0,58.0,1005.2
พระนคร,2023-04-22,60.5,0.3,305.1,33.2,59.8,1006.0
พระนคร,2023-04-23,47.2,0.3,318.2,32.7,64.1,1008.1
พระนคร,2023-04-24,32.7,0.3,209.3,32.5,63.2,1010.2
พระนคร,2023-04-25,27.3,0.3,221.9,31.9,63.0,1008.5
พระนคร,2023-04-26,25.0,0.2,214.5,27.9,76.5,1009.6
พระนคร,2023-04-27,42.2,0.2,236.6,30.8,67.2,1009.7
พระนคร,2023-04-28,31.7,0.2,253.7,32.1,65.4,1009.4
พระนคร,2023-04-29,32.7,0.3,334.0,32.7,64.2,1008.3
พระนคร,2023-04-30,23.5,0.3,189.5,28.9,73.5,1008.8
พระนคร,2023-05-01,32.0,0.2,200.1,31.0,64.3,1009.3
พระนคร,2023-05-02,28.2,0.2,235.3,31.6,68.5,1009.7
พระนคร,2023-05-03,26.2,0.2,335.9,32.2,63.1,1010.4
พระนคร,2023-05-04,20.9,0.3,306.7,32.5,64.6,1008.6
พระนคร,2023-05-05,24.7,0.2,292.2,33.6,61.5,1005.9
พระนคร,2023-05-06,26.0,0.2,350.0,34.2,57.0,1004.3
พระนคร,2023-05-07,26.8,0.2,320.5,34.6,55.5,1004.3
พระนคร,2023-05-08,28.1,0.3,256.0,33.5,62.0,1005.4
พระนคร,2023-05-09,29.0,0.3,212.5,32.3,63.8,1007.6
พระนคร,2023-05-10,23.6,0.2,242.0,29.9,66.4,1009.2
พระนคร,2023-05-11,26.9,0.1,251.9,29.3,77.4,1009.8
พระนคร,2023-05-12,17.2,0.3,292.6,31.8,63.7,1009.7
พระนคร,2023-05-13,21.5,0.2,265.4,30.0,74.1,1009.8
พระนคร,2023-05-14,20.5,0.3,320.4,31.5,63.9,1009.5
พระนคร,2023-05-15,34.0,0.2,307.0,31.7,64.9,1010.2
พระนคร,2023-05-16,40.5,0.2,323.8,32.1,58.9,1010.8
พระนคร,2023-05-17,35.6,0.2,335.6,32.5,57.3,1010.8
พระนคร,2023-05-18,32.9,0.2,334.6,33.3,55.1,1009.7
พระนคร,2023-05-19,29.8,0.2,346.2,33.1,54.5,1008.0
พระนคร,2023-05-20,29.8,0.2,349.5,33.0,53.5,1007.5
พระนคร,2023-05-21,30.6,0.2,322.2,33.5,54.5,1008.3
พระนคร,2023-05-22,26.4,0.2,347.8,33.1,59.4,1009.1
พระนคร,2023-05-23,27.3,0.2,350.0,32.0,59.7,1009.2
พระนคร,2023-05-24,26.2,0.2,334.8,32.0,59.3,1008.6
