district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
พระโขนง,2023-01-01,27.0,1.3,175.6,25.6,52.5,1015.6
พระโขนง,2023-01-02,32.6,1.4,170.4,26.2,54.0,1015.9
พระโขนง,2023-01-03,32.8,1.3,185.2,27.5,55.8,1015.1
พระโขนง,2023-01-04,25.5,1.1,205.9,28.2,51.2,1014.6
พระโขนง,2023-01-05,27.4,1.5,177.2,28.5,51.8,1014.1
พระโขนง,2023-01-06,22.9,1.4,167.4,27.5,53.5,1014.8
พระโขนง,2023-01-07,27.6,1.3,163.2,26.2,49.3,1014.3
พระโขนง,2023-01-08,40.2,1.2,195.4,27.3,47.6,1013.2
พระโขนง,2023-01-09,45.9,1.3,184.5,27.9,52.1,1013.0
พระโขนง,2023-01-10,37.5,1.2,159.3,28.9,58.1,1011.9
พระโขนง,2023-01-11,20.6,1.3,146.4,26.6,71.8,1011.2
พระโขนง,2023-01-12,28.1,1.4,171.8,27.1,74.0,1010.6
พระโขนง,2023-01-13,24.3,1.8,193.7,27.7,75.5,1011.2
พระโขนง,2023-01-14,17.9,1.6,210.0,28.0,74.5,1009.6
พระโขนง,2023-01-15,22.5,1.4,222.0,28.0,66.0,1008.9
พระโขนง,2023-01-16,24.8,1.7,199.6,27.8,67.8,1010.7
พระโขนง,2023-01-17,35.6,1.6,156.5,28.5,62.6,1012.1
พระโขนง,2023-01-18,37.5,1.3,160.3,28.0,56.3,1014.1
พระโขนง,2023-01-19,30.3,1.3,174.7,27.3,51.9,1013.8
พระโขนง,2023-01-20,37.7,1.5,150.5,27.6,50.5,1013.3
พระโขนง,2023-01-21,36.1,1.3,190.8,27.8,47.2,1012.4
พระโขนง,2023-01-22,44.4,1.6,172.6,27.9,44.5,1011.0
พระโขนง,2023-01-23,55.2,1.4,166.3,29.2,44.0,1010.0
พระโขนง,2023-01-24,49.9,1.4,156.4,29.4,46.0,1010.8
พระโขนง,2023-01-25,27.7,0.8,165.6,25.6,47.5,1013.0
พระโขนง,2023-01-26,45.9,1.4,175.4,27.0,45.3,1011.8
พระโขนง,2023-01-27,53.4,1.5,152.5,28.2,46.8,1011.2
พระโขนง,2023-01-28,26.7,1.0,180.0,26.0,50.6,1012.2
พระโขนง,2023-01-29,32.4,1.0,173.6,24.0,49.4,1013.6
พระโขนง,2023-01-30,39.9,1.1,225.3,23.8,43.6,1014.9
พระโขนง,2023-01-31,64.9,1.5,179.6,25.7,41.6,1012.1
พระโขนง,2023-02-01,86.3,1.4,205.2,27.2,47.2,1010.2
พระโขนง,2023-02-02,92.7,1.4,188.2,28.9,57.6,1009.8
พระโขนง,2023-02-03,34.3,1.7,208.7,28.3,69.5,1010.4
พระโขนง,2023-02-04,23.9,1.7,204.3,27.3,80.3,1009.8
พระโขนง,2023-02-05,15.7,1.5,211.9,28.2,71.3,1009.8
พระโขนง,2023-02-06,14.1,2.0,197.5,28.2,75.5,1009.8
พระโขนง,2023-02-07,13.6,2.0,200.1,28.0,74.7,1009.9
พระโขนง,2023-02-08,13.0,2.0,197.2,28.3,74.0,1009.8
พระโขนง,2023-02-09,15.2,2.0,202.3,28.4,75.3,1010.0
พระโขนง,2023-02-10,13.0,2.0,201.0,28.5,71.8,1010.2
พระโขนง,2023-02-11,11.1,2.1,198.7,28.8,68.5,1010.5
พระโขนง,2023-02-12,13.6,2.1,197.9,28.6,72.0,1010.6
พระโขนง,2023-02-13,16.4,2.0,196.0,28.5,74.5,1010.5
พระโขนง,2023-02-14,17.6,1.9,192.4,28.9,74.1,1010.1
พระโขนง,2023-02-15,28.5,2.9,157.3,25.5,88.0,1011.6
พระโขนง,2023-02-16,31.3,1.9,167.5,26.4,73.5,1013.5
พระโขนง,2023-02-17,39.4,1.3,191.3,27.6,59.0,1013.4
พระโขนง,2023-02-18,50.4,1.3,191.2,28.4,52.6,1012.5
