district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ภาษีเจริญ,2023-01-01,32.2,25.1,193.9,0.0,59.5,1015.4
ภาษีเจริญ,2023-01-02,36.9,25.4,210.5,0.0,61.1,1015.7
ภาษีเจริญ,2023-01-03,40.3,27.0,227.8,0.0,59.9,1015.1
ภาษีเจริญ,2023-01-04,80.5,27.3,229.8,0.0,59.0,1014.5
ภาษีเจริญ,2023-01-05,29.8,27.3,222.7,0.0,61.6,1014.1
ภาษีเจริญ,2023-01-06,25.4,27.0,161.7,0.0,59.1,1014.6
ภาษีเจริญ,2023-01-07,24.4,26.4,149.8,0.0,50.9,1014.2
ภาษีเจริญ,2023-01-08,46.8,26.6,235.6,0.0,55.7,1013.2
ภาษีเจริญ,2023-01-09,54.1,27.7,202.5,0.0,58.5,1013.0
ภาษีเจริญ,2023-01-10,40.9,28.1,161.8,0.0,64.7,1011.8
ภาษีเจริญ,2023-01-11,24.1,26.9,94.3,0.0,74.5,1011.0
ภาษีเจริญ,2023-01-12,33.5,27.4,153.6,0.0,78.3,1010.4
ภาษีเจริญ,2023-01-13,23.7,28.0,142.5,0.0,81.8,1011.1
ภาษีเจริญ,2023-01-14,25.2,28.1,192.5,0.0,80.9,1009.5
ภาษีเจริญ,2023-01-15,28.0,28.2,228.4,0.0,72.0,1008.9
ภาษีเจริญ,2023-01-16,30.9,28.1,214.6,0.0,71.8,1010.6
ภาษีเจริญ,2023-01-17,97.6,28.1,181.5,0.0,69.2,1012.0
ภาษีเจริญ,2023-01-18,40.1,28.2,117.0,0.0,57.8,1013.9
ภาษีเจริญ,2023-01-19,33.6,27.2,171.3,0.0,56.1,1013.7
ภาษีเจริญ,2023-01-20,36.7,26.9,221.9,0.0,56.3,1013.3
ภาษีเจริญ,2023-01-21,39.7,27.1,192.8,0.0,54.7,1012.3
ภาษีเจริญ,2023-01-22,53.7,27.0,210.0,0.0,54.7,1010.9
ภาษีเจริญ,2023-01-23,58.6,28.1,221.7,0.0,51.4,1009.9
ภาษีเจริญ,2023-01-24,59.3,28.5,160.9,0.0,54.2,1010.7
ภาษีเจริญ,2023-01-25,32.8,25.6,146.8,0.0,51.5,1012.8
ภาษีเจริญ,2023-01-26,57.5,25.9,243.4,0.0,55.9,1011.7
ภาษีเจริญ,2023-01-27,59.6,27.6,167.1,0.0,53.6,1011.0
ภาษีเจริญ,2023-01-28,30.3,26.0,120.0,0.0,53.9,1012.0
