district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
มีนบุรี,2023-01-01,29.8,0.4,151.1,24.2,63.5,1016.6
มีนบุรี,2023-01-02,36.3,0.4,196.9,24.7,64.0,1016.9
มีนบุรี,2023-01-03,31.5,0.5,180.4,26.4,64.0,1016.3
มีนบุรี,2023-01-04,26.9,0.5,288.3,27.2,58.8,1015.7
มีนบุรี,2023-01-05,30.9,0.4,198.2,26.6,63.6,1015.3
มีนบุรี,2023-01-06,23.8,0.5,145.5,26.3,62.3,1015.9
มีนบุรี,2023-01-07,22.2,0.6,135.3,24.9,57.3,1015.4
มีนบุรี,2023-01-08,38.8,0.5,215.1,26.3,55.2,1014.3
มีนบุรี,2023-01-09,46.6,0.5,223.7,27.7,56.8,1014.1
มีนบุรี,2023-01-10,37.1,0.8,203.5,27.9,65.8,1013.0
มีนบุรี,2023-01-11,17.8,0.8,139.2,25.2,82.1,1012.4
มีนบุรี,2023-01-12,30.1,0.5,126.1,26.8,78.5,1011.7
มีนบุรี,2023-01-13,38.2,0.7,124.1,27.5,80.2,1012.4
มีนบุรี,2023-01-14,23.3,0.6,185.2,27.8,77.8,1010.9
มีนบุรี,2023-01-15,28.8,0.4,234.9,28.0,71.1,1010.2
มีนบุรี,2023-01-16,37.1,0.5,148.8,27.6,68.9,1011.8
มีนบุรี,2023-01-17,38.3,0.7,134.9,27.3,70.1,1013.6
มีนบุรี,2023-01-18,29.6,1.0,132.2,26.7,63.8,1015.5
มีนบุรี,2023-01-19,25.1,0.6,130.0,25.9,60.8,1015.1
มีนบุรี,2023-01-20,34.8,0.5,177.3,26.0,60.2,1014.7
มีนบุรี,2023-01-21,36.7,0.4,210.2,26.7,53.9,1013.5
มีนบุรี,2023-01-22,45.2,0.4,163.5,26.4,54.2,1012.2
มีนบุรี,2023-01-23,69.1,0.5,199.4,27.6,54.5,1011.1
มีนบุรี,2023-01-24,53.6,0.7,215.0,27.4,57.9,1011.7
มีนบุรี,2023-01-25,25.7,0.8,164.8,24.3,55.2,1014.0
มีนบุรี,2023-01-26,54.5,0.4,162.0,25.6,54.4,1012.8
มีนบุรี,2023-01-27,55.0,0.6,139.8,26.5,57.3,1012.2
มีนบุรี,2023-01-28,26.4,0.7,124.3,24.4,59.1,1013.2
มีนบุรี,2023-01-29,30.7,0.7,124.3,23.1,56.1,1014.6
มีนบุรี,2023-01-30,43.5,0.5,210.2,22.6,53.2,1015.7
มีนบุรี,2023-01-31,65.3,0.4,211.6,24.8,48.6,1012.9
มีนบุรี,2023-02-01,91.6,0.4,171.8,26.8,53.3,1011.0
มีนบุรี,2023-02-02,100.3,0.3,145.0,28.5,58.0,1010.7
มีนบุรี,2023-02-03,45.5,0.5,155.6,28.8,69.7,1011.3
มีนบุรี,2023-02-04,37.1,0.5,181.3,28.7,77.2,1010.7
มีนบุรี,2023-02-05,31.3,0.3,160.7,27.9,78.3,1010.8
มีนบุรี,2023-02-06,26.1,0.7,185.7,28.6,77.3,1010.8
มีนบุรี,2023-02-07,20.7,0.7,167.1,28.5,75.8,1011.1
มีนบุรี,2023-02-08,20.3,0.7,173.6,28.9,74.9,1011.0
มีนบุรี,2023-02-09,20.6,0.7,149.3,28.9,76.6,1011.2
มีนบุรี,2023-02-10,15.7,0.6,188.8,28.9,75.1,1011.7
มีนบุรี,2023-02-11,15.0,0.7,188.8,29.2,71.5,1011.8
มีนบุรี,2023-02-12,16.2,0.9,167.1,29.1,73.6,1012.0
มีนบุรี,2023-02-13,22.0,0.6,161.6,28.9,75.6,1011.8
มีนบุรี,2023-02-14,24.4,0.7,157.9,29.3,75.4,1011.4
มีนบุรี,2023-02-15,43.2,0.5,182.5,25.4,93.5,1013.1
มีนบุรี,2023-02-16,36.5,0.7,170.9,25.8,79.3,1015.1
มีนบุรี,2023-02-17,42.3,0.8,234.5,26.5,67.5,1015.1
มีนบุรี,2023-02-18,55.0,0.6,251.6,27.2,59.2,1014.1
มีนบุรี,2023-02-19,64.3,0.5,188.3,28.6,58.9,1012.8
มีนบุรี,2023-02-20,47.8,0.9,175.2,28.1,60.7,1013.1
มีนบุรี,2023-02-21,46.6,0.7,198.6,28.1,59.2,1014.0
มีนบุรี,2023-02-22,55.6,0.9,167.6,28.2,58.2,1013.9
มีนบุรี,2023-02-23,55.7,0.6,162.1,28.7,53.1,1013.0
มีนบุรี,2023-02-24,66.7,0.5,168.1,29.2,53.5,1012.3
มีนบุรี,2023-02-25,42.4,1.0,119.7,27.6,52.2,1015.6
มีนบุรี,2023-02-26,34.1,0.8,133.6,25.8,54.8,1018.7
มีนบุรี,2023-02-27,44.3,0.6,159.1,25.3,56.4,1018.3
มีนบุรี,2023-02-28,66.6,0.6,214.4,26.9,54.0,1016.6
มีนบุรี,2023-03-01,60.6,0.6,205.3,28.9,53.2,1015.3
มีนบุรี,2023-03-02,52.8,0.7,127.9,29.7,51.8,1015.0
มีนบุรี,2023-03-03,42.8,0.6,147.0,28.3,50.2,1016.5
มีนบุรี,2023-03-04,61.3,0.7,148.5,27.7,54.7,1017.3
มีนบุรี,2023-03-05,59.9,0.6,158.5,27.5,57.2,1016.7
มีนบุรี,2023-03-06,70.7,0.6,166.4,28.1,55.6,1015.4
มีนบุรี,2023-03-07,96.6,0.6,143.6,28.7,59.1,1014.6
มีนบุรี,2023-03-08,85.1,0.6,162.7,29.5,66.5,1014.2
มีนบุรี,2023-03-09,63.8,0.6,152.4,29.2,73.4,1013.0
มีนบุรี,2023-03-10,61.9,0.7,164.9,29.2,74.1,1012.7
มีนบุรี,2023-03-11,46.2,0.8,169.3,29.0,77.6,1012.6
มีนบุรี,2023-03-12,40.9,0.7,151.4,29.2,76.4,1012.7
มีนบุรี,2023-03-13,47.8,0.8,154.6,28.2,68.2,1013.6
มีนบุรี,2023-03-14,55.9,0.5,203.9,28.3,59.7,1012.2
มีนบุรี,2023-03-15,55.1,0.5,146.8,28.8,69.3,1011.8
มีนบุรี,2023-03-16,33.8,0.7,162.5,29.1,74.4,1013.0
มีนบุรี,2023-03-17,28.8,0.7,169.7,29.2,73.2,1012.7
มีนบุรี,2023-03-18,28.5,0.3,142.3,29.4,73.7,1011.6
มีนบุรี,2023-03-19,26.3,0.5,153.0,29.5,74.2,1010.9
มีนบุรี,2023-03-20,26.0,0.5,171.5,30.0,73.5,1010.3
มีนบุรี,2023-03-21,26.8,0.7,168.5,29.9,74.4,1010.2
มีนบุรี,2023-03-22,27.4,0.6,171.4,30.2,74.3,1008.8
มีนบุรี,2023-03-23,19.6,0.9,159.4,30.4,73.1,1008.9
มีนบุรี,2023-03-24,22.3,0.6,155.1,30.4,75.3,1009.4
มีนบุรี,2023-03-25,23.4,0.8,174.1,30.4,75.2,1009.9
มีนบุรี,2023-03-26,20.0,0.8,177.6,30.6,73.1,1009.5
มีนบุรี,2023-03-27,22.9,0.9,167.5,30.5,73.5,1009.6
มีนบุรี,2023-03-28,18.9,0.9,156.4,30.2,73.4,1011.2
มีนบุรี,2023-03-29,15.6,0.8,153.6,30.3,68.4,1012.0
มีนบุรี,2023-03-30,22.4,0.8,130.0,29.1,76.6,1010.3
มีนบุรี,2023-03-31,19.5,1.1,138.8,30.6,73.2,1009.9
มีนบุรี,2023-04-01,22.7,1.0,134.4,30.6,72.3,1009.9
มีนบุรี,2023-04-02,25.0,0.7,119.6,30.5,71.9,1009.6
มีนบุรี,2023-04-03,30.6,1.0,137.6,31.3,64.7,1008.9
มีนบุรี,2023-04-04,40.8,0.9,156.4,31.2,67.7,1008.5
มีนบุรี,2023-04-05,50.4,0.9,186.2,31.4,59.9,1008.7
มีนบุรี,2023-04-06,37.9,0.8,143.1,31.4,69.4,1009.3
มีนบุรี,2023-04-07,32.9,0.8,129.1,29.7,75.3,1011.1
มีนบุรี,2023-04-08,25.5,0.8,148.3,30.5,72.0,1012.9
