district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ยานนาวา,2023-01-01,29.6,25.4,113.4,0.0,56.3,1015.4
ยานนาวา,2023-01-02,37.7,25.7,136.6,0.0,58.9,1015.7
ยานนาวา,2023-01-03,36.5,27.3,140.8,0.0,58.0,1015.1
ยานนาวา,2023-01-04,28.1,28.1,194.8,0.0,53.3,1014.5
ยานนาวา,2023-01-05,31.0,28.2,152.6,0.0,55.0,1014.0
ยานนาวา,2023-01-06,32.0,27.3,99.9,0.0,56.6,1014.6
ยานนาวา,2023-01-07,33.6,25.8,100.8,0.0,53.0,1014.3
ยานนาวา,2023-01-08,50.7,26.9,128.3,0.0,51.1,1013.1
ยานนาวา,2023-01-09,52.9,28.4,180.8,0.0,52.4,1013.0
ยานนาวา,2023-01-10,45.8,28.6,142.5,0.0,61.0,1011.8
ยานนาวา,2023-01-11,33.0,26.4,96.9,0.0,76.2,1011.1
ยานนาวา,2023-01-12,40.4,27.0,141.8,0.0,78.7,1010.5
ยานนาวา,2023-01-13,33.0,27.8,176.5,0.0,80.8,1011.2
ยานนาวา,2023-01-14,24.3,28.1,227.6,0.0,79.5,1009.7
ยานนาวา,2023-01-15,34.1,28.3,248.6,0.0,69.6,1008.9
ยานนาวา,2023-01-16,34.8,27.9,206.8,0.0,72.0,1010.7
ยานนาวา,2023-01-17,42.0,28.3,132.0,0.0,67.6,1012.1
ยานนาวา,2023-01-18,40.9,27.7,98.9,0.0,61.4,1014.0
ยานนาวา,2023-01-19,35.5,27.1,105.0,0.0,55.1,1013.8
ยานนาวา,2023-01-20,39.7,27.3,120.8,0.0,54.0,1013.3
ยานนาวา,2023-01-21,40.7,27.7,138.7,0.0,49.4,1012.3
ยานนาวา,2023-01-22,47.8,27.8,139.6,0.0,46.8,1010.9
ยานนาวา,2023-01-23,61.1,29.2,186.9,0.0,46.2,1009.9
ยานนาวา,2023-01-24,55.9,29.3,118.5,0.0,48.0,1010.6
ยานนาวา,2023-01-25,33.9,25.5,126.4,0.0,50.7,1012.7
ยานนาวา,2023-01-26,57.9,26.8,197.8,0.0,48.9,1011.7
ยานนาวา,2023-01-27,67.9,27.9,134.3,0.0,50.1,1011.0
ยานนาวา,2023-01-28,38.8,25.7,96.5,0.0,54.3,1012.0
ยานนาวา,2023-01-29,39.1,24.4,95.3,0.0,51.3,1013.4
ยานนาวา,2023-01-30,44.9,23.8,157.9,0.0,45.2,1014.6
ยานนาวา,2023-01-31,78.6,25.5,247.9,0.0,43.8,1012.0
ยานนาวา,2023-02-01,97.0,27.5,192.7,0.0,49.3,1010.0
ยานนาวา,2023-02-02,117.0,28.6,189.7,0.0,63.8,1009.7
ยานนาวา,2023-02-03,48.4,28.5,242.5,0.0,73.3,1010.3
ยานนาวา,2023-02-04,31.2,28.3,273.0,0.0,79.2,1009.8
ยานนาวา,2023-02-05,21.8,28.6,240.8,0.0,72.8,1009.8
ยานนาวา,2023-02-06,21.0,28.6,236.6,0.0,77.8,1009.8
ยานนาวา,2023-02-07,23.1,28.2,242.4,0.0,77.9,1009.9
ยานนาวา,2023-02-08,21.5,28.6,249.6,0.0,77.0,1009.8
ยานนาวา,2023-02-09,21.3,28.5,300.4,0.0,78.5,1010.0
ยานนาวา,2023-02-10,17.2,28.7,256.5,0.0,74.6,1010.4
ยานนาวา,2023-02-11,18.2,28.9,297.7,0.0,71.7,1010.5
ยานนาวา,2023-02-12,20.1,28.8,253.2,0.0,76.4,1010.7
ยานนาวา,2023-02-13,21.5,28.6,250.9,0.0,79.0,1010.5
ยานนาวา,2023-02-14,25.4,29.1,251.8,0.0,77.9,1010.1
ยานนาวา,2023-02-15,38.8,25.6,203.9,0.0,92.5,1011.5
ยานนาวา,2023-02-16,34.9,24.6,143.9,0.0,76.7,1013.5
ยานนาวา,2023-02-17,43.1,22.6,177.7,0.0,61.2,1013.4
ยานนาวา,2023-02-18,59.4,23.3,192.2,0.0,55.2,1012.6
ยานนาวา,2023-02-19,66.5,24.5,209.5,0.0,53.2,1011.4
ยานนาวา,2023-02-20,54.3,24.1,136.1,0.0,56.7,1011.5
ยานนาวา,2023-02-21,45.8,24.3,140.7,0.0,53.2,1012.6
ยานนาวา,2023-02-22,56.0,24.5,135.3,0.0,52.6,1012.6
ยานนาวา,2023-02-23,62.0,24.5,153.3,0.0,53.7,1011.8
ยานนาวา,2023-02-24,74.7,25.4,130.3,0.0,49.2,1011.1
ยานนาวา,2023-02-25,57.5,23.6,96.7,0.0,49.0,1014.3
ยานนาวา,2023-02-26,39.3,21.8,112.4,0.0,50.3,1017.5
ยานนาวา,2023-02-27,50.7,21.5,129.1,0.0,51.2,1017.2
ยานนาวา,2023-02-28,66.0,23.2,195.4,0.0,47.4,1015.6
ยานนาวา,2023-03-01,65.6,0.8,203.9,25.1,46.3,1014.3
ยานนาวา,2023-03-02,65.1,1.1,109.7,25.7,48.4,1013.9
ยานนาวา,2023-03-03,49.9,1.2,121.0,24.6,45.1,1015.4
ยานนาวา,2023-03-04,66.2,1.4,123.6,23.8,50.2,1016.2
ยานนาวา,2023-03-05,66.7,1.2,136.9,23.4,54.3,1015.7
ยานนาวา,2023-03-06,70.1,1.0,135.9,23.7,59.4,1014.5
ยานนาวา,2023-03-07,92.5,0.5,151.0,24.5,59.0,1013.6
ยานนาวา,2023-03-08,80.5,0.6,168.7,24.6,69.5,1013.3
ยานนาวา,2023-03-09,58.2,0.7,271.2,24.1,75.1,1012.1
ยานนาวา,2023-03-10,61.8,0.7,182.4,24.4,75.0,1011.7
ยานนาวา,2023-03-11,48.3,0.8,278.3,23.7,79.4,1011.6
ยานนาวา,2023-03-12,42.4,0.8,279.8,23.9,78.5,1011.6
ยานนาวา,2023-03-13,51.3,1.1,148.8,23.1,71.6,1012.4
ยานนาวา,2023-03-14,54.0,1.0,130.8,24.1,57.2,1010.9
ยานนาวา,2023-03-15,55.2,0.7,223.3,23.7,72.2,1010.7
