district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ราชเทวี,2023-01-01,22.2,0.3,81.5,25.3,52.3,1007.6
ราชเทวี,2023-01-02,25.5,0.3,133.3,25.8,52.7,1007.8
ราชเทวี,2023-01-03,27.0,0.3,107.7,27.0,54.1,1007.3
ราชเทวี,2023-01-04,23.8,0.3,112.1,27.6,51.5,1006.8
ราชเทวี,2023-01-05,26.7,0.3,123.2,27.6,53.1,1006.3
ราชเทวี,2023-01-06,23.5,0.3,27.2,27.2,52.6,1006.8
ราชเทวี,2023-01-07,21.5,0.3,44.2,26.1,47.4,1006.4
ราชเทวี,2023-01-08,32.8,0.3,104.2,27.0,47.5,1005.4
ราชเทวี,2023-01-09,39.3,0.3,156.2,28.2,51.2,1005.3
ราชเทวี,2023-01-10,34.5,0.2,164.1,28.4,58.6,1004.1
ราชเทวี,2023-01-11,19.0,0.2,86.4,26.5,69.2,1003.3
ราชเทวี,2023-01-12,26.2,0.2,127.6,27.5,69.2,1002.7
ราชเทวี,2023-01-13,21.0,0.3,243.3,28.5,69.7,1003.3
ราชเทวี,2023-01-14,19.9,0.3,227.5,28.7,68.1,1001.7
ราชเทวี,2023-01-15,22.9,0.3,235.0,28.3,62.1,1001.1
ราชเทวี,2023-01-16,21.8,0.3,250.0,28.6,62.4,1002.8
ราชเทวี,2023-01-17,26.5,0.2,124.9,28.7,58.4,1004.3
ราชเทวี,2023-01-18,28.9,0.2,112.5,28.2,51.7,1006.2
ราชเทวี,2023-01-19,25.1,0.2,36.5,27.3,49.1,1005.9
ราชเทวี,2023-01-20,29.7,0.3,70.2,27.4,48.7,1005.5
ราชเทวี,2023-01-21,30.2,0.3,159.4,27.4,47.1,1004.5
ราชเทวี,2023-01-22,34.4,0.3,143.3,27.5,43.2,1003.1
ราชเทวี,2023-01-23,43.8,0.3,106.0,28.8,43.7,1002.1
ราชเทวี,2023-01-24,45.7,0.3,82.0,29.0,46.2,1002.9
ราชเทวี,2023-01-25,25.7,0.2,82.4,25.3,47.4,1005.0
ราชเทวี,2023-01-26,41.9,0.3,250.9,26.3,47.6,1003.8
ราชเทวี,2023-01-27,43.3,0.2,101.7,27.8,46.5,1003.2
ราชเทวี,2023-01-28,24.3,0.2,35.9,25.7,50.2,1004.2
ราชเทวี,2023-01-29,29.3,0.3,27.4,24.4,46.5,1005.6
ราชเทวี,2023-01-30,40.3,0.3,178.5,23.1,43.5,1006.8
ราชเทวี,2023-01-31,57.4,0.3,253.7,25.0,43.1,1004.2
ราชเทวี,2023-02-01,86.5,0.3,147.5,27.4,43.5,1002.4
ราชเทวี,2023-02-02,82.7,0.3,126.8,29.4,49.1,1002.1
ราชเทวี,2023-02-03,48.0,0.3,257.4,29.6,61.5,1002.8
ราชเทวี,2023-02-04,26.5,0.3,258.6,29.3,68.8,1002.3
ราชเทวี,2023-02-05,20.6,0.3,203.4,28.6,65.9,1002.3
ราชเทวี,2023-02-06,16.8,0.4,239.8,29.3,68.5,1002.1
ราชเทวี,2023-02-07,16.3,0.4,234.2,29.0,67.8,1002.4
ราชเทวี,2023-02-08,19.0,0.4,239.5,29.4,66.3,1002.2
ราชเทวี,2023-02-09,16.3,0.4,235.4,29.3,68.7,1002.2
ราชเทวี,2023-02-10,14.5,0.3,241.3,29.3,65.8,1002.5
ราชเทวี,2023-02-11,17.5,0.4,238.6,29.6,63.4,1002.5
ราชเทวี,2023-02-12,16.6,0.4,235.9,29.4,67.5,1002.7
ราชเทวี,2023-02-13,17.7,0.4,237.4,29.3,69.1,1002.6
ราชเทวี,2023-02-14,24.9,0.4,238.2,30.0,67.2,1002.2
ราชเทวี,2023-02-15,28.9,0.3,138.7,25.9,79.3,1003.7
ราชเทวี,2023-02-16,23.4,0.3,116.3,26.6,68.6,1005.6
ราชเทวี,2023-02-17,33.0,0.3,119.2,27.4,56.3,1005.8
ราชเทวี,2023-02-18,38.7,0.3,139.5,28.2,51.2,1004.8
ราชเทวี,2023-02-19,51.5,0.3,177.3,29.5,50.0,1003.6
ราชเทวี,2023-02-20,41.6,0.2,163.4,29.5,50.4,1003.9
ราชเทวี,2023-02-21,39.9,0.3,92.4,29.5,48.2,1004.9
ราชเทวี,2023-02-22,42.1,0.3,120.2,29.7,47.2,1005.0
ราชเทวี,2023-02-23,49.2,0.3,130.2,30.2,43.2,1004.3
ราชเทวี,2023-02-24,61.5,0.3,116.0,30.8,43.2,1003.7
ราชเทวี,2023-02-25,48.3,0.3,78.4,29.3,42.7,1006.9
ราชเทวี,2023-02-26,38.0,0.3,67.5,27.1,46.1,1010.1
ราชเทวี,2023-02-27,46.1,0.4,103.5,26.5,47.6,1009.7
ราชเทวี,2023-02-28,54.3,0.4,141.3,27.9,45.6,1008.1
ราชเทวี,2023-03-01,54.3,0.3,201.7,30.1,45.4,1006.8
ราชเทวี,2023-03-02,52.8,0.3,113.6,31.3,43.2,1006.5
ราชเทวี,2023-03-03,45.3,0.2,106.0,30.1,41.0,1008.0
ราชเทวี,2023-03-04,60.0,0.3,102.8,29.4,45.0,1008.8
ราชเทวี,2023-03-05,55.0,0.3,114.7,29.0,47.6,1008.3
ราชเทวี,2023-03-06,56.5,0.3,180.6,29.5,48.8,1007.0
ราชเทวี,2023-03-07,74.2,0.3,188.0,30.2,48.7,1006.1
ราชเทวี,2023-03-08,68.9,0.3,227.5,30.7,57.9,1005.7
ราชเทวี,2023-03-09,53.8,0.3,255.7,30.1,64.5,1004.6
ราชเทวี,2023-03-10,53.0,0.3,221.7,30.0,66.1,1004.1
ราชเทวี,2023-03-11,45.6,0.4,240.0,29.7,69.4,1004.0
ราชเทวี,2023-03-12,40.8,0.4,238.6,29.9,68.9,1004.0
ราชเทวี,2023-03-13,45.3,0.3,101.5,28.7,62.6,1004.8
ราชเทวี,2023-03-14,49.0,0.3,91.3,29.2,52.9,1003.4
ราชเทวี,2023-03-15,49.9,0.3,204.3,29.7,61.1,1002.9
ราชเทวี,2023-03-16,36.0,0.4,239.7,29.9,65.7,1004.0
ราชเทวี,2023-03-17,34.2,0.3,239.0,30.0,64.5,1003.7
ราชเทวี,2023-03-18,30.0,0.3,239.0,30.0,65.9,1002.6
ราชเทวี,2023-03-19,29.5,0.3,238.8,30.1,66.5,1001.9
ราชเทวี,2023-03-20,29.8,0.4,238.3,30.5,66.6,1001.2
ราชเทวี,2023-03-21,29.6,0.4,236.2,30.5,67.2,1001.0
ราชเทวี,2023-03-22,29.3,0.4,237.5,30.8,67.7,999.7
ราชเทวี,2023-03-23,23.7,0.4,235.8,31.0,66.7,999.8
ราชเทวี,2023-03-24,25.9,0.4,237.7,31.2,67.5,1000.1
ราชเทวี,2023-03-25,24.5,0.4,238.6,31.1,67.7,1000.7
ราชเทวี,2023-03-26,21.3,0.3,238.2,31.2,66.5,1000.3
ราชเทวี,2023-03-27,24.2,0.4,239.5,31.2,66.5,1000.4
ราชเทวี,2023-03-28,21.5,0.3,240.0,30.8,65.6,1001.9
ราชเทวี,2023-03-29,17.4,0.4,143.9,31.5,59.5,1002.7
ราชเทวี,2023-03-30,20.9,1.1,119.6,31.0,66.2,1001.1
ราชเทวี,2023-03-31,23.4,1.5,222.0,31.4,65.5,1000.7
ราชเทวี,2023-04-01,26.3,1.5,222.1,31.3,65.2,1000.7
ราชเทวี,2023-04-02,26.2,1.4,223.9,31.1,66.4,1000.4
ราชเทวี,2023-04-03,38.0,1.2,221.8,32.1,56.9,999.7
ราชเทวี,2023-04-04,43.1,1.2,248.7,32.2,58.2,999.2
ราชเทวี,2023-04-05,45.2,1.1,201.2,32.4,52.5,999.5
ราชเทวี,2023-04-06,42.6,1.1,224.0,32.8,59.2,1000.1
ราชเทวี,2023-04-07,31.4,1.3,224.7,30.5,66.4,1002.0
ราชเทวี,2023-04-08,22.8,1.3,220.9,31.7,64.0,1003.8
ราชเทวี,2023-04-09,22.4,1.3,225.3,32.1,64.3,1003.9
ราชเทวี,2023-04-10,22.3,1.4,220.3,32.0,64.5,1002.2
ราชเทวี,2023-04-11,32.0,1.4,222.0,32.6,63.8,1001.0
ราชเทวี,2023-04-12,33.5,1.5,219.6,32.1,67.8,1000.0
ราชเทวี,2023-04-13,39.5,1.2,230.5,32.6,63.4,999.8
ราชเทวี,2023-04-14,44.2,1.2,223.7,32.6,62.7,999.6
