district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ราษฎร์บูรณะ,2023-01-01,25.6,2.0,54.9,25.1,55.7,1015.5
ราษฎร์บูรณะ,2023-01-02,30.5,1.6,84.1,25.5,58.2,1015.8
ราษฎร์บูรณะ,2023-01-03,28.9,1.8,42.6,26.9,57.5,1015.2
ราษฎร์บูรณะ,2023-01-04,22.0,2.1,44.3,27.3,55.8,1014.6
ราษฎร์บูรณะ,2023-01-05,24.8,2.0,64.3,27.4,57.4,1014.0
ราษฎร์บูรณะ,2023-01-06,18.0,2.1,51.7,26.8,56.2,1014.9
ราษฎร์บูรณะ,2023-01-07,22.1,2.1,67.2,25.7,51.3,1014.2
ราษฎร์บูรณะ,2023-01-08,36.5,1.9,50.1,26.6,51.3,1013.3
ราษฎร์บูรณะ,2023-01-09,49.1,1.9,98.5,27.8,55.2,1013.1
ราษฎร์บูรณะ,2023-01-10,35.9,1.9,95.8,27.8,63.5,1012.0
ราษฎร์บูรณะ,2023-01-11,17.9,2.0,82.1,25.9,75.5,1011.2
ราษฎร์บูรณะ,2023-01-12,28.9,1.4,144.5,26.8,77.0,1010.6
ราษฎร์บูรณะ,2023-01-13,28.3,2.1,233.8,27.6,79.5,1011.3
ราษฎร์บูรณะ,2023-01-14,23.7,2.1,227.0,27.9,78.5,1009.7
ราษฎร์บูรณะ,2023-01-15,26.3,1.9,225.4,27.8,68.8,1009.1
ราษฎร์บูรณะ,2023-01-16,33.1,2.0,233.7,27.6,71.5,1010.8
ราษฎร์บูรณะ,2023-01-17,35.5,1.5,185.1,27.4,70.8,1012.2
ราษฎร์บูรณะ,2023-01-18,30.8,2.5,86.2,27.4,58.4,1014.1
ราษฎร์บูรณะ,2023-01-19,28.4,1.8,85.0,26.8,53.7,1013.6
ราษฎร์บูรณะ,2023-01-20,29.7,1.5,120.1,26.9,53.8,1013.3
ราษฎร์บูรณะ,2023-01-21,36.3,1.6,125.3,27.1,51.5,1012.3
ราษฎร์บูรณะ,2023-01-22,46.4,1.5,135.5,27.0,50.6,1010.9
ราษฎร์บูรณะ,2023-01-23,49.8,1.5,113.2,28.4,47.4,1010.0
ราษฎร์บูรณะ,2023-01-24,47.6,2.6,91.2,28.3,50.6,1010.9
ราษฎร์บูรณะ,2023-01-25,24.0,2.8,51.6,24.7,51.2,1013.0
ราษฎร์บูรณะ,2023-01-26,48.5,1.7,117.8,26.1,51.8,1011.8
ราษฎร์บูรณะ,2023-01-27,48.7,1.9,131.6,27.2,50.9,1011.2
ราษฎร์บูรณะ,2023-01-28,23.3,2.9,67.5,25.2,53.7,1012.2
ราษฎร์บูรณะ,2023-01-29,30.2,2.8,68.1,24.0,49.7,1013.6
ราษฎร์บูรณะ,2023-01-30,37.4,2.2,42.5,23.0,46.1,1014.8
ราษฎร์บูรณะ,2023-01-31,75.6,1.6,138.0,24.7,47.5,1012.1
ราษฎร์บูรณะ,2023-02-01,87.4,1.6,138.7,26.7,51.1,1010.2
ราษฎร์บูรณะ,2023-02-02,98.9,1.4,259.4,28.1,64.8,1009.9
