district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ลาดกระบัง,2023-01-01,29.5,25.1,146.3,0.0,60.3,1016.0
ลาดกระบัง,2023-01-02,35.9,25.6,179.7,0.0,61.1,1016.2
ลาดกระบัง,2023-01-03,38.2,27.2,160.7,0.0,61.4,1015.7
ลาดกระบัง,2023-01-04,33.2,28.4,200.8,0.0,56.8,1015.0
ลาดกระบัง,2023-01-05,29.9,28.0,135.1,0.0,59.1,1014.6
ลาดกระบัง,2023-01-06,22.2,27.3,107.5,0.0,57.7,1015.2
ลาดกระบัง,2023-01-07,26.6,25.7,92.3,0.0,53.9,1014.8
ลาดกระบัง,2023-01-08,45.4,27.4,174.0,0.0,52.2,1013.6
ลาดกระบัง,2023-01-09,51.5,28.9,144.4,0.0,54.1,1013.4
ลาดกระบัง,2023-01-10,43.2,29.0,112.9,0.0,61.7,1012.4
ลาดกระบัง,2023-01-11,25.1,26.1,81.0,0.0,77.2,1011.7
ลาดกระบัง,2023-01-12,33.7,27.5,141.0,0.0,75.4,1011.0
ลาดกระบัง,2023-01-13,65.9,28.2,170.4,0.0,76.7,1011.6
ลาดกระบัง,2023-01-14,32.0,28.7,179.1,0.0,75.1,1010.1
ลาดกระบัง,2023-01-15,33.0,29.0,208.0,0.0,68.7,1009.3
ลาดกระบัง,2023-01-16,48.9,28.4,213.9,0.0,68.1,1011.1
ลาดกระบัง,2023-01-17,43.8,28.7,102.9,0.0,66.1,1012.6
ลาดกระบัง,2023-01-18,39.4,28.0,53.7,0.0,59.8,1014.5
ลาดกระบัง,2023-01-19,34.2,27.1,142.4,0.0,56.1,1014.3
ลาดกระบัง,2023-01-20,43.4,27.2,137.9,0.0,57.0,1013.9
ลาดกระบัง,2023-01-21,45.3,27.7,188.8,0.0,52.6,1012.7
ลาดกระบัง,2023-01-22,54.9,27.6,178.0,0.0,52.4,1011.4
ลาดกระบัง,2023-01-23,67.7,28.9,200.4,0.0,51.1,1010.3
ลาดกระบัง,2023-01-24,59.4,28.6,116.5,0.0,53.9,1011.2
ลาดกระบัง,2023-01-25,36.1,25.4,94.0,0.0,51.5,1013.4
ลาดกระบัง,2023-01-26,60.6,26.8,178.1,0.0,51.7,1012.2
ลาดกระบัง,2023-01-27,67.0,27.4,163.5,0.0,54.6,1011.6
ลาดกระบัง,2023-01-28,28.9,25.4,47.3,0.0,54.9,1012.6
ลาดกระบัง,2023-01-29,35.9,23.9,77.2,0.0,53.0,1014.1
ลาดกระบัง,2023-01-30,54.7,24.0,163.5,0.0,50.7,1015.1
ลาดกระบัง,2023-01-31,72.1,26.1,159.1,0.0,45.9,1012.4
ลาดกระบัง,2023-02-01,99.7,27.7,194.4,0.0,53.3,1010.5
ลาดกระบัง,2023-02-02,124.9,29.3,171.2,0.0,59.9,1010.2
ลาดกระบัง,2023-02-03,45.9,29.0,205.7,0.0,69.0,1010.8
ลาดกระบัง,2023-02-04,95.1,29.3,203.4,0.0,75.2,1010.2
ลาดกระบัง,2023-02-05,26.4,29.3,221.8,0.0,72.9,1010.2
ลาดกระบัง,2023-02-06,22.6,29.4,188.8,0.0,74.3,1010.1
ลาดกระบัง,2023-02-07,22.7,29.2,148.1,0.0,73.3,1010.3
ลาดกระบัง,2023-02-08,22.4,29.6,203.3,0.0,72.5,1010.2
ลาดกระบัง,2023-02-09,22.0,29.4,185.9,0.0,74.6,1010.3
ลาดกระบัง,2023-02-10,19.6,29.3,187.6,0.0,73.4,1010.8
ลาดกระบัง,2023-02-11,18.1,29.8,172.0,0.0,69.9,1010.8
ลาดกระบัง,2023-02-12,20.8,29.8,184.3,0.0,70.8,1011.0
ลาดกระบัง,2023-02-13,24.6,29.6,155.8,0.0,72.8,1010.9
ลาดกระบัง,2023-02-14,27.7,29.9,198.5,0.0,73.1,1010.4
ลาดกระบัง,2023-02-15,38.9,25.8,198.9,0.0,91.1,1012.0
ลาดกระบัง,2023-02-16,41.2,26.5,138.4,0.0,77.4,1013.9
ลาดกระบัง,2023-02-17,53.7,27.5,165.0,0.0,64.3,1013.8
ลาดกระบัง,2023-02-18,67.1,28.2,183.2,0.0,57.4,1013.0
ลาดกระบัง,2023-02-19,72.8,29.7,175.4,0.0,56.9,1011.8
ลาดกระบัง,2023-02-20,56.7,29.4,98.1,0.0,56.7,1012.1
ลาดกระบัง,2023-02-21,53.8,29.3,157.3,0.0,55.6,1013.1
ลาดกระบัง,2023-02-22,63.6,29.3,134.5,0.0,53.7,1013.1
ลาดกระบัง,2023-02-23,61.7,29.8,123.9,0.0,50.3,1012.2
ลาดกระบัง,2023-02-24,79.5,30.3,122.2,0.0,50.4,1011.6
ลาดกระบัง,2023-02-25,55.7,28.5,51.5,0.0,49.5,1014.9
ลาดกระบัง,2023-02-26,42.4,26.7,86.6,0.0,50.3,1018.1
ลาดกระบัง,2023-02-27,48.0,26.5,128.9,0.0,52.5,1017.7
ลาดกระบัง,2023-02-28,68.8,28.3,146.3,0.0,51.0,1016.1
ลาดกระบัง,2023-03-01,67.5,0.1,146.9,30.1,49.9,1014.8
ลาดกระบัง,2023-03-02,61.1,0.2,142.9,30.8,47.9,1014.5
ลาดกระบัง,2023-03-03,50.2,0.2,140.9,29.4,47.3,1015.9
ลาดกระบัง,2023-03-04,67.0,0.2,133.1,28.7,51.1,1016.8
ลาดกระบัง,2023-03-05,62.3,0.2,139.5,28.6,52.7,1016.3
ลาดกระบัง,2023-03-06,74.1,0.2,160.4,29.1,53.9,1015.0
ลาดกระบัง,2023-03-07,92.2,0.1,145.7,29.7,59.4,1014.1
ลาดกระบัง,2023-03-08,80.5,0.2,189.1,30.2,65.4,1013.7
ลาดกระบัง,2023-03-09,61.6,0.2,192.3,29.7,72.6,1012.5
ลาดกระบัง,2023-03-10,58.0,0.2,176.8,29.8,71.9,1012.1
ลาดกระบัง,2023-03-11,45.5,0.2,233.7,29.5,75.3,1012.0
ลาดกระบัง,2023-03-12,42.5,0.2,234.8,29.6,74.7,1012.0
ลาดกระบัง,2023-03-13,56.1,0.2,150.8,28.2,70.9,1012.8
ลาดกระบัง,2023-03-14,59.6,0.2,171.0,28.8,59.4,1011.3
ลาดกระบัง,2023-03-15,58.9,0.2,201.6,29.2,69.2,1011.0
ลาดกระบัง,2023-03-16,34.1,0.2,161.8,29.5,72.7,1012.2
ลาดกระบัง,2023-03-17,29.6,0.2,201.0,29.6,71.7,1011.9
ลาดกระบัง,2023-03-18,27.7,0.2,238.6,29.7,72.6,1010.8
ลาดกระบัง,2023-03-19,26.5,0.2,201.5,29.9,72.7,1010.0
ลาดกระบัง,2023-03-20,26.5,0.2,166.0,30.3,72.3,1009.4
ลาดกระบัง,2023-03-21,27.3,0.2,176.7,30.3,72.9,1009.2
ลาดกระบัง,2023-03-22,27.3,0.2,174.1,30.5,73.1,1007.9
ลาดกระบัง,2023-03-23,20.5,0.2,160.9,30.7,71.9,1008.0
ลาดกระบัง,2023-03-24,21.9,0.2,159.3,30.6,74.6,1008.4
ลาดกระบัง,2023-03-25,22.9,0.2,145.2,30.7,74.0,1008.9
ลาดกระบัง,2023-03-26,20.7,0.2,144.0,30.8,72.1,1008.5
ลาดกระบัง,2023-03-27,22.0,0.2,174.3,30.9,70.9,1008.6
ลาดกระบัง,2023-03-28,19.2,0.2,143.2,30.6,71.3,1010.2
ลาดกระบัง,2023-03-29,14.6,0.2,169.5,30.8,67.5,1011.0
ลาดกระบัง,2023-03-30,22.1,0.2,122.7,29.8,73.4,1009.4
ลาดกระบัง,2023-03-31,21.3,0.2,154.3,31.1,71.1,1008.9
ลาดกระบัง,2023-04-01,21.9,0.1,156.3,31.2,70.0,1008.9
ลาดกระบัง,2023-04-02,24.4,0.2,189.8,31.1,69.1,1008.6
ลาดกระบัง,2023-04-03,28.5,0.1,158.8,31.7,64.2,1007.9
ลาดกระบัง,2023-04-04,39.3,0.2,143.0,31.6,66.1,1007.5
ลาดกระบัง,2023-04-05,45.4,0.2,206.5,31.6,62.0,1007.7
ลาดกระบัง,2023-04-06,39.9,0.2,174.2,31.8,68.3,1008.4
ลาดกระบัง,2023-04-07,32.4,0.2,125.5,30.0,73.1,1010.2
ลาดกระบัง,2023-04-08,27.5,0.2,166.7,30.9,69.3,1012.0
ลาดกระบัง,2023-04-09,28.1,0.2,134.8,30.9,70.8,1012.1
ลาดกระบัง,2023-04-10,18.7,0.2,181.3,31.5,70.0,1010.4
ลาดกระบัง,2023-04-11,30.3,0.2,151.7,31.9,71.1,1009.3
ลาดกระบัง,2023-04-12,35.6,0.2,170.7,31.8,74.4,1008.2
ลาดกระบัง,2023-04-13,42.3,0.1,145.9,32.3,69.6,1008.0
ลาดกระบัง,2023-04-14,47.5,0.2,185.9,32.2,67.8,1007.8
ลาดกระบัง,2023-04-15,58.2,0.2,130.3,32.1,68.6,1007.2
ลาดกระบัง,2023-04-16,53.5,0.2,135.5,30.4,73.3,1007.8
ลาดกระบัง,2023-04-17,54.1,0.2,145.7,31.6,67.2,1008.6
ลาดกระบัง,2023-04-18,48.1,0.2,173.2,31.8,70.4,1008.9
ลาดกระบัง,2023-04-19,46.6,0.2,170.5,32.2,70.6,1006.3
ลาดกระบัง,2023-04-20,48.7,0.3,213.0,33.0,61.2,1004.6
ลาดกระบัง,2023-04-21,58.0,0.4,236.2,33.1,61.2,1004.9
ลาดกระบัง,2023-04-22,56.0,0.1,168.7,33.1,64.0,1005.7
ลาดกระบัง,2023-04-23,43.7,0.2,176.6,32.6,66.6,1007.8
ลาดกระบัง,2023-04-24,34.1,0.2,225.5,32.5,65.8,1009.9
ลาดกระบัง,2023-04-25,37.2,0.2,203.0,30.4,74.4,1008.3
ลาดกระบัง,2023-04-26,29.0,0.2,136.6,26.2,89.2,1009.4
ลาดกระบัง,2023-04-27,48.4,0.1,200.9,30.4,73.3,1009.4
ลาดกระบัง,2023-04-28,38.2,0.2,166.6,31.1,72.0,1009.1
ลาดกระบัง,2023-04-29,31.5,0.2,162.5,32.3,69.0,1008.0
