district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ลาดพร้าว,2023-01-01,24.8,0.6,229.4,25.3,57.1,1015.9
ลาดพร้าว,2023-01-02,27.0,0.6,246.8,25.5,58.7,1016.1
ลาดพร้าว,2023-01-03,25.3,0.8,270.3,27.0,58.8,1015.6
ลาดพร้าว,2023-01-04,18.9,0.9,282.9,27.8,55.4,1015.0
ลาดพร้าว,2023-01-05,25.1,0.8,227.4,27.7,57.5,1014.5
ลาดพร้าว,2023-01-06,17.9,0.7,207.7,27.1,57.5,1015.1
ลาดพร้าว,2023-01-07,19.1,0.7,202.9,25.8,53.7,1014.7
ลาดพร้าว,2023-01-08,33.6,0.8,250.2,26.7,52.9,1013.6
ลาดพร้าว,2023-01-09,39.6,0.9,262.5,28.1,55.1,1012.7
ลาดพร้าว,2023-01-10,38.1,0.8,214.4,28.2,63.3,1012.4
ลาดพร้าว,2023-01-11,16.7,0.7,145.8,26.1,75.2,1011.7
ลาดพร้าว,2023-01-12,25.1,0.8,141.7,27.3,74.5,1010.9
ลาดพร้าว,2023-01-13,26.7,0.9,124.6,28.2,74.5,1011.6
ลาดพร้าว,2023-01-14,19.6,1.1,131.8,28.7,72.1,1009.9
ลาดพร้าว,2023-01-15,23.3,1.0,206.9,28.7,65.1,1009.2
ลาดพร้าว,2023-01-16,26.5,0.9,109.0,28.5,66.0,1011.0
ลาดพร้าว,2023-01-17,31.7,0.6,148.9,28.3,64.0,1012.6
ลาดพร้าว,2023-01-18,28.1,0.8,150.5,27.7,58.7,1014.6
ลาดพร้าว,2023-01-19,23.7,0.6,157.7,27.0,56.0,1014.3
ลาดพร้าว,2023-01-20,28.5,0.6,193.6,27.2,55.7,1013.8
ลาดพร้าว,2023-01-21,32.3,0.7,240.2,27.4,51.2,1012.7
ลาดพร้าว,2023-01-22,40.4,0.5,243.1,27.4,49.9,1011.4
ลาดพร้าว,2023-01-23,51.0,0.6,245.9,28.4,50.4,1010.3
ลาดพร้าว,2023-01-24,46.9,0.7,202.6,28.5,53.4,1011.2
ลาดพร้าว,2023-01-25,23.6,1.0,208.8,25.2,52.7,1013.2
ลาดพร้าว,2023-01-26,42.2,0.6,260.0,26.5,51.4,1012.0
ลาดพร้าว,2023-01-27,50.2,0.5,195.4,27.4,53.0,1011.5
ลาดพร้าว,2023-01-28,25.2,0.7,164.0,25.5,55.5,1012.6
ลาดพร้าว,2023-01-29,30.8,0.8,201.1,24.3,51.8,1014.0
ลาดพร้าว,2023-01-30,35.0,1.0,289.8,23.3,48.3,1015.1
ลาดพร้าว,2023-01-31,58.0,0.6,262.0,25.6,45.8,1012.4
ลาดพร้าว,2023-02-01,75.3,0.6,235.4,27.6,47.5,1010.4
ลาดพร้าว,2023-02-02,84.2,0.5,168.4,29.4,52.4,1010.1
ลาดพร้าว,2023-02-03,41.1,1.3,100.6,29.3,65.9,1010.6
ลาดพร้าว,2023-02-04,26.5,1.3,143.3,28.9,74.7,1010.1
ลาดพร้าว,2023-02-05,20.3,1.0,122.9,28.1,73.4,1010.2
ลาดพร้าว,2023-02-06,18.1,1.4,107.0,28.8,75.6,1010.0
ลาดพร้าว,2023-02-07,16.3,1.8,104.6,28.7,72.7,1010.3
ลาดพร้าว,2023-02-08,16.6,1.8,107.1,29.2,72.6,1010.0
ลาดพร้าว,2023-02-09,20.4,2.1,103.3,29.0,74.6,1010.2
ลาดพร้าว,2023-02-10,13.1,1.8,101.1,29.1,71.7,1010.9
ลาดพร้าว,2023-02-11,13.9,1.9,105.8,29.4,69.1,1010.8
ลาดพร้าว,2023-02-12,16.7,2.2,103.4,29.3,72.4,1010.9
ลาดพร้าว,2023-02-13,20.2,2.0,106.2,29.0,74.3,1010.8
ลาดพร้าว,2023-02-14,23.2,1.7,107.2,29.7,72.6,1010.4
ลาดพร้าว,2023-02-15,36.1,1.0,164.9,25.9,89.1,1011.3
ลาดพร้าว,2023-02-16,26.7,0.6,203.3,26.4,75.0,1014.1
ลาดพร้าว,2023-02-17,35.6,1.0,231.8,27.1,63.1,1014.1
ลาดพร้าว,2023-02-18,44.9,1.0,267.7,27.9,57.0,1013.1
ลาดพร้าว,2023-02-19,51.2,0.7,240.8,29.4,54.1,1011.9
ลาดพร้าว,2023-02-20,40.2,0.8,177.5,29.1,56.4,1012.2
ลาดพร้าว,2023-02-21,36.5,0.6,174.0,29.1,54.5,1013.1
ลาดพร้าว,2023-02-22,46.2,0.6,157.4,29.2,54.0,1013.1
ลาดพร้าว,2023-02-23,48.2,0.6,188.9,29.7,49.5,1012.2
ลาดพร้าว,2023-02-24,59.4,0.5,188.9,30.2,49.5,1011.7
ลาดพร้าว,2023-02-25,42.7,0.9,148.1,28.6,49.0,1015.0
ลาดพร้าว,2023-02-26,32.2,0.8,186.9,26.8,51.5,1018.1
ลาดพร้าว,2023-02-27,39.9,0.9,244.9,26.2,52.5,1017.7
ลาดพร้าว,2023-02-28,52.4,0.8,252.7,27.7,50.0,1016.0
ลาดพร้าว,2023-03-01,57.1,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-02,49.1,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-03,39.4,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-04,58.2,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-05,55.5,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-06,58.8,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-07,78.8,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-08,68.2,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-09,52.1,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-10,50.1,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-11,42.6,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-12,37.4,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-13,47.0,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-14,44.8,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-15,48.8,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-16,30.1,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-17,25.6,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-18,25.7,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-19,23.9,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-20,24.7,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-21,25.0,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-22,25.3,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-23,18.7,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-24,21.4,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-25,21.8,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-26,17.7,n/a,n/a,n/a,n/a,n/a
ลาดพร้าว,2023-03-27,19.8,2.3,108.8,29.9,73.1,1008.8
ลาดพร้าว,2023-03-28,15.4,2.5,106.5,30.4,71.5,1010.2
ลาดพร้าว,2023-03-29,14.4,2.0,105.4,30.8,65.0,1010.9
ลาดพร้าว,2023-03-30,20.6,1.7,109.5,30.0,72.7,1009.3
ลาดพร้าว,2023-03-31,18.1,2.4,104.9,30.9,71.4,1008.9
ลาดพร้าว,2023-04-01,20.1,2.5,106.0,31.0,70.3,1008.8
ลาดพร้าว,2023-04-02,22.4,2.6,102.3,30.8,71.9,1008.5
ลาดพร้าว,2023-04-03,31.7,2.0,145.6,31.9,60.2,1007.8
ลาดพร้าว,2023-04-04,40.3,1.9,139.9,32.0,62.9,1007.4
ลาดพร้าว,2023-04-05,45.7,1.5,178.2,32.1,57.2,1007.6
ลาดพร้าว,2023-04-06,38.6,1.7,104.5,32.2,65.6,1008.3
ลาดพร้าว,2023-04-07,25.6,1.8,109.8,30.3,71.6,1010.2
ลาดพร้าว,2023-04-08,19.2,1.9,104.8,31.3,68.7,1011.9
ลาดพร้าว,2023-04-09,21.1,1.6,103.4,31.4,69.2,1012.0
ลาดพร้าว,2023-04-10,17.0,2.2,104.6,31.5,70.2,1010.3
ลาดพร้าว,2023-04-11,31.5,2.1,103.3,32.1,69.1,1009.2
ลาดพร้าว,2023-04-12,35.0,2.4,106.4,31.7,73.8,1008.2
ลาดพร้าว,2023-04-13,38.3,1.9,105.8,32.3,68.2,1008.0
ลาดพร้าว,2023-04-14,45.3,1.8,104.6,32.2,67.3,1007.8
ลาดพร้าว,2023-04-15,51.8,1.9,105.1,32.1,70.5,1007.1
ลาดพร้าว,2023-04-16,49.1,1.8,109.5,30.3,76.1,1007.8
ลาดพร้าว,2023-04-17,45.3,1.6,104.3,31.8,65.6,1008.5
ลาดพร้าว,2023-04-18,41.8,2.2,104.5,31.8,69.2,1008.9
ลาดพร้าว,2023-04-19,44.4,2.1,130.8,32.3,69.2,1006.2
ลาดพร้าว,2023-04-20,41.7,2.1,159.2,33.0,60.1,1004.6
ลาดพร้าว,2023-04-21,51.8,1.8,197.2,33.1,59.7,1004.9
ลาดพร้าว,2023-04-22,50.5,1.9,112.4,33.2,62.4,1005.6
ลาดพร้าว,2023-04-23,33.0,2.4,105.9,32.5,66.7,1007.8
ลาดพร้าว,2023-04-24,26.0,1.3,136.6,32.5,66.0,1009.9
ลาดพร้าว,2023-04-25,25.2,1.4,117.2,31.4,68.3,1008.2
ลาดพร้าว,2023-04-26,23.8,0.9,132.0,27.5,79.7,1009.4
ลาดพร้าว,2023-04-27,35.0,0.9,151.0,30.5,71.4,1009.4
