district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
วังทองหลาง,2023-01-01,31.7,1016.1,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-02,35.9,1016.3,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-03,37.0,1015.8,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-04,31.6,1015.1,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-05,31.6,1014.7,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-06,23.8,1015.3,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-07,23.9,1014.9,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-08,44.9,1013.8,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-09,52.3,1013.6,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-10,43.9,1012.5,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-11,20.7,1011.8,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-12,32.9,1011.0,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-13,39.3,1011.7,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-14,32.5,1010.1,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-15,34.1,1009.4,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-16,37.5,1011.2,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-17,38.5,1012.7,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-18,33.0,1014.7,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-19,28.1,1014.4,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-20,36.2,1014.0,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-21,38.7,1012.9,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-22,48.3,1011.5,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-23,63.0,1010.5,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-24,59.1,1011.3,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-25,27.6,1013.5,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-26,49.8,1012.3,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-27,55.4,1011.7,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-28,28.8,1012.8,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-29,31.9,1014.2,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-30,46.9,1015.3,n/a,n/a,n/a,n/a
วังทองหลาง,2023-01-31,73.3,1012.5,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-01,95.0,1010.6,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-02,98.8,1010.2,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-03,55.0,1010.8,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-04,39.8,1010.3,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-05,32.1,1010.3,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-06,32.6,1010.2,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-07,29.7,1010.4,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-08,30.8,1010.2,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-09,30.8,1010.4,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-10,28.0,1010.9,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-11,26.5,1010.9,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-12,26.9,1011.1,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-13,30.1,1011.0,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-14,34.8,1010.5,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-15,47.3,1012.2,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-16,32.7,1013.6,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-17,39.7,1014.1,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-18,50.8,1013.1,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-19,60.2,1011.9,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-20,44.5,1012.2,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-21,40.8,1013.2,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-22,48.9,1013.2,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-23,58.0,1012.3,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-24,60.5,1011.7,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-25,42.2,1015.0,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-26,34.2,1018.2,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-27,43.3,1017.9,n/a,n/a,n/a,n/a
วังทองหลาง,2023-02-28,62.2,1016.2,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-01,61.1,1014.9,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-02,51.7,1014.6,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-03,41.3,1016.1,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-04,59.2,1016.9,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-05,60.7,1016.4,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-06,62.5,1015.1,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-07,83.4,1014.2,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-08,77.2,1013.7,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-09,59.4,1012.6,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-10,58.6,1012.2,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-11,49.9,1012.0,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-12,44.1,1012.1,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-13,47.5,1012.9,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-14,51.9,1011.5,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-15,55.6,1011.1,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-16,37.6,1012.3,n/a,n/a,n/a,n/a
วังทองหลาง,2023-03-17,33.9,1012.0,n/a,n/a,n/a,n/a
