district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
วัฒนา,2023-01-01,25.3,0.7,17.2,24.9,55.8,1015.9
วัฒนา,2023-01-02,30.0,0.5,21.0,25.5,56.9,1016.1
วัฒนา,2023-01-03,27.8,0.5,35.4,26.8,58.5,1015.5
วัฒนา,2023-01-04,21.5,0.4,43.7,27.7,53.7,1014.9
วัฒนา,2023-01-05,20.5,0.6,24.0,27.6,55.7,1014.4
วัฒนา,2023-01-06,16.4,0.9,29.0,26.8,56.8,1015.0
วัฒนา,2023-01-07,19.1,0.7,89.4,25.5,52.4,1014.6
วัฒนา,2023-01-08,34.6,0.4,45.9,26.7,50.5,1013.5
วัฒนา,2023-01-09,40.9,0.4,37.5,28.2,52.7,1013.3
วัฒนา,2023-01-10,33.6,0.6,154.0,28.3,61.8,1012.2
วัฒนา,2023-01-11,17.2,0.9,196.9,26.0,77.0,1011.5
วัฒนา,2023-01-12,30.9,0.4,161.3,26.9,78.2,1010.9
วัฒนา,2023-01-13,29.4,0.3,175.8,27.8,79.8,1011.6
วัฒนา,2023-01-14,21.0,0.4,182.5,28.1,79.1,1010.0
วัฒนา,2023-01-15,24.4,0.4,133.6,28.2,68.3,1009.2
วัฒนา,2023-01-16,27.1,0.4,154.9,28.0,70.4,1011.1
วัฒนา,2023-01-17,33.6,0.5,150.0,28.1,66.4,1012.5
วัฒนา,2023-01-18,27.1,0.9,109.2,27.5,59.5,1014.5
วัฒนา,2023-01-19,21.6,0.7,52.4,26.6,55.3,1014.2
วัฒนา,2023-01-20,26.9,0.6,86.7,26.8,54.0,1013.7
วัฒนา,2023-01-21,28.2,0.4,38.3,27.3,48.3,1012.7
วัฒนา,2023-01-22,35.0,0.5,31.3,27.4,45.5,1011.3
วัฒนา,2023-01-23,48.5,0.4,62.4,28.8,45.9,1010.3
วัฒนา,2023-01-24,41.7,1.0,28.2,28.8,48.6,1011.1
วัฒนา,2023-01-25,22.3,1.0,36.6,24.9,51.0,1013.2
วัฒนา,2023-01-26,37.4,0.3,38.2,26.5,47.1,1012.1
วัฒนา,2023-01-27,45.2,0.6,46.1,27.4,49.5,1011.5
วัฒนา,2023-01-28,20.3,1.1,25.2,25.1,54.6,1012.5
วัฒนา,2023-01-29,24.8,1.1,39.6,23.8,51.3,1013.9
วัฒนา,2023-01-30,36.5,0.5,33.0,23.2,46.3,1015.0
วัฒนา,2023-01-31,62.0,0.3,78.3,25.4,43.2,1012.3
วัฒนา,2023-02-01,78.8,0.3,101.2,27.4,46.6,1010.4
วัฒนา,2023-02-02,95.3,0.3,107.3,28.9,57.6,1010.1
วัฒนา,2023-02-03,41.9,0.4,160.5,28.5,72.8,1010.7
วัฒนา,2023-02-04,27.7,0.4,162.7,28.3,79.7,1010.2
วัฒนา,2023-02-05,19.0,0.3,152.1,28.5,73.0,1010.1
วัฒนา,2023-02-06,17.7,0.4,167.3,28.4,78.5,1010.1
วัฒนา,2023-02-07,17.7,0.5,172.7,28.2,77.9,1010.3
วัฒนา,2023-02-08,19.3,0.5,172.9,28.5,76.9,1010.2
วัฒนา,2023-02-09,18.5,0.6,164.5,28.4,79.1,1010.3
วัฒนา,2023-02-10,15.0,0.5,169.3,28.6,75.0,1010.8
วัฒนา,2023-02-11,16.0,0.5,168.6,28.8,72.4,1010.8
วัฒนา,2023-02-12,16.3,0.4,171.7,28.7,76.4,1011.0
วัฒนา,2023-02-13,19.1,0.5,172.1,28.4,79.4,1010.9
วัฒนา,2023-02-14,23.0,0.4,170.3,29.1,77.8,1010.5
วัฒนา,2023-02-15,36.9,0.4,155.8,25.4,94.0,1012.0
วัฒนา,2023-02-16,26.6,0.6,34.1,25.8,78.3,1013.9
วัฒนา,2023-02-17,33.5,0.6,49.4,27.1,62.6,1013.9
วัฒนา,2023-02-18,46.1,0.4,43.6,28.0,55.1,1012.9
วัฒนา,2023-02-19,54.4,0.3,79.8,29.3,53.1,1011.8
วัฒนา,2023-02-20,38.3,0.7,135.3,28.8,56.3,1012.0
วัฒนา,2023-02-21,35.0,0.7,93.1,28.8,53.5,1013.1
วัฒนา,2023-02-22,44.3,0.7,132.0,29.0,52.5,1013.0
วัฒนา,2023-02-23,48.1,0.5,74.1,29.4,49.6,1012.2
วัฒนา,2023-02-24,53.0,0.6,48.3,30.2,46.3,1011.5
วัฒนา,2023-02-25,39.2,1.3,123.6,28.4,47.7,1014.8
วัฒนา,2023-02-26,29.5,1.1,25.3,26.4,50.0,1018.0
วัฒนา,2023-02-27,37.7,0.8,24.4,25.9,51.5,1017.6
วัฒนา,2023-02-28,55.4,0.5,34.8,27.7,47.8,1016.0
วัฒนา,2023-03-01,51.3,0.4,46.1,29.8,46.5,1014.7
วัฒนา,2023-03-02,48.7,0.7,98.9,30.5,46.2,1014.4
วัฒนา,2023-03-03,38.8,0.8,101.7,29.2,44.4,1015.9
