district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
สวนหลวง,2023-01-01,0.5,74.6,24.2,62.3,1016.2,24.5
สวนหลวง,2023-01-02,0.4,93.0,24.8,64.8,1016.5,31.0
สวนหลวง,2023-01-03,0.4,89.9,26.8,62.4,1015.9,30.0
สวนหลวง,2023-01-04,0.3,102.7,27.5,57.1,1015.3,22.8
สวนหลวง,2023-01-05,0.4,71.6,27.2,60.5,1014.8,25.0
สวนหลวง,2023-01-06,0.8,82.0,26.5,60.9,1015.4,20.2
สวนหลวง,2023-01-07,0.9,91.9,25.2,55.8,1015.0,24.7
สวนหลวง,2023-01-08,0.3,70.4,26.6,53.4,1013.9,38.3
สวนหลวง,2023-01-09,0.4,69.3,28.0,55.2,1013.7,43.0
สวนหลวง,2023-01-10,0.7,110.1,28.1,64.5,1012.6,36.2
สวนหลวง,2023-01-11,0.9,94.3,25.8,79.7,1011.9,19.4
สวนหลวง,2023-01-12,0.4,142.1,26.7,79.9,1011.2,28.2
สวนหลวง,2023-01-13,0.2,198.9,27.6,80.9,1011.9,29.8
สวนหลวง,2023-01-14,0.3,230.2,27.6,80.8,1010.3,18.6
สวนหลวง,2023-01-15,0.2,248.1,27.6,72.1,1009.6,21.9
สวนหลวง,2023-01-16,0.3,220.9,27.5,73.2,1011.4,27.0
สวนหลวง,2023-01-17,0.6,113.8,27.4,70.7,1012.9,36.6
สวนหลวง,2023-01-18,1.0,95.4,27.0,63.3,1014.8,30.5
สวนหลวง,2023-01-19,0.7,85.8,26.2,59.1,1014.5,25.0
สวนหลวง,2023-01-20,0.6,82.0,26.3,59.3,1014.1,35.8
สวนหลวง,2023-01-21,0.4,82.6,26.9,53.6,1013.0,32.8
สวนหลวง,2023-01-22,0.4,75.5,26.5,53.9,1011.7,42.1
สวนหลวง,2023-01-23,0.3,100.7,27.9,52.3,1010.6,58.1
สวนหลวง,2023-01-24,1.0,83.9,28.0,54.1,1011.5,49.0
สวนหลวง,2023-01-25,1.2,92.9,24.5,53.6,1013.6,23.1
สวนหลวง,2023-01-26,0.4,95.1,25.9,52.6,1012.4,40.5
สวนหลวง,2023-01-27,0.7,85.0,26.9,54.4,1011.8,50.2
สวนหลวง,2023-01-28,1.1,89.4,24.7,57.4,1012.8,22.1
สวนหลวง,2023-01-29,1.1,89.7,23.3,54.4,1014.3,26.9
สวนหลวง,2023-01-30,0.4,134.7,22.9,50.2,1015.4,36.6
สวนหลวง,2023-01-31,0.2,108.4,25.0,47.0,1012.7,60.7
สวนหลวง,2023-02-01,0.2,153.8,26.6,52.9,1010.8,86.7
สวนหลวง,2023-02-02,0.2,151.2,28.3,60.5,1010.4,100.6
สวนหลวง,2023-02-03,0.2,232.7,28.6,71.6,1011.0,36.5
สวนหลวง,2023-02-04,0.2,238.3,28.3,79.7,1010.5,25.7
สวนหลวง,2023-02-05,0.2,244.6,28.4,74.6,1010.5,16.6
สวนหลวง,2023-02-06,0.3,231.8,28.7,78.0,1010.4,15.3
สวนหลวง,2023-02-07,0.4,221.7,28.4,77.1,1010.6,14.8
สวนหลวง,2023-02-08,0.4,231.8,28.7,76.7,1010.5,14.5
สวนหลวง,2023-02-09,0.3,238.4,28.7,78.4,1010.6,14.7
สวนหลวง,2023-02-10,0.4,227.0,28.7,76.4,1011.1,14.9
สวนหลวง,2023-02-11,0.4,225.6,29.0,72.9,1011.1,13.5
สวนหลวง,2023-02-12,0.4,220.4,28.9,75.8,1011.3,14.7
สวนหลวง,2023-02-13,0.4,225.7,28.8,78.0,1011.2,17.3
สวนหลวง,2023-02-14,0.3,228.4,29.2,77.6,1010.7,19.9
สวนหลวง,2023-02-15,0.3,186.1,25.2,95.0,1012.3,35.4
สวนหลวง,2023-02-16,0.6,87.2,25.9,80.3,1014.2,31.4
สวนหลวง,2023-02-17,0.6,109.3,26.8,66.8,1014.2,37.9
สวนหลวง,2023-02-18,0.4,95.0,27.6,58.8,1013.2,50.9
สวนหลวง,2023-02-19,0.3,97.8,29.0,56.6,1012.0,57.9
สวนหลวง,2023-02-20,0.7,111.8,28.4,59.1,1012.3,42.2
สวนหลวง,2023-02-21,0.6,80.1,28.4,58.5,1013.4,42.3
สวนหลวง,2023-02-22,0.6,83.8,28.5,57.4,1013.3,51.0
สวนหลวง,2023-02-23,0.4,117.7,28.6,55.6,1012.5,50.9
สวนหลวง,2023-02-24,0.5,98.5,29.3,53.5,1011.9,60.0
สวนหลวง,2023-02-25,1.1,90.0,27.7,51.4,1015.2,42.9
สวนหลวง,2023-02-26,1.1,88.0,25.9,53.2,1018.3,31.8
สวนหลวง,2023-02-27,0.7,120.5,25.5,55.0,1017.9,39.1
สวนหลวง,2023-02-28,0.5,106.0,27.2,52.0,1016.3,55.1
สวนหลวง,2023-03-01,16.8,63.4,53.0,45.8,733.7,335.4
สวนหลวง,2023-03-02,53.1,0.7,94.3,29.8,51.2,1014.7
สวนหลวง,2023-03-03,44.1,0.7,85.5,28.5,49.4,1016.2
สวนหลวง,2023-03-04,57.4,0.8,83.6,27.8,53.9,1017.0
