district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
สวนหลวงพระราม 8 บางพลัด,2023-01-01,28.1,,,26.3,59.7,760.1
สวนหลวงพระราม 8 บางพลัด,2023-01-02,29.7,,,26.7,59.7,760.2
สวนหลวงพระราม 8 บางพลัด,2023-01-03,28.6,,,28.2,59.4,759.8
สวนหลวงพระราม 8 บางพลัด,2023-01-04,21.7,,,28.8,57.7,759.4
สวนหลวงพระราม 8 บางพลัด,2023-01-05,24.6,,,28.9,59.2,759.0
สวนหลวงพระราม 8 บางพลัด,2023-01-06,19.2,,,27.8,59.5,759.4
สวนหลวงพระราม 8 บางพลัด,2023-01-07,18.8,,,26.9,54.0,759.1
สวนหลวงพระราม 8 บางพลัด,2023-01-08,36.8,,,27.6,55.4,758.3
สวนหลวงพระราม 8 บางพลัด,2023-01-09,43.8,,,28.9,58.3,758.2
สวนหลวงพระราม 8 บางพลัด,2023-01-10,36.1,,,29.0,65.3,757.3
สวนหลวงพระราม 8 บางพลัด,2023-01-11,18.0,,,27.0,74.7,756.8
สวนหลวงพระราม 8 บางพลัด,2023-01-12,25.9,,,28.8,72.8,756.2
สวนหลวงพระราม 8 บางพลัด,2023-01-13,21.3,,,29.8,72.7,756.7
สวนหลวงพระราม 8 บางพลัด,2023-01-14,19.4,,,30.0,71.9,755.5
สวนหลวงพระราม 8 บางพลัด,2023-01-15,22.9,,,30.1,66.2,755.0
สวนหลวงพระราม 8 บางพลัด,2023-01-16,23.5,,,29.3,67.5,756.3
สวนหลวงพระราม 8 บางพลัด,2023-01-17,29.9,,,29.1,65.7,757.4
สวนหลวงพระราม 8 บางพลัด,2023-01-18,27.3,,,28.7,59.5,758.9
สวนหลวงพระราม 8 บางพลัด,2023-01-19,227.5,,,28.3,55.7,758.7
สวนหลวงพระราม 8 บางพลัด,2023-01-20,172.0,,,28.2,55.8,758.4
สวนหลวงพระราม 8 บางพลัด,2023-01-21,274.0,,,28.2,55.1,757.6
สวนหลวงพระราม 8 บางพลัด,2023-01-22,240.6,,,28.1,54.7,756.6
สวนหลวงพระราม 8 บางพลัด,2023-01-23,216.0,,,29.4,51.3,755.8
สวนหลวงพระราม 8 บางพลัด,2023-01-24,112.4,,,29.1,55.0,756.4
สวนหลวงพระราม 8 บางพลัด,2023-01-25,221.5,,,25.9,54.1,758.1
สวนหลวงพระราม 8 บางพลัด,2023-01-26,259.8,,,27.1,54.5,757.2
สวนหลวงพระราม 8 บางพลัด,2023-01-27,130.8,,,28.7,53.8,756.7
สวนหลวงพระราม 8 บางพลัด,2023-01-28,135.3,,,26.4,56.9,757.5
สวนหลวงพระราม 8 บางพลัด,2023-01-29,60.0,,,25.3,52.9,758.6
สวนหลวงพระราม 8 บางพลัด,2023-01-30,222.0,,,23.7,50.4,759.5
สวนหลวงพระราม 8 บางพลัด,2023-01-31,73.1,,,26.0,49.5,757.5
สวนหลวงพระราม 8 บางพลัด,2023-02-01,198.1,,,28.5,50.8,755.9
สวนหลวงพระราม 8 บางพลัด,2023-02-02,125.3,,,30.4,57.2,755.6
สวนหลวงพระราม 8 บางพลัด,2023-02-03,191.3,,,30.1,67.8,756.1
สวนหลวงพระราม 8 บางพลัด,2023-02-04,112.4,,,30.0,73.5,755.7
สวนหลวงพระราม 8 บางพลัด,2023-02-05,n/a,,,29.7,72.1,755.7
สวนหลวงพระราม 8 บางพลัด,2023-02-06,17.5,,,30.2,72.4,755.6
สวนหลวงพระราม 8 บางพลัด,2023-02-07,107.2,,,29.6,72.5,755.8
สวนหลวงพระราม 8 บางพลัด,2023-02-08,212.8,,,30.2,70.7,755.6
สวนหลวงพระราม 8 บางพลัด,2023-02-09,79.9,,,29.8,74.1,755.8
สวนหลวงพระราม 8 บางพลัด,2023-02-10,13.4,,,29.9,71.5,756.1
สวนหลวงพระราม 8 บางพลัด,2023-02-11,15.8,,,30.3,69.1,756.1
สวนหลวงพระราม 8 บางพลัด,2023-02-12,228.9,,,30.1,72.7,756.2
สวนหลวงพระราม 8 บางพลัด,2023-02-13,203.6,,,29.9,74.9,756.2
สวนหลวงพระราม 8 บางพลัด,2023-02-14,269.1,,,30.5,73.5,755.7
