district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
สะพานสูง,2023-01-01,22.5,0.1,177.4,24.4,61.5,1015.8
สะพานสูง,2023-01-02,28.1,0.1,206.2,24.8,64.2,1016.0
สะพานสูง,2023-01-03,25.7,0.2,226.1,26.9,61.3,1015.4
สะพานสูง,2023-01-04,18.9,0.2,310.8,27.5,56.3,1014.8
สะพานสูง,2023-01-05,21.0,0.1,227.5,27.1,60.9,1014.3
สะพานสูง,2023-01-06,16.4,0.2,171.0,26.6,60.0,1015.0
สะพานสูง,2023-01-07,20.7,0.2,106.9,25.3,55.1,1014.5
สะพานสูง,2023-01-08,32.1,0.3,221.7,26.6,52.7,1013.4
สะพานสูง,2023-01-09,38.9,0.3,292.1,28.0,54.3,1013.2
สะพานสูง,2023-01-10,30.2,0.4,185.8,28.1,64.5,1012.1
สะพานสูง,2023-01-11,15.1,0.4,90.1,25.6,80.5,1011.4
สะพานสูง,2023-01-12,26.0,0.2,134.8,26.9,78.9,1010.7
สะพานสูง,2023-01-13,31.8,0.2,90.5,27.7,79.7,1011.4
สะพานสูง,2023-01-14,19.1,0.2,71.4,27.9,78.9,1009.8
สะพานสูง,2023-01-15,20.8,0.2,170.6,27.9,70.2,1009.0
สะพานสูง,2023-01-16,30.8,0.1,71.4,27.3,70.6,1010.9
สะพานสูง,2023-01-17,32.2,0.2,85.6,27.4,69.1,1012.4
สะพานสูง,2023-01-18,25.4,0.4,103.1,26.9,63.1,1014.3
สะพานสูง,2023-01-19,21.0,0.2,101.4,26.0,59.4,1014.0
สะพานสูง,2023-01-20,28.6,0.2,156.8,26.2,59.0,1013.6
สะพานสูง,2023-01-21,28.8,0.2,191.9,26.7,53.1,1012.5
สะพานสูง,2023-01-22,39.3,0.1,208.9,26.3,54.4,1011.2
สะพานสูง,2023-01-23,51.2,0.1,243.4,27.6,53.2,1010.1
สะพานสูง,2023-01-24,43.7,0.3,183.4,27.9,54.9,1011.0
สะพานสูง,2023-01-25,20.1,0.4,166.7,24.6,53.0,1013.1
สะพานสูง,2023-01-26,37.9,0.1,218.6,25.7,52.8,1011.9
สะพานสูง,2023-01-27,47.1,0.2,116.0,26.7,55.7,1011.4
สะพานสูง,2023-01-28,20.0,0.3,123.4,24.7,57.1,1012.4
สะพานสูง,2023-01-29,23.8,0.3,127.9,23.4,53.9,1013.8
สะพานสูง,2023-01-30,33.3,0.2,288.9,22.9,49.8,1014.9
สะพานสูง,2023-01-31,54.9,0.1,220.3,24.8,47.2,1012.2
สะพานสูง,2023-02-01,77.7,0.1,198.2,26.7,52.1,1010.3
สะพานสูง,2023-02-02,81.2,0.1,118.3,28.4,59.1,1009.9
สะพานสูง,2023-02-03,38.0,0.2,105.9,28.8,70.7,1010.5
สะพานสูง,2023-02-04,26.0,0.2,90.3,28.3,80.4,1009.9
สะพานสูง,2023-02-05,18.0,0.2,146.6,28.3,75.9,1009.9
สะพานสูง,2023-02-06,15.0,0.3,92.0,28.7,77.2,1009.9
สะพานสูง,2023-02-07,15.1,0.3,89.2,28.5,76.4,1010.1
สะพานสูง,2023-02-08,15.1,0.3,90.8,29.0,75.3,1009.9
สะพานสูง,2023-02-09,15.4,0.4,87.8,28.8,77.7,1010.1
สะพานสูง,2023-02-10,12.5,0.3,81.3,28.7,75.9,1010.6
สะพานสูง,2023-02-11,13.0,0.4,93.6,29.2,71.9,1010.6
สะพานสูง,2023-02-12,13.2,0.4,93.1,29.1,74.6,1010.8
สะพานสูง,2023-02-13,17.7,0.4,97.1,29.0,76.1,1010.7
สะพานสูง,2023-02-14,19.4,0.4,98.2,29.5,75.3,1010.2
สะพานสูง,2023-02-15,32.1,0.2,151.6,25.3,94.5,1011.8
สะพานสูง,2023-02-16,27.2,0.2,192.2,25.9,79.6,1013.7
สะพานสูง,2023-02-17,33.4,0.4,232.3,26.6,67.4,1013.7
สะพานสูง,2023-02-18,44.6,0.2,276.0,27.6,57.3,1012.8
สะพานสูง,2023-02-19,52.2,0.2,260.8,28.9,56.9,1011.6
สะพานสูง,2023-02-20,39.5,0.4,139.5,28.4,59.0,1011.9
สะพานสูง,2023-02-21,36.7,0.3,184.0,28.4,57.9,1012.9
สะพานสูง,2023-02-22,44.2,0.3,131.0,28.4,56.9,1012.9
สะพานสูง,2023-02-23,45.9,0.1,162.3,28.8,53.9,1012.0
สะพานสูง,2023-02-24,53.5,0.1,176.9,29.4,52.3,1011.4
สะพานสูง,2023-02-25,37.5,0.5,102.8,27.8,50.1,1014.7
สะพานสูง,2023-02-26,29.3,0.3,140.5,26.1,52.4,1017.9
สะพานสูง,2023-02-27,35.5,0.2,189.2,25.7,54.0,1017.5
สะพานสูง,2023-02-28,52.6,0.1,219.2,27.2,52.3,1015.8
สะพานสูง,2023-03-01,48.7,0.2,206.3,29.2,50.9,1014.5
สะพานสูง,2023-03-02,46.6,0.3,89.6,29.9,50.7,1014.2
สะพานสูง,2023-03-03,37.3,0.2,149.5,28.6,48.0,1015.7
สะพานสูง,2023-03-04,51.7,0.3,119.6,27.9,53.1,1016.5
สะพานสูง,2023-03-05,50.8,0.3,137.9,27.8,55.3,1016.0
สะพานสูง,2023-03-06,58.0,0.2,121.2,28.3,57.2,1014.7
สะพานสูง,2023-03-07,77.3,0.2,115.2,29.0,58.2,1013.8
สะพานสูง,2023-03-08,68.3,0.3,109.0,29.6,66.8,1013.4
