district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
สัมพันธวงศ์,2023-01-01,32.3,25.4,101.4,0.0,52.0,1015.1
สัมพันธวงศ์,2023-01-02,32.8,25.8,113.1,0.0,52.9,1015.4
สัมพันธวงศ์,2023-01-03,35.1,27.0,106.0,0.0,54.5,1014.9
สัมพันธวงศ์,2023-01-04,28.0,27.5,148.4,0.0,52.0,1014.3
สัมพันธวงศ์,2023-01-05,30.4,27.6,132.4,0.0,53.7,1013.8
สัมพันธวงศ์,2023-01-06,28.8,27.2,80.5,0.0,52.7,1014.3
สัมพันธวงศ์,2023-01-07,29.0,26.1,72.2,0.0,47.3,1013.9
สัมพันธวงศ์,2023-01-08,43.1,26.9,133.8,0.0,48.1,1012.9
สัมพันธวงศ์,2023-01-09,54.2,27.9,134.0,0.0,52.3,1012.7
สัมพันธวงศ์,2023-01-10,44.1,28.3,99.4,0.0,59.3,1011.5
สัมพันธวงศ์,2023-01-11,29.0,26.6,59.0,0.0,70.7,1010.8
สัมพันธวงศ์,2023-01-12,38.0,27.4,116.2,0.0,72.1,1010.1
สัมพันธวงศ์,2023-01-13,30.4,28.2,247.4,0.0,74.3,1010.8
สัมพันธวงศ์,2023-01-14,23.4,28.4,241.7,0.0,73.5,1009.2
สัมพันธวงศ์,2023-01-15,26.5,28.2,244.9,0.0,65.2,1008.5
สัมพันธวงศ์,2023-01-16,35.4,28.2,261.7,0.0,66.9,1010.3
สัมพันธวงศ์,2023-01-17,35.1,28.5,168.9,0.0,61.0,1011.7
สัมพันธวงศ์,2023-01-18,38.3,28.3,67.6,0.0,52.0,1013.6
สัมพันธวงศ์,2023-01-19,30.9,27.5,81.2,0.0,48.3,1013.4
สัมพันธวงศ์,2023-01-20,32.2,27.4,81.5,0.0,48.6,1013.0
สัมพันธวงศ์,2023-01-21,38.3,27.6,132.8,0.0,46.6,1012.0
สัมพันธวงศ์,2023-01-22,44.1,27.9,108.6,0.0,41.3,1010.6
สัมพันธวงศ์,2023-01-23,56.5,28.8,138.4,0.0,42.8,1009.6
สัมพันธวงศ์,2023-01-24,56.2,29.1,100.3,0.0,45.4,1010.4
สัมพันธวงศ์,2023-01-25,30.2,25.3,95.0,0.0,47.2,1012.5
สัมพันธวงศ์,2023-01-26,49.9,26.4,159.5,0.0,46.8,1011.4
สัมพันธวงศ์,2023-01-27,59.3,27.9,82.0,0.0,45.2,1010.7
สัมพันธวงศ์,2023-01-28,30.9,25.8,70.0,0.0,49.8,1011.7
สัมพันธวงศ์,2023-01-29,31.3,24.5,72.7,0.0,46.1,1013.2
สัมพันธวงศ์,2023-01-30,41.4,23.1,146.7,0.0,43.2,1014.4
สัมพันธวงศ์,2023-01-31,74.7,24.9,219.6,0.0,43.1,1011.7
สัมพันธวงศ์,2023-02-01,89.3,27.3,198.9,0.0,44.1,1009.8
สัมพันธวงศ์,2023-02-02,101.7,29.0,221.8,0.0,53.1,1009.4
สัมพันธวงศ์,2023-02-03,45.6,28.9,259.1,0.0,66.6,1010.0
สัมพันธวงศ์,2023-02-04,28.1,28.8,258.6,0.0,73.7,1009.5
สัมพันธวงศ์,2023-02-05,22.7,28.8,244.4,0.0,68.1,1009.4
สัมพันธวงศ์,2023-02-06,24.8,29.0,260.7,0.0,71.8,1009.4
สัมพันธวงศ์,2023-02-07,19.9,28.7,248.8,0.0,71.3,1009.6
สัมพันธวงศ์,2023-02-08,23.5,29.0,247.8,0.0,71.0,1009.4
สัมพันธวงศ์,2023-02-09,18.4,28.9,256.8,0.0,73.2,1009.6
สัมพันธวงศ์,2023-02-10,15.0,29.1,257.7,0.0,69.6,1010.0
สัมพันธวงศ์,2023-02-11,16.2,29.3,257.5,0.0,67.3,1010.0
สัมพันธวงศ์,2023-02-12,17.6,29.2,263.8,0.0,71.2,1010.2
สัมพันธวงศ์,2023-02-13,39.6,29.0,258.2,0.0,73.8,1010.1
สัมพันธวงศ์,2023-02-14,24.6,29.5,258.5,0.0,72.4,1009.6
สัมพันธวงศ์,2023-02-15,38.0,26.2,223.4,0.0,86.5,1011.2
สัมพันธวงศ์,2023-02-16,33.9,26.6,104.5,0.0,70.9,1013.1
สัมพันธวงศ์,2023-02-17,41.8,27.3,115.7,0.0,58.1,1013.1
สัมพันธวงศ์,2023-02-18,51.2,27.9,143.5,0.0,53.5,1012.2
สัมพันธวงศ์,2023-02-19,58.3,29.2,171.4,0.0,50.1,1011.1
สัมพันธวงศ์,2023-02-20,47.0,29.3,95.7,0.0,50.7,1011.2
สัมพันธวงศ์,2023-02-21,42.3,29.6,83.7,0.0,47.6,1012.3
สัมพันธวงศ์,2023-02-22,49.9,29.8,85.0,0.0,46.7,1012.2
สัมพันธวงศ์,2023-02-23,55.5,29.9,117.3,0.0,44.1,1011.4
สัมพันธวงศ์,2023-02-24,72.5,30.6,109.3,0.0,43.0,1010.8
สัมพันธวงศ์,2023-02-25,49.6,29.2,63.8,0.0,42.0,1014.0
สัมพันธวงศ์,2023-02-26,36.4,27.0,79.7,0.0,45.8,1017.2
สัมพันธวงศ์,2023-02-27,45.9,26.3,110.3,0.0,47.6,1016.9
สัมพันธวงศ์,2023-02-28,61.7,27.6,166.9,0.0,45.6,1015.3
สัมพันธวงศ์,2023-03-01,68.2,0.5,146.2,29.6,45.7,1014.0
สัมพันธวงศ์,2023-03-02,67.2,0.7,140.0,31.1,43.5,1013.6
สัมพันธวงศ์,2023-03-03,45.3,0.8,85.6,30.0,39.6,1015.2
สัมพันธวงศ์,2023-03-04,62.2,0.9,79.8,29.3,43.3,1015.9
สัมพันธวงศ์,2023-03-05,57.4,0.8,90.0,29.0,46.3,1015.4
สัมพันธวงศ์,2023-03-06,66.9,0.8,135.9,29.3,50.3,1014.2
สัมพันธวงศ์,2023-03-07,86.3,0.5,175.5,30.0,50.1,1013.3
สัมพันธวงศ์,2023-03-08,84.7,0.6,232.7,30.1,61.9,1012.9
สัมพันธวงศ์,2023-03-09,63.1,0.7,257.3,29.5,69.7,1011.7
สัมพันธวงศ์,2023-03-10,69.5,0.7,232.5,29.6,70.3,1011.3
สัมพันธวงศ์,2023-03-11,66.2,0.8,257.4,29.2,74.3,1011.2
สัมพันธวงศ์,2023-03-12,39.8,0.8,257.3,29.3,74.2,1011.2
สัมพันธวงศ์,2023-03-13,54.5,0.9,129.9,28.6,64.5,1012.0
สัมพันธวงศ์,2023-03-14,52.7,0.7,104.1,29.0,53.8,1010.5
สัมพันธวงศ์,2023-03-15,53.1,0.6,262.3,29.3,64.4,1010.3
สัมพันธวงศ์,2023-03-16,47.6,0.8,256.2,29.3,70.6,1011.5
สัมพันธวงศ์,2023-03-17,39.2,0.8,256.0,29.4,69.2,1011.2
สัมพันธวงศ์,2023-03-18,28.5,0.8,257.0,29.6,70.3,1010.0
สัมพันธวงศ์,2023-03-19,25.9,0.9,256.1,29.6,71.2,1009.3
สัมพันธวงศ์,2023-03-20,52.5,0.8,257.4,30.1,71.1,1008.7
สัมพันธวงศ์,2023-03-21,41.4,0.9,256.5,30.1,71.8,1008.5
สัมพันธวงศ์,2023-03-22,36.7,0.9,256.1,30.2,72.8,1007.1
สัมพันธวงศ์,2023-03-23,40.7,0.9,256.1,30.5,71.7,1007.2
สัมพันธวงศ์,2023-03-24,22.6,0.8,258.1,30.7,72.8,1007.6
สัมพันธวงศ์,2023-03-25,34.8,0.8,260.6,30.6,72.9,1008.2
สัมพันธวงศ์,2023-03-26,20.7,0.9,257.1,30.8,71.3,1007.7
สัมพันธวงศ์,2023-03-27,20.9,0.8,255.9,30.7,71.6,1007.8
สัมพันธวงศ์,2023-03-28,18.9,1.0,256.0,30.4,69.5,1009.4
สัมพันธวงศ์,2023-03-29,15.4,0.7,251.2,30.9,63.0,1010.1
สัมพันธวงศ์,2023-03-30,17.2,0.9,256.4,30.6,70.4,1008.5
สัมพันธวงศ์,2023-03-31,21.6,0.9,255.5,30.8,70.1,1008.1
สัมพันธวงศ์,2023-04-01,23.7,0.9,255.8,30.8,70.2,1008.0
สัมพันธวงศ์,2023-04-02,24.6,0.9,246.2,30.7,70.7,1007.8
สัมพันธวงศ์,2023-04-03,38.7,0.8,237.6,31.6,60.6,1007.1
สัมพันธวงศ์,2023-04-04,48.3,0.8,255.9,31.7,61.4,1006.6
สัมพันธวงศ์,2023-04-05,52.2,0.8,243.2,31.8,55.8,1006.9
