district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
สาทร,2023-01-01,30.2,25.7,186.6,0.0,54.5,1015.2
สาทร,2023-01-02,33.9,26.2,198.4,0.0,55.0,1015.4
สาทร,2023-01-03,34.4,27.5,141.8,0.0,56.6,1014.9
สาทร,2023-01-04,28.4,28.1,52.8,0.0,53.4,1014.3
สาทร,2023-01-05,29.6,28.3,116.3,0.0,54.7,1013.8
สาทร,2023-01-06,23.1,27.5,220.6,0.0,54.8,1014.4
สาทร,2023-01-07,25.2,26.1,191.1,0.0,50.6,1014.0
สาทร,2023-01-08,42.3,27.1,159.3,0.0,50.1,1012.9
สาทร,2023-01-09,50.9,28.4,176.8,0.0,53.3,1012.7
สาทร,2023-01-10,43.9,28.4,239.1,0.0,61.6,1011.6
สาทร,2023-01-11,25.2,26.3,229.2,0.0,73.9,1010.9
สาทร,2023-01-12,38.0,27.2,236.3,0.0,75.0,1010.2
สาทร,2023-01-13,36.8,28.0,224.1,0.0,77.4,1010.9
สาทร,2023-01-14,25.0,28.1,226.3,0.0,77.0,1009.3
สาทร,2023-01-15,29.7,28.5,175.7,0.0,66.7,1008.6
สาทร,2023-01-16,31.4,28.2,226.9,0.0,69.1,1010.4
สาทร,2023-01-17,37.5,28.5,235.8,0.0,64.1,1011.9
สาทร,2023-01-18,34.5,28.2,255.5,0.0,56.4,1013.8
สาทร,2023-01-19,28.1,27.5,257.0,0.0,52.0,1013.5
สาทร,2023-01-20,33.9,27.7,213.1,0.0,51.1,1013.1
สาทร,2023-01-21,41.9,28.0,145.1,0.0,48.3,1012.1
สาทร,2023-01-22,43.4,28.1,208.0,0.0,43.8,1010.7
สาทร,2023-01-23,56.1,29.4,130.5,0.0,44.6,1009.6
สาทร,2023-01-24,52.3,29.6,158.0,0.0,46.6,1010.5
สาทร,2023-01-25,28.6,25.5,134.7,0.0,49.7,1012.6
สาทร,2023-01-26,52.0,27.0,165.4,0.0,48.2,1011.5
สาทร,2023-01-27,55.2,28.1,246.5,0.0,47.9,1010.8
สาทร,2023-01-28,26.8,25.9,255.0,0.0,52.4,1011.8
