district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
สายไหม,2023-01-01,33.4,0.5,51.0,24.4,60.9,1016.1
สายไหม,2023-01-02,31.6,0.5,124.6,25.1,60.1,1016.3
สายไหม,2023-01-03,28.4,0.6,62.6,26.9,58.5,1015.7
สายไหม,2023-01-04,22.5,0.7,72.0,27.5,55.6,1015.1
สายไหม,2023-01-05,22.8,0.7,101.1,26.9,59.5,1014.7
สายไหม,2023-01-06,20.8,0.6,82.7,26.4,59.6,1015.4
สายไหม,2023-01-07,22.3,0.6,81.5,25.4,54.4,1014.7
สายไหม,2023-01-08,39.2,0.7,63.2,26.5,53.7,1013.8
สายไหม,2023-01-09,44.6,0.8,50.3,28.1,54.3,1013.5
สายไหม,2023-01-10,36.4,0.7,100.1,27.9,65.3,1012.4
สายไหม,2023-01-11,16.4,0.8,88.1,25.4,79.1,1011.8
สายไหม,2023-01-12,27.8,0.5,60.7,27.1,74.5,1011.0
สายไหม,2023-01-13,41.8,0.4,82.3,27.6,76.4,1011.6
สายไหม,2023-01-14,33.4,0.6,139.5,28.3,72.2,1010.0
สายไหม,2023-01-15,31.5,0.5,202.6,28.2,66.8,1009.4
สายไหม,2023-01-16,40.1,0.5,100.0,27.7,64.4,1011.2
สายไหม,2023-01-17,38.4,0.7,80.4,27.2,68.3,1012.8
สายไหม,2023-01-18,32.0,0.8,77.0,26.6,62.3,1014.7
สายไหม,2023-01-19,29.6,0.6,76.6,25.8,60.7,1014.3
สายไหม,2023-01-20,34.5,0.5,59.7,26.3,58.0,1013.9
สายไหม,2023-01-21,40.4,0.6,114.1,26.4,55.6,1012.8
สายไหม,2023-01-22,50.5,0.5,123.0,26.3,53.7,1011.5
สายไหม,2023-01-23,61.9,0.4,79.9,27.5,54.6,1010.4
สายไหม,2023-01-24,52.8,0.7,68.4,27.6,56.7,1011.4
สายไหม,2023-01-25,26.7,0.7,104.3,24.2,55.0,1013.5
สายไหม,2023-01-26,49.9,0.5,198.3,25.9,54.0,1012.1
สายไหม,2023-01-27,53.7,0.6,67.9,26.4,57.4,1011.7
สายไหม,2023-01-28,30.6,0.7,73.6,24.2,59.6,1012.8
สายไหม,2023-01-29,33.2,0.7,65.7,23.2,55.4,1014.3
สายไหม,2023-01-30,41.3,0.7,101.8,22.8,48.5,1015.2
สายไหม,2023-01-31,66.0,0.5,194.3,24.9,48.2,1012.4
สายไหม,2023-02-01,97.5,0.4,104.4,26.9,52.8,1010.6
สายไหม,2023-02-02,99.7,0.4,72.5,28.8,53.7,1010.2
สายไหม,2023-02-03,54.6,0.6,172.8,29.5,63.9,1010.8
สายไหม,2023-02-04,39.8,0.7,166.8,29.2,72.0,1010.2
สายไหม,2023-02-05,33.1,0.7,166.8,28.3,72.4,1010.2
สายไหม,2023-02-06,27.3,0.7,168.7,28.0,78.4,1010.1
สายไหม,2023-02-07,26.1,0.7,175.8,28.9,71.6,1010.4
สายไหม,2023-02-08,28.0,0.7,186.0,29.6,69.8,1010.1
สายไหม,2023-02-09,25.3,0.9,194.7,29.4,71.6,1010.4
สายไหม,2023-02-10,21.4,1.0,190.3,29.4,70.2,1010.8
สายไหม,2023-02-11,21.2,0.9,190.3,29.9,66.3,1010.8
สายไหม,2023-02-12,21.4,0.9,197.5,29.9,68.6,1011.0
สายไหม,2023-02-13,27.7,0.9,197.0,29.6,70.4,1010.8
สายไหม,2023-02-14,30.3,0.7,145.2,30.2,69.1,1010.3
สายไหม,2023-02-15,46.1,0.6,169.3,25.9,85.4,1012.2
สายไหม,2023-02-16,28.7,0.7,86.3,26.9,68.9,1014.2
สายไหม,2023-02-17,38.1,0.9,71.9,26.4,61.6,1014.0
สายไหม,2023-02-18,49.4,0.8,127.4,27.8,56.1,1012.7
สายไหม,2023-02-19,64.5,0.7,100.1,29.5,56.3,1011.5
สายไหม,2023-02-20,37.3,0.8,103.3,27.8,59.4,1012.6
สายไหม,2023-02-21,44.1,0.9,91.8,28.2,58.1,1013.2
สายไหม,2023-02-22,52.5,0.9,86.2,28.3,56.2,1013.0
สายไหม,2023-02-23,56.6,0.5,114.1,28.8,52.3,1012.1
สายไหม,2023-02-24,57.7,0.8,76.7,29.5,48.2,1012.2
สายไหม,2023-02-25,38.8,1.1,87.7,27.2,53.4,1016.3
สายไหม,2023-02-26,35.7,0.9,71.9,25.7,53.0,1018.4
สายไหม,2023-02-27,53.1,0.7,127.2,25.6,55.3,1017.3
สายไหม,2023-02-28,53.6,0.7,115.5,29.4,44.4,1015.6
สายไหม,2023-03-01,28.4,0.7,62.6,26.9,58.5,1015.8
สายไหม,2023-03-02,54.5,0.6,172.8,29.5,63.9,1010.8
สายไหม,2023-03-03,45.9,0.8,66.2,28.4,50.1,1016.1
สายไหม,2023-03-04,64.9,1.0,75.9,27.6,56.1,1016.9
สายไหม,2023-03-05,62.0,0.8,103.9,27.5,57.4,1016.3
สายไหม,2023-03-06,65.3,0.8,106.2,28.0,55.7,1015.0
สายไหม,2023-03-07,88.2,0.6,95.0,28.7,57.4,1014.2
สายไหม,2023-03-08,78.8,0.6,99.4,29.7,61.6,1013.7
สายไหม,2023-03-09,62.8,0.7,149.2,29.8,67.3,1012.5
สายไหม,2023-03-10,53.0,0.7,126.2,29.7,69.4,1012.1
สายไหม,2023-03-11,48.9,0.8,180.0,29.7,71.9,1012.0
สายไหม,2023-03-12,42.1,0.7,190.0,29.9,71.2,1012.0
สายไหม,2023-03-13,47.2,0.9,84.1,28.0,69.6,1012.9
สายไหม,2023-03-14,49.4,0.8,123.8,28.4,58.7,1011.5
สายไหม,2023-03-15,62.9,0.7,154.6,29.2,64.9,1011.1
สายไหม,2023-03-16,37.0,0.9,192.7,29.7,69.4,1012.2
สายไหม,2023-03-17,32.8,0.9,162.3,29.9,68.8,1011.9
สายไหม,2023-03-18,32.5,0.9,216.7,30.1,68.7,1010.8
สายไหม,2023-03-19,29.9,0.9,236.1,30.2,68.9,1010.0
สายไหม,2023-03-20,32.0,0.9,207.9,30.6,68.7,1009.4
สายไหม,2023-03-21,32.0,1.0,215.1,30.8,68.6,1009.2
สายไหม,2023-03-22,31.8,1.1,215.4,31.1,68.6,1007.8
สายไหม,2023-03-23,24.1,1.0,222.9,31.3,67.2,1007.9
สายไหม,2023-03-24,26.8,1.0,187.7,31.1,70.7,1008.3
สายไหม,2023-03-25,27.9,1.0,211.9,31.4,68.6,1008.8
สายไหม,2023-03-26,24.3,1.0,215.1,31.2,68.8,1008.4
สายไหม,2023-03-27,26.8,1.0,199.8,31.4,68.2,1008.5
สายไหม,2023-03-28,22.9,1.1,197.6,30.9,68.4,1010.1
สายไหม,2023-03-29,18.6,1.1,195.2,31.1,63.1,1010.9
สายไหม,2023-03-30,26.7,1.2,162.8,29.8,71.3,1009.2
สายไหม,2023-03-31,25.4,1.0,198.7,31.5,67.7,1008.8
สายไหม,2023-04-01,22.5,0.7,71.9,27.5,55.6,1015.0
สายไหม,2023-04-02,39.8,0.7,166.9,29.2,72.1,1010.2
สายไหม,2023-04-03,37.6,1.0,197.4,32.2,57.4,1007.8
สายไหม,2023-04-04,43.5,0.9,198.3,32.2,60.5,1007.4
สายไหม,2023-04-05,52.0,0.8,216.1,32.0,56.1,1007.6
สายไหม,2023-04-06,41.7,0.8,165.6,32.0,65.0,1008.3
สายไหม,2023-04-07,33.0,0.7,128.6,30.3,70.3,1010.1
สายไหม,2023-04-08,27.0,0.7,182.9,31.4,66.9,1011.9
