district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
หนองจอก,2023-01-01,32.2,0.3,71.6,24.1,66.6,1015.3
หนองจอก,2023-01-02,36.6,0.2,145.5,24.6,67.9,1015.5
หนองจอก,2023-01-03,36.8,0.3,94.0,26.2,67.0,1015.0
หนองจอก,2023-01-04,33.9,0.4,140.5,27.2,63.7,1014.3
หนองจอก,2023-01-05,33.5,0.3,88.6,26.5,66.2,1013.9
หนองจอก,2023-01-06,22.6,0.4,50.3,26.3,63.5,1014.5
หนองจอก,2023-01-07,32.4,0.3,111.6,25.2,57.3,1014.0
หนองจอก,2023-01-08,47.8,0.4,76.7,26.2,57.8,1012.9
หนองจอก,2023-01-09,51.1,0.5,44.2,27.2,61.7,1012.7
หนองจอก,2023-01-10,41.6,0.4,132.0,27.9,68.3,1011.7
หนองจอก,2023-01-11,24.8,0.4,120.8,25.6,82.7,1011.0
หนองจอก,2023-01-12,33.1,0.3,90.5,27.0,79.3,1010.2
หนองจอก,2023-01-13,44.9,0.3,165.2,27.7,80.7,1010.9
หนองจอก,2023-01-14,37.7,0.4,184.0,27.9,80.0,1009.3
หนองจอก,2023-01-15,38.3,0.3,209.9,28.0,74.3,1008.5
หนองจอก,2023-01-16,48.4,0.3,179.1,27.6,71.1,1010.4
หนองจอก,2023-01-17,42.6,0.3,101.1,27.5,71.1,1011.9
หนองจอก,2023-01-18,35.7,0.3,124.6,26.7,64.3,1013.8
หนองจอก,2023-01-19,33.1,0.2,112.0,25.7,63.7,1013.5
หนองจอก,2023-01-20,43.7,0.3,112.1,25.9,63.2,1013.1
หนองจอก,2023-01-21,43.4,0.3,69.0,26.2,59.5,1012.0
หนองจอก,2023-01-22,56.6,0.3,75.7,25.8,59.4,1010.7
หนองจอก,2023-01-23,60.7,0.3,38.9,27.4,58.0,1009.6
หนองจอก,2023-01-24,52.3,0.4,76.4,27.4,60.0,1010.5
หนองจอก,2023-01-25,29.0,0.4,95.1,24.3,56.0,1012.7
หนองจอก,2023-01-26,57.3,0.3,60.1,25.1,59.5,1011.4
หนองจอก,2023-01-27,64.1,0.3,100.8,26.1,61.6,1010.9
หนองจอก,2023-01-28,24.9,0.3,102.3,24.4,59.4,1011.9
หนองจอก,2023-01-29,31.4,0.3,70.5,22.9,57.5,1013.4
หนองจอก,2023-01-30,49.7,0.3,118.2,22.4,57.8,1014.4
หนองจอก,2023-01-31,70.6,0.2,184.2,24.4,53.4,1011.7
หนองจอก,2023-02-01,96.8,0.2,165.2,26.2,60.0,1009.8
หนองจอก,2023-02-02,108.0,0.2,167.4,28.1,61.9,1009.5
หนองจอก,2023-02-03,60.4,0.4,177.8,28.7,70.6,1010.0
หนองจอก,2023-02-04,48.9,0.4,181.4,28.5,78.9,1009.4
หนองจอก,2023-02-05,36.0,0.3,178.2,28.2,78.2,1009.4
หนองจอก,2023-02-06,32.0,0.6,199.1,28.6,80.2,1009.3
หนองจอก,2023-02-07,30.3,0.6,183.5,28.4,78.3,1009.6
หนองจอก,2023-02-08,30.5,0.5,168.3,29.0,76.4,1009.4
หนองจอก,2023-02-09,29.8,0.5,175.2,28.7,79.3,1009.5
หนองจอก,2023-02-10,29.4,0.5,190.7,28.7,79.0,1010.0
หนองจอก,2023-02-11,25.6,0.6,185.1,29.0,74.6,1010.0
หนองจอก,2023-02-12,28.8,0.6,177.4,29.1,75.6,1010.2
หนองจอก,2023-02-13,32.6,0.6,188.3,28.9,76.9,1010.1
หนองจอก,2023-02-14,34.6,0.5,178.3,29.4,76.4,1009.7
หนองจอก,2023-02-15,46.5,0.3,165.8,25.4,96.3,1011.2
หนองจอก,2023-02-16,33.5,0.3,126.4,26.1,81.2,1013.2
