district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
หนองแขม,2023-01-01,45.5,1.3,301.3,24.3,67.2,1016.0
หนองแขม,2023-01-02,40.5,1.2,298.9,25.0,63.8,1016.2
หนองแขม,2023-01-03,34.8,1.4,296.9,26.6,64.2,1015.7
หนองแขม,2023-01-04,36.0,1.4,298.5,26.9,63.3,1015.0
หนองแขม,2023-01-05,40.2,1.4,298.4,26.7,67.3,1014.6
หนองแขม,2023-01-06,32.5,1.1,284.7,26.5,62.9,1015.0
หนองแขม,2023-01-07,27.9,0.8,228.6,26.0,52.7,1014.7
หนองแขม,2023-01-08,49.5,1.3,308.8,26.4,58.0,1013.7
หนองแขม,2023-01-09,57.7,1.3,304.0,27.5,60.8,1013.5
หนองแขม,2023-01-10,49.2,0.7,224.0,27.5,70.7,1012.2
หนองแขม,2023-01-11,27.6,0.7,62.2,26.6,77.5,1011.5
หนองแขม,2023-01-12,38.5,0.5,131.9,27.0,81.8,1010.9
หนองแขม,2023-01-13,29.1,0.6,132.4,27.8,83.5,1011.5
หนองแขม,2023-01-14,32.0,0.6,108.2,28.2,82.3,1009.8
หนองแขม,2023-01-15,40.2,0.8,182.2,27.7,73.2,1009.2
หนองแขม,2023-01-16,42.9,0.5,88.7,27.6,73.3,1011.1
หนองแขม,2023-01-17,50.3,0.5,143.0,27.3,74.3,1012.6
หนองแขม,2023-01-18,49.3,0.8,87.2,27.6,62.9,1014.4
หนองแขม,2023-01-19,44.7,0.9,277.8,26.5,60.2,1014.1
หนองแขม,2023-01-20,47.6,1.1,295.0,26.2,62.2,1013.8
หนองแขม,2023-01-21,51.0,1.2,277.9,26.4,60.7,1012.7
หนองแขม,2023-01-22,67.1,1.1,290.1,26.5,58.6,1011.3
หนองแขม,2023-01-23,72.0,1.0,307.1,27.5,54.7,1010.2
หนองแขม,2023-01-24,77.0,1.1,223.0,28.0,56.3,1011.2
หนองแขม,2023-01-25,35.8,1.5,254.8,24.5,56.0,1013.3
หนองแขม,2023-01-26,73.4,1.0,306.5,25.6,56.9,1012.1
หนองแขม,2023-01-27,74.4,1.0,280.8,27.1,56.0,1011.5
หนองแขม,2023-01-28,36.4,1.3,272.5,24.8,58.9,1012.7
หนองแขม,2023-01-29,34.9,1.5,284.3,23.5,53.6,1014.1
หนองแขม,2023-01-30,47.6,1.6,290.4,21.8,52.8,1015.2
หนองแขม,2023-01-31,88.7,0.8,302.8,24.6,48.1,1012.4
หนองแขม,2023-02-01,100.8,0.5,185.9,26.5,55.1,1010.5
หนองแขม,2023-02-02,111.4,0.6,196.2,28.4,63.1,1010.0
หนองแขม,2023-02-03,42.0,0.7,118.6,28.5,74.5,1010.7
หนองแขม,2023-02-04,28.0,0.7,112.5,28.3,83.4,1010.1
หนองแขม,2023-02-05,28.5,0.6,135.1,28.5,78.8,1010.0
หนองแขม,2023-02-06,21.0,0.8,111.4,28.4,81.4,1009.9
หนองแขม,2023-02-07,20.2,0.9,121.8,28.0,82.7,1010.4
หนองแขม,2023-02-08,18.6,0.8,115.5,28.4,81.6,1010.0
หนองแขม,2023-02-09,16.4,1.1,126.6,28.6,81.8,1010.2
หนองแขม,2023-02-10,15.2,0.8,117.6,28.6,78.5,1010.7
หนองแขม,2023-02-11,15.0,1.0,127.3,28.8,76.5,1010.5
หนองแขม,2023-02-12,16.6,1.0,124.6,28.6,80.8,1010.8
หนองแขม,2023-02-13,19.0,1.0,125.1,28.5,84.5,1010.7
หนองแขม,2023-02-14,23.0,0.8,120.0,29.0,82.3,1010.2
หนองแขม,2023-02-15,37.0,0.5,135.9,25.3,95.6,1012.2
หนองแขม,2023-02-16,41.2,0.8,260.6,26.0,82.8,1013.9
หนองแขม,2023-02-17,47.5,1.3,259.6,26.6,70.4,1013.9
หนองแขม,2023-02-18,57.9,1.1,301.1,27.4,64.1,1013.0
หนองแขม,2023-02-19,62.5,1.0,287.8,28.7,58.4,1011.7
หนองแขม,2023-02-20,51.7,0.9,186.7,29.0,59.4,1011.9
หนองแขม,2023-02-21,51.8,0.8,211.2,28.8,59.1,1013.1
หนองแขม,2023-02-22,60.2,0.7,227.9,29.2,57.2,1013.0
หนองแขม,2023-02-23,69.1,0.6,195.8,29.0,58.8,1012.2
หนองแขม,2023-02-24,81.2,0.8,208.2,30.0,54.2,1011.6
หนองแขม,2023-02-25,57.0,1.2,137.8,28.5,50.8,1014.9
หนองแขม,2023-02-26,44.1,1.2,269.4,26.3,53.9,1018.1
หนองแขม,2023-02-27,50.5,1.4,307.2,25.2,56.8,1017.6
หนองแขม,2023-02-28,69.2,1.2,304.0,26.7,55.7,1016.2
หนองแขม,2023-03-01,74.5,0.9,312.4,29.0,54.6,1014.7
หนองแขม,2023-03-02,85.9,0.8,273.0,30.1,53.9,1014.3
หนองแขม,2023-03-03,58.4,0.7,230.8,29.4,49.8,1015.8
หนองแขม,2023-03-04,75.5,0.9,181.0,28.4,55.8,1016.6
หนองแขม,2023-03-05,68.9,0.8,235.2,28.1,57.1,1016.1
หนองแขม,2023-03-06,87.5,0.7,215.6,28.6,61.0,1014.8
หนองแขม,2023-03-07,105.4,0.5,147.9,29.0,61.0,1014.0
หนองแขม,2023-03-08,92.4,0.5,94.6,29.2,68.6,1013.6
หนองแขม,2023-03-09,63.5,0.7,111.9,29.1,78.4,1012.4
