district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
หลักสี่,2023-01-01,36.6,24.6,243.0,0.0,60.2,1016.2
หลักสี่,2023-01-02,35.2,25.1,171.2,0.0,59.8,1016.4
หลักสี่,2023-01-03,33.1,26.7,256.3,0.0,59.3,1015.9
หลักสี่,2023-01-04,25.8,27.1,166.3,0.0,57.5,1015.3
หลักสี่,2023-01-05,28.3,27.0,223.7,0.0,59.6,1014.8
หลักสี่,2023-01-06,22.5,26.6,266.8,0.0,59.5,1015.4
หลักสี่,2023-01-07,23.1,25.6,294.9,0.0,53.5,1015.0
หลักสี่,2023-01-08,42.7,26.5,231.7,0.0,53.7,1013.9
หลักสี่,2023-01-09,49.6,27.6,146.5,0.0,57.6,1013.7
หลักสี่,2023-01-10,41.7,27.9,184.0,0.0,65.7,1012.6
หลักสี่,2023-01-11,20.3,26.0,300.6,0.0,76.8,1011.9
หลักสี่,2023-01-12,29.2,27.3,279.6,0.0,74.7,1011.1
หลักสี่,2023-01-13,40.8,28.4,178.3,0.0,74.8,1011.8
หลักสี่,2023-01-14,26.6,28.7,127.2,0.0,70.3,1010.2
หลักสี่,2023-01-15,31.9,28.3,152.7,0.0,67.8,1009.5
หลักสี่,2023-01-16,37.2,28.2,230.8,0.0,63.9,1011.3
หลักสี่,2023-01-17,38.2,27.9,291.9,0.0,65.7,1012.8
หลักสี่,2023-01-18,35.8,27.5,280.0,0.0,60.0,1014.8
หลักสี่,2023-01-19,30.5,26.6,297.6,0.0,58.0,1014.5
หลักสี่,2023-01-20,38.5,26.5,227.8,0.0,56.9,1014.0
หลักสี่,2023-01-21,38.9,26.7,195.5,0.0,53.9,1013.0
หลักสี่,2023-01-22,48.5,26.8,153.3,0.0,52.7,1011.7
หลักสี่,2023-01-23,61.8,27.8,160.2,0.0,52.7,1010.6
หลักสี่,2023-01-24,59.7,27.8,238.6,0.0,56.3,1011.5
หลักสี่,2023-01-25,28.9,24.5,234.7,0.0,55.2,1013.6
หลักสี่,2023-01-26,52.6,25.8,142.0,0.0,54.5,1012.4
หลักสี่,2023-01-27,59.2,27.0,230.8,0.0,54.5,1011.8
หลักสี่,2023-01-28,30.4,25.0,262.4,0.0,57.5,1012.8
หลักสี่,2023-01-29,33.6,23.7,277.1,0.0,53.2,1014.3
หลักสี่,2023-01-30,40.7,22.4,190.2,0.0,49.3,1015.4
หลักสี่,2023-01-31,69.7,24.5,97.7,0.0,48.3,1012.6
หลักสี่,2023-02-01,88.4,27.1,133.3,0.0,50.2,1010.7
หลักสี่,2023-02-02,99.9,28.9,197.4,0.0,52.2,1010.3
หลักสี่,2023-02-03,59.2,29.6,156.5,0.0,64.2,1010.9
หลักสี่,2023-02-04,38.1,28.9,198.1,0.0,73.5,1010.3
หลักสี่,2023-02-05,35.5,28.4,171.8,0.0,71.7,1010.3
หลักสี่,2023-02-06,23.5,28.8,179.2,0.0,74.4,1010.2
หลักสี่,2023-02-07,25.6,29.1,158.2,0.0,70.7,1010.4
หลักสี่,2023-02-08,24.3,29.7,161.8,0.0,69.0,1010.2
หลักสี่,2023-02-09,24.6,29.4,161.8,0.0,72.4,1010.4
หลักสี่,2023-02-10,21.4,29.4,162.0,0.0,70.2,1010.9
หลักสี่,2023-02-11,19.8,29.8,144.6,0.0,67.0,1010.9
หลักสี่,2023-02-12,21.0,29.8,154.4,0.0,70.1,1011.1
หลักสี่,2023-02-13,25.9,29.7,164.1,0.0,70.8,1011.0
หลักสี่,2023-02-14,31.1,30.3,167.8,0.0,69.4,1010.6
หลักสี่,2023-02-15,40.9,26.3,233.7,0.0,86.7,1012.3
หลักสี่,2023-02-16,38.9,26.6,222.7,0.0,74.6,1014.2
หลักสี่,2023-02-17,42.1,26.7,161.7,0.0,64.6,1014.3
หลักสี่,2023-02-18,50.5,27.4,157.7,0.0,58.8,1013.3
หลักสี่,2023-02-19,63.3,28.8,92.4,0.0,58.2,1012.1
หลักสี่,2023-02-20,51.5,28.8,230.7,0.0,57.9,1012.4
หลักสี่,2023-02-21,45.8,28.8,214.2,0.0,56.4,1013.4
หลักสี่,2023-02-22,56.8,28.9,230.3,0.0,55.5,1013.4
หลักสี่,2023-02-23,59.6,29.4,157.3,0.0,50.8,1012.5
หลักสี่,2023-02-24,71.2,29.9,244.1,0.0,51.4,1011.9
หลักสี่,2023-02-25,52.8,28.5,294.8,0.0,49.6,1015.2
หลักสี่,2023-02-26,39.0,26.5,278.2,0.0,52.6,1018.3
หลักสี่,2023-02-27,47.7,25.7,230.0,0.0,54.0,1018.0
หลักสี่,2023-02-28,60.7,27.0,120.1,0.0,52.6,1016.3
หลักสี่,2023-03-01,66.7,0.2,178.2,29.1,52.7,1015.0
หลักสี่,2023-03-02,64.5,0.2,148.5,30.6,50.3,1014.7
หลักสี่,2023-03-03,52.1,0.3,241.4,29.1,48.9,1016.2
หลักสี่,2023-03-04,68.5,0.4,266.3,28.3,53.6,1017.0
หลักสี่,2023-03-05,66.3,0.3,228.2,28.1,55.8,1016.4
หลักสี่,2023-03-06,70.5,0.3,189.2,28.6,55.4,1015.2
หลักสี่,2023-03-07,94.2,0.2,217.1,29.6,54.4,1014.3
หลักสี่,2023-03-08,84.5,0.2,197.9,30.6,59.2,1013.9
หลักสี่,2023-03-09,67.0,0.2,202.6,30.3,66.5,1012.6
หลักสี่,2023-03-10,60.7,0.3,214.9,30.1,69.0,1012.2
หลักสี่,2023-03-11,54.1,0.3,162.4,29.8,72.4,1012.1
หลักสี่,2023-03-12,45.7,0.2,156.8,29.9,72.1,1012.1
หลักสี่,2023-03-13,48.1,0.4,263.3,28.1,70.1,1013.1
หลักสี่,2023-03-14,53.0,0.3,258.9,28.6,59.5,1011.6
หลักสี่,2023-03-15,61.3,0.3,206.3,29.5,64.3,1011.2
หลักสี่,2023-03-16,38.5,0.3,164.1,29.8,69.4,1012.3
หลักสี่,2023-03-17,31.6,0.3,162.4,29.9,68.5,1012.1
หลักสี่,2023-03-18,33.1,0.4,170.9,30.1,69.1,1010.9
หลักสี่,2023-03-19,31.1,0.4,161.3,30.0,70.3,1010.2
หลักสี่,2023-03-20,32.2,0.4,161.5,30.6,69.8,1009.5
หลักสี่,2023-03-21,33.0,0.4,158.6,30.6,70.8,1009.4
หลักสี่,2023-03-22,33.0,0.4,164.1,31.0,70.2,1008.0
หลักสี่,2023-03-23,27.3,0.4,164.0,31.1,69.1,1008.1
หลักสี่,2023-03-24,29.8,0.4,161.2,31.3,70.3,1008.5
หลักสี่,2023-03-25,27.4,0.4,157.3,31.2,70.7,1009.1
หลักสี่,2023-03-26,24.5,0.4,156.6,31.4,69.3,1008.6
หลักสี่,2023-03-27,27.6,0.4,161.2,31.3,69.5,1008.8
หลักสี่,2023-03-28,21.1,0.5,156.3,30.8,69.3,1010.4
หลักสี่,2023-03-29,17.0,0.4,154.7,31.2,63.2,1011.1
หลักสี่,2023-03-30,29.4,0.4,220.0,30.2,71.7,1009.4
หลักสี่,2023-03-31,24.6,0.5,153.7,31.3,69.6,1009.0
หลักสี่,2023-04-01,27.4,0.6,143.2,31.2,68.9,1009.0
หลักสี่,2023-04-02,30.5,0.5,155.4,30.4,72.3,1008.7
หลักสี่,2023-04-03,39.8,0.5,155.0,32.0,60.3,1008.1
หลักสี่,2023-04-04,48.0,0.5,158.6,32.3,60.6,1007.6
หลักสี่,2023-04-05,53.5,0.4,167.1,32.3,55.2,1007.9
หลักสี่,2023-04-06,51.2,0.4,147.4,32.7,62.7,1008.5
หลักสี่,2023-04-07,38.3,0.4,142.7,30.8,69.1,1010.3
หลักสี่,2023-04-08,26.1,0.6,134.1,31.6,66.8,1012.1
หลักสี่,2023-04-09,33.3,0.6,171.0,31.6,67.0,1012.2
หลักสี่,2023-04-10,23.7,0.7,137.0,32.0,68.4,1010.5
หลักสี่,2023-04-11,39.3,0.8,132.3,32.4,67.9,1009.4
หลักสี่,2023-04-12,45.6,0.9,130.8,32.0,71.6,1008.4
หลักสี่,2023-04-13,48.9,0.7,132.6,32.6,66.7,1008.2
หลักสี่,2023-04-14,53.9,0.7,135.6,32.6,65.5,1008.0
หลักสี่,2023-04-15,62.1,0.7,134.6,32.4,69.2,1007.3
หลักสี่,2023-04-16,62.6,0.7,125.8,30.7,74.5,1008.0
หลักสี่,2023-04-17,53.7,0.6,130.9,32.0,64.9,1008.8
หลักสี่,2023-04-18,51.2,0.8,132.5,32.2,67.7,1009.1
หลักสี่,2023-04-19,51.7,0.7,150.3,32.6,67.6,1006.5
หลักสี่,2023-04-20,48.1,0.8,167.0,33.1,59.2,1004.9
หลักสี่,2023-04-21,56.7,0.6,168.1,33.3,58.0,1005.2
หลักสี่,2023-04-22,56.2,0.7,146.5,33.3,61.0,1005.9
หลักสี่,2023-04-23,37.3,0.9,130.1,32.8,64.8,1008.0
หลักสี่,2023-04-24,27.5,0.5,169.2,32.5,65.5,1010.1
หลักสี่,2023-04-25,26.0,0.5,168.6,31.6,67.2,1008.4
หลักสี่,2023-04-26,23.9,0.4,189.7,27.5,81.1,1009.6
หลักสี่,2023-04-27,44.0,0.2,165.1,29.4,78.9,1009.7
หลักสี่,2023-04-28,31.1,0.5,171.8,30.7,72.9,1009.4
หลักสี่,2023-04-29,31.0,0.6,162.1,32.2,68.4,1008.3
หลักสี่,2023-04-30,21.2,0.5,173.3,28.3,80.5,1008.9
หลักสี่,2023-05-01,29.7,0.3,187.5,30.5,70.6,1009.3
หลักสี่,2023-05-02,29.7,0.4,214.7,30.3,75.7,1009.7
หลักสี่,2023-05-03,22.0,0.5,159.2,32.0,68.4,1010.4
หลักสี่,2023-05-04,16.4,0.6,134.1,32.5,66.8,1008.5
หลักสี่,2023-05-05,18.8,0.6,148.9,33.6,63.0,1005.8
หลักสี่,2023-05-06,22.2,0.5,161.7,34.4,57.9,1004.3
หลักสี่,2023-05-07,20.0,0.6,164.1,34.7,56.8,1004.2
หลักสี่,2023-05-08,20.5,0.5,163.0,33.0,65.8,1005.4
หลักสี่,2023-05-09,21.5,0.5,206.5,31.5,68.6,1007.6
หลักสี่,2023-05-10,17.9,0.3,240.3,29.7,72.3,1009.2
หลักสี่,2023-05-11,23.3,0.4,190.7,30.2,74.9,1009.8
หลักสี่,2023-05-12,16.3,0.5,141.4,31.8,67.0,1009.6
หลักสี่,2023-05-13,17.1,0.5,215.6,30.0,75.8,1009.8
หลักสี่,2023-05-14,16.8,0.6,131.9,31.4,66.5,1009.5
หลักสี่,2023-05-15,26.8,0.4,168.3,31.8,66.4,1010.1
