district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
ห้วยขวาง,2023-01-01,26.0,0.7,42.2,25.0,56.9,1015.3
ห้วยขวาง,2023-01-02,26.2,0.6,69.1,25.3,57.8,1015.5
ห้วยขวาง,2023-01-03,26.6,0.6,65.0,26.9,58.1,1015.0
ห้วยขวาง,2023-01-04,20.3,0.4,87.2,27.7,54.6,1014.4
ห้วยขวาง,2023-01-05,21.1,0.6,63.6,27.6,56.8,1013.9
ห้วยขวาง,2023-01-06,16.9,1.3,57.4,26.8,57.2,1014.5
ห้วยขวาง,2023-01-07,18.5,1.0,80.0,25.8,51.9,1014.1
ห้วยขวาง,2023-01-08,35.7,0.5,60.5,26.8,51.2,1013.0
ห้วยขวาง,2023-01-09,41.5,0.5,61.7,28.1,53.9,1012.8
ห้วยขวาง,2023-01-10,34.9,0.8,120.3,27.9,62.9,1011.7
ห้วยขวาง,2023-01-11,15.6,1.4,163.8,25.9,75.1,1011.0
ห้วยขวาง,2023-01-12,25.3,0.5,161.1,27.1,73.8,1010.2
ห้วยขวาง,2023-01-13,28.0,0.6,201.2,28.0,75.2,1010.9
ห้วยขวาง,2023-01-14,18.5,0.6,203.9,28.5,72.3,1009.3
ห้วยขวาง,2023-01-15,22.1,0.6,218.7,28.5,64.4,1008.6
ห้วยขวาง,2023-01-16,23.1,0.6,206.0,28.3,66.4,1010.4
ห้วยขวาง,2023-01-17,31.2,0.8,117.7,28.0,63.2,1011.9
ห้วยขวาง,2023-01-18,25.4,1.5,111.2,27.5,57.4,1013.9
ห้วยขวาง,2023-01-19,22.2,0.8,22.5,26.8,54.6,1013.6
ห้วยขวาง,2023-01-20,26.9,0.7,41.5,26.7,54.3,1013.2
ห้วยขวาง,2023-01-21,29.6,0.5,74.3,27.4,49.6,1012.1
ห้วยขวาง,2023-01-22,35.9,0.5,69.9,27.0,48.4,1010.8
ห้วยขวาง,2023-01-23,47.1,0.4,82.9,28.2,49.2,1009.7
ห้วยขวาง,2023-01-24,45.0,1.4,88.9,28.2,51.9,1010.6
ห้วยขวาง,2023-01-25,21.9,1.3,40.2,24.8,51.7,1012.7
ห้วยขวาง,2023-01-26,38.5,0.5,105.7,26.3,49.7,1011.5
ห้วยขวาง,2023-01-27,44.8,0.9,50.7,27.3,51.2,1010.9
ห้วยขวาง,2023-01-28,21.7,1.5,15.4,25.2,54.9,1012.0
ห้วยขวาง,2023-01-29,27.1,1.5,29.2,24.0,51.1,1013.4
ห้วยขวาง,2023-01-30,35.0,0.6,95.6,23.1,46.7,1014.5
ห้วยขวาง,2023-01-31,56.7,0.4,174.9,25.2,44.9,1011.7
ห้วยขวาง,2023-02-01,70.0,0.3,157.8,27.2,47.6,1009.8
ห้วยขวาง,2023-02-02,77.1,0.4,171.4,29.0,52.4,1009.5
ห้วยขวาง,2023-02-03,37.8,0.6,231.5,28.9,67.1,1010.0
ห้วยขวาง,2023-02-04,24.2,0.8,233.5,28.7,73.8,1009.5
ห้วยขวาง,2023-02-05,19.8,0.5,202.6,27.9,72.6,1009.5
ห้วยขวาง,2023-02-06,18.3,0.8,221.5,28.7,74.1,1009.4
ห้วยขวาง,2023-02-07,16.2,1.0,231.4,28.5,72.5,1009.6
ห้วยขวาง,2023-02-08,16.1,0.9,223.9,29.0,71.5,1009.4
ห้วยขวาง,2023-02-09,17.5,1.2,234.4,28.7,74.4,1009.6
ห้วยขวาง,2023-02-10,13.2,1.0,224.9,28.8,71.5,1010.1
ห้วยขวาง,2023-02-11,13.6,1.1,235.0,29.1,68.8,1010.1
ห้วยขวาง,2023-02-12,14.9,1.0,230.7,29.0,72.6,1010.3
ห้วยขวาง,2023-02-13,17.4,1.0,231.3,28.9,74.0,1010.2
ห้วยขวาง,2023-02-14,21.1,0.8,231.9,29.6,72.3,1009.8
ห้วยขวาง,2023-02-15,39.1,0.7,205.1,25.7,88.0,1011.4
ห้วยขวาง,2023-02-16,25.8,1.1,95.5,25.9,75.5,1013.3
ห้วยขวาง,2023-02-17,33.3,0.8,81.4,27.0,62.0,1013.3
ห้วยขวาง,2023-02-18,42.6,0.5,88.8,27.9,55.3,1012.4
ห้วยขวาง,2023-02-19,50.1,0.4,134.2,29.2,53.5,1011.2
ห้วยขวาง,2023-02-20,36.4,1.0,164.2,28.8,55.6,1011.4
ห้วยขวาง,2023-02-21,34.1,0.8,94.5,28.5,54.6,1012.5
ห้วยขวาง,2023-02-22,43.0,0.9,97.3,28.8,53.4,1012.4
ห้วยขวาง,2023-02-23,44.8,0.4,97.7,29.4,48.6,1011.6
ห้วยขวาง,2023-02-24,54.4,0.8,63.1,29.8,48.8,1011.0
ห้วยขวาง,2023-02-25,39.7,1.8,109.3,28.4,47.9,1014.3
ห้วยขวาง,2023-02-26,29.8,1.6,36.9,26.4,51.1,1017.4
ห้วยขวาง,2023-02-27,38.1,1.2,47.5,25.9,52.1,1017.1
ห้วยขวาง,2023-02-28,53.3,0.6,94.9,27.4,49.7,1015.4
ห้วยขวาง,2023-03-01,50.4,0.6,80.6,29.3,49.1,1014.1
ห้วยขวาง,2023-03-02,45.5,0.9,42.3,30.4,47.4,1013.8
ห้วยขวาง,2023-03-03,36.7,0.9,85.1,29.1,45.4,1015.3
ห้วยขวาง,2023-03-04,53.5,1.0,95.4,28.2,51.2,1016.1
ห้วยขวาง,2023-03-05,51.2,0.9,106.9,28.1,53.4,1015.5
ห้วยขวาง,2023-03-06,55.6,0.8,89.5,28.6,53.5,1014.3
ห้วยขวาง,2023-03-07,74.4,0.5,108.8,29.4,52.9,1013.4
ห้วยขวาง,2023-03-08,65.1,0.5,160.8,30.0,62.3,1013.0
ห้วยขวาง,2023-03-09,50.0,0.8,224.7,29.4,69.4,1011.8
ห้วยขวาง,2023-03-10,49.3,0.7,172.1,29.5,70.2,1011.4
ห้วยขวาง,2023-03-11,40.7,1.0,233.4,29.0,74.9,1011.3
ห้วยขวาง,2023-03-12,35.2,0.9,234.7,29.2,74.3,1011.3
ห้วยขวาง,2023-03-13,44.2,0.9,122.6,27.8,69.0,1012.1
ห้วยขวาง,2023-03-14,41.5,0.8,84.2,28.2,58.5,1010.7
ห้วยขวาง,2023-03-15,45.3,0.7,208.5,28.8,66.8,1010.4
ห้วยขวาง,2023-03-16,28.4,1.0,232.7,29.1,71.3,1011.5
ห้วยขวาง,2023-03-17,25.0,1.0,234.3,29.2,70.3,1011.3
ห้วยขวาง,2023-03-18,23.2,1.0,232.5,29.4,71.3,1010.1
ห้วยขวาง,2023-03-19,22.7,1.1,233.9,29.3,72.7,1009.4
ห้วยขวาง,2023-03-20,23.6,1.0,233.7,29.8,72.5,1008.8
ห้วยขวาง,2023-03-21,23.4,1.1,232.7,29.7,73.5,1008.6
ห้วยขวาง,2023-03-22,23.8,1.1,232.3,30.0,74.1,1007.2
ห้วยขวาง,2023-03-23,17.6,1.1,234.4,30.1,72.7,1007.3
ห้วยขวาง,2023-03-24,19.7,1.0,233.3,30.3,74.1,1007.7
ห้วยขวาง,2023-03-25,20.1,1.0,230.9,30.2,74.1,1008.3
ห้วยขวาง,2023-03-26,17.5,1.0,233.1,30.3,73.1,1007.9
ห้วยขวาง,2023-03-27,18.8,1.0,231.1,30.3,73.1,1008.0
ห้วยขวาง,2023-03-28,14.1,1.2,234.5,30.0,71.7,1009.6
ห้วยขวาง,2023-03-29,12.1,0.9,254.5,30.5,65.2,1010.3
ห้วยขวาง,2023-03-30,17.8,0.9,208.4,29.8,73.4,1008.7
ห้วยขวาง,2023-03-31,17.0,1.1,232.2,30.5,72.2,1008.3
ห้วยขวาง,2023-04-01,19.7,1.1,229.6,30.5,71.4,1008.2
ห้วยขวาง,2023-04-02,22.4,1.1,231.3,30.4,72.2,1008.0
ห้วยขวาง,2023-04-03,31.1,0.9,228.6,31.4,61.5,1007.2
ห้วยขวาง,2023-04-04,41.4,0.9,234.2,31.5,64.3,1006.8
ห้วยขวาง,2023-04-05,44.4,0.8,230.1,31.6,57.7,1007.0
ห้วยขวาง,2023-04-06,39.9,0.8,232.3,31.8,65.9,1007.7
ห้วยขวาง,2023-04-07,25.8,0.7,245.9,29.9,71.9,1009.5
ห้วยขวาง,2023-04-08,18.7,0.8,224.1,30.9,69.1,1011.4
ห้วยขวาง,2023-04-09,21.0,0.8,260.2,31.0,70.0,1011.5
ห้วยขวาง,2023-04-10,16.4,0.9,222.8,31.1,71.0,1009.8
ห้วยขวาง,2023-04-11,30.3,0.9,228.3,31.6,69.9,1008.7
ห้วยขวาง,2023-04-12,34.5,1.0,230.0,31.2,74.4,1007.6
ห้วยขวาง,2023-04-13,38.4,0.8,236.1,31.9,68.8,1007.4
ห้วยขวาง,2023-04-14,46.0,0.8,228.6,31.8,68.4,1007.2
ห้วยขวาง,2023-04-15,53.8,0.8,219.9,31.7,71.4,1006.5
ห้วยขวาง,2023-04-16,53.5,0.7,221.8,29.9,77.0,1007.1
ห้วยขวาง,2023-04-17,47.1,0.6,192.1,31.4,66.9,1007.9
ห้วยขวาง,2023-04-18,42.4,1.0,230.1,31.4,70.2,1008.3
ห้วยขวาง,2023-04-19,45.3,1.0,229.3,31.9,70.1,1005.7
ห้วยขวาง,2023-04-20,41.9,1.1,231.3,32.5,61.6,1004.1
ห้วยขวาง,2023-04-21,52.4,1.0,231.7,32.6,60.4,1004.3
ห้วยขวาง,2023-04-22,48.7,0.9,229.2,32.7,63.5,1005.0
