id,name
83,คลองสาน
101,คลองสามวา
94,คลองเตย
77,คันนายาว
73,จตุจักร
102,จอมทอง
74,ดอนเมือง
56,ดินแดง
60,ดุสิต
86,ตลิ่งชัน
87,ทวีวัฒนา
91,ทุ่งครุ
82,ธนบุรี
85,บางกอกน้อย
84,บางกอกใหญ่
76,บางกะปิ
105,บางขุนเทียน
95,บางซื่อ
72,บางนา
90,บางบอน
103,บางพลัด
66,บางรัก
98,บางเขน
104,บางแค
100,บึงกุ่ม
65,ปทุมวัน
81,ประเวศ
61,ป้อมปราบศัตรูพ่าย
63,พญาไท
92,พระนคร
57,พระโขนง
88,ภาษีเจริญ
79,มีนบุรี
69,ยานนาวา
59,ราชเทวี
58,ราษฎร์บูรณะ
78,ลาดกระบัง
96,ลาดพร้าว
64,วังทองหลาง
70,วัฒนา
71,สวนหลวง
99,สะพานสูง
62,สัมพันธวงศ์
67,สาทร
75,สายไหม
80,หนองจอก
89,หนองแขม
97,หลักสี่
93,ห้วยขวาง
118,สวน 60 พรรษาสมเด็จพระนางเจ้าพระบรมราชินีนาถ ลาดกระบัง
130,สวนกีฬารามอินทรา บางเขน
116,สวนจตุจักร จตุจักร
127,สวนทวีวนารมย์ ทวีวัฒนา
121,สวนธนบุรีรมย์ ทุ่งครุ
126,สวนบางแคภิรมย์ บางแค
128,สวนพระนคร ลาดกระบัง
120,สวนรมณีย์ทุ่งสีกัน ดอนเมือง
114,สวนลุมพินี ปทุมวัน
115,สวนวชิรเบญจทัศ จตุจักร
123,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ จตุจักร
132,สวนสันติภาพ ราชเทวี
131,สวนสาธารณะเฉลิมพระเกียรติ 6 รอบพระชนมพรรษา บางคอแหลม
129,สวนหนองจอก หนองจอก
117,สวนหลวง ร.9 ประเวศ
133,สวนหลวงพระราม 8 บางพลัด
124,สวนเฉลิมพระเกียรติ 80 พรรษา บางกอกน้อย
122,สวนเบญจกิติ คลองเตย
125,สวนเสรีไทย บึงกุ่ม
119,อุทยานเบญจสิริ คลองเตย
134,ดินแดง (สถานี คพ.)
135,ดินแดง (สถานี คพ.)
143,ธนบุรี (สถานี คพ.)
144,ธนบุรี (สถานี คพ.)
142,บางกะปิ (สถานี คพ.)
145,บางขุนเทียน (สถานี คพ.)
112,บางคอแหลม เคลื่อนที่(3)
141,บางนา (สถานี คพ.)
139,ปทุมวัน (สถานี คพ.)
136,พญาไท (สถานี คพ.)
140,ยานนาวา (สถานี คพ.)
137,วังทองหลาง (สถานี คพ.)
138,วังทองหลาง (สถานี คพ.)
