id,name
83,คลองสาน
101,คลองสามวา
94,คลองเตย
77,คันนายาว
73,จตุจักร
102,จอมทอง
74,ดอนเมือง
56,ดินแดง
60,ดุสิต
86,ตลิ่งชัน
87,ทวีวัฒนา
91,ทุ่งครุ
82,ธนบุรี
85,บางกอกน้อย
84,บางกอกใหญ่
76,บางกะปิ
105,บางขุนเทียน
95,บางซื่อ
72,บางนา
90,บางบอน
103,บางพลัด
66,บางรัก
98,บางเขน
104,บางแค
100,บึงกุ่ม
65,ปทุมวัน
81,ประเวศ
61,ป้อมปราบศัตรูพ่าย
63,พญาไท
92,พระนคร
57,พระโขนง
88,ภาษีเจริญ
79,มีนบุรี
69,ยานนาวา
59,ราชเทวี
58,ราษฎร์บูรณะ
78,ลาดกระบัง
96,ลาดพร้าว
64,วังทองหลาง
70,วัฒนา
71,สวนหลวง
99,สะพานสูง
62,สัมพันธวงศ์
67,สาทร
75,สายไหม
80,หนองจอก
89,หนองแขม
97,หลักสี่
93,ห้วยขวาง
