district,total_crime_area
ประเวศ,15
คลองสามวา,19
ราษฎร์บูรณะ,21
มีนบุรี,28
คลองเตย,30
ดุสิต,32
บางเขน,32
ราชเทวี,32
ป้อมปราบศัตรูพ่าย,34
สัมพันธวงศ์,35
สาทร,37
บางกอกใหญ่,38
หลักสี่,39
ทวีวัฒนา,40
ลาดกระบัง,42
จอมทอง,44
ตลิ่งชัน,45
สวนหลวง,46
สะพานสูง,46
พระโขนง,48
ดินแดง,49
บึงกุ่ม,50
บางพลัด,52
บางบอน,54
ลาดพร้าว,54
สายไหม,54
ยานนาวา,56
คันนายาว,59
ธนบุรี,65
พญาไท,70
บางกะปิ,72
ปทุมวัน,77
บางนา,80
วัฒนา,84
พระนคร,85
ห้วยขวาง,89
บางแค,90
คลองสาน,94
หนองแขม,94
วังทองหลาง,100
บางซื่อ,107
บางขุนเทียน,113
ดอนเมือง,119
หนองจอก,121
บางกอกน้อย,122
จตุจักร,127
ทุ่งครุ,129
ภาษีเจริญ,132
บางรัก,151
บางคอแหลม,156
