Ranking,เขต,คะแนน,รวมทั้งหมด,พื้นที่สาธารณะและพื้นที่ส่วนบุคคล,พื้นที่สาธารณะ,พื้นที่ส่วนบุคคล,สถานที่ราชการ,วัด,รัฐวิสาหกิจ,elsewhere,สะพานลอย,ป้ายรถเมล์,สวนสาธารณะ,shelter,พื้นที่รกร้าง,อาคารการค้า,สถานบันเทิง,สะพาน,ถนน,สะพานและรถ,ทางเท้า,ซอย,หมู่บ้าน,สถานที่ท่องเที่ยว,สถาบันการศึกษา,รัฐบาล,ทางแยก,ท่าเรือ,ทางเดินริมน้ำ,ทางเท้าและซอย,สวนใต้สะพาน,สถานีรถไฟฟ้า,อุโมงค์ลอดใต้ถนน,ศูนย์กีฬา,สถานีขนส่ง,สถานที่ทางศาสนา,อื่นๆ,พื้นที่เปลี่ยวกลางคืน,พื้นที่เปลี่ยวกลางวัน,จุดบอด,พื้นที่ว่าง,พื้นที่สกปรก,อาคารเก่า,เสาไฟเสียหาย,กีดขวางการจราจร,คนไร้บ้าน,พื้นที่มั่วสุม,การทำร้ายร่างกาย,กรรโชกทรัพย์,อุบัติเหตุทางถนน,อุบัติเหตุบนทางเท้า,อุบัติเหตุจากไฟฟ้า,อุบัติเหตุจากป้าย,อุบัติเหตุจากต้นไม้,อุบัติเหตุอื่น ๆ,ก่อกวน/ยกพวกตีกัน/แข่งรถ,ประชาชนจำนวนมาก/พลุกพล่าน,ภัยอันตรายจากสัตว์มีพิษ,สถานที่สำคัญ,ความเสี่ยงอื่นๆ,แหล่งเฝ้าระวัง,พื้นที่ทำความสะอาด,พื้นที่ตัดต้นไม้,พื้นที่ปรับภูมิทัศน์,demolish
1,ประเวศ,50,15,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
2,คลองสามวา,49,19,3,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0
3,ราษฎร์บูรณะ,48,21,7,6,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,มีนบุรี,47,28,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0
5,คลองเตย,46,30,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ดุสิต,43,32,5,5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
6,บางเขน,43,32,8,5,3,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ราชเทวี,43,32,8,8,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ป้อมปราบศัตรูพ่าย,42,34,7,7,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
10,สัมพันธวงศ์,41,35,7,7,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
11,สาทร,40,37,7,6,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0
12,บางกอกใหญ่,39,38,5,3,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,1
13,หลักสี่,38,39,13,13,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,ทวีวัฒนา,37,40,4,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,0,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
