ROAD_NAME,DISTRICT,LENGTH
จันทน์ 18/7 (ซอยเซนต์หลุยส์ 3),สาทร,0.835
จันทน์ 43 (ซอยวัดไผ่เงิน),บางคอแหลม,1.6400000000000001
จันทน์ 43 (ซอยวัดไผ่เงิน),สาทร,1.1
ซอยอินทาปัจ 13,บางแค,1.16
ซอยแฉล้มนิมิตร,บางคอแหลม,0.8
ถนนพาณิชยการธนบุรี (จรัญสนิทวงศ์ 13),บางกอกใหญ่,0.93
"ถนนมหาดไทย (ลาดพร้าว 122, ซอยมหาดไทย 1)",วังทองหลาง,1.8
ท่าข้าม 7,บางขุนเทียน,0.3
บางบอน 3 ซอย 5 (ซอยบ้านนายเหรียญ),บางบอน,1.6
ประชาอุทิศ 90,ทุ่งครุ,0.82
พระรามที่ 2 ซอย 33,จอมทอง,2.265
พหลโยธิน 18,จตุจักร,0.43
พหลโยธิน 18/1 (ซอยร่วมศิริมิตร),จตุจักร,1.19
พหลโยธิน 30 (ซอยอาลาดิน),จตุจักร,0.51
พัฒนาการ 20 (ซอยสวนหลวง),สวนหลวง,1.45
ลาดพร้าว 71 (ซอยสังคมสงเคราะห์เหนือ 1),วังทองหลาง,0.95
ลาดพร้าว 8,จตุจักร,0.78
สาทร 11 (เซ็นต์หลุยส์ 3),สาทร,0.825
สาทร 13 (เซนต์หลุยส์ 2),สาทร,0.79
สุขสวัสดิ์ 13,ราษฎร์บูรณะ,0.477
สุขสวัสดิ์ 27,ราษฎร์บูรณะ,0.726
สุขุมวิท 101,พระโขนง,1.755
สุขุมวิท 101/1,พระโขนง,3.12
สุขุมวิท 21 (ซอยอโศก),ราชเทวี,0.095
สุขุมวิท 21 (ซอยอโศก),วัฒนา,1.29
สุขุมวิท 22 (ซอยสายน้ำทิพย์),คลองเตย,1.5
สุขุมวิท 26 (ซอยอารีย์),คลองเตย,1.36
สุขุมวิท 3 (ซอยนานาเหนือ),ราชเทวี,0.19
สุขุมวิท 3 (ซอยนานาเหนือ),วัฒนา,1.54
สุขุมวิท 39 (ซอยพร้อมพงษ์),วัฒนา,1.755
สุขุมวิท 39 (ซอยพร้อมพงษ์),ห้วยขวาง,0.12
สุขุมวิท 40 (บ้านกล้วยใต้),คลองเตย,1.16
สุขุมวิท 42 (ซอยกล้วยน้ำไท),คลองเตย,1.097
สุขุมวิท 49 (ซอยกลาง),วัฒนา,2.084
สุขุมวิท 50 (ซอยเกษมสุวรรณ),คลองเตย,1.317
สุขุมวิท 55 (ทองหล่อ),วัฒนา,2.248
สุขุมวิท 55 (ทองหล่อ),ห้วยขวาง,0.118
อ่อนนุช 17 (ซอยสวนหลวง),สวนหลวง,3.0
เจริญกรุง 107 (ซอยประดู่ 1),บางคอแหลม,3.25
เพชรบุรี 31 (ซอยจารุรัตน์),ราชเทวี,0.369
เพชรเกษม 48,ภาษีเจริญ,3.432
เพชรเกษม 63 (ซอยวัดม่วง),บางแค,0.645
เพชรเกษม 63 (ซอยวัดม่วง),ภาษีเจริญ,0.645
เพชรเกษม 77,หนองแขม,0.453
