ROAD_NO,ROAD_TYPE,ROAD_NAME,SECTION_START,SECTION_END,WIDTH,LENGTH,ANNOUNCE_DATE,DISTRICT,DEPARTMENT,ROAD_OWNER
1,ถนน,ถนนกรุงเกษม,ถนนสามเสน,ถนนประชาธิปไตย,21.00,0.483,1984-05-22,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
1,ถนน,ถนนกรุงเกษม,ถนนประชาธิปไตย,ถนนราชดำเนินนอก,21.00,0.431,1984-05-22,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
1,ถนน,ถนนกรุงเกษม,ถนนราชดำเนินนอก,ถนนนครสวรรค์,21.00,0.499,1984-05-22,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
1,ถนน,ถนนกรุงเกษม,ถนนนครสวรรค์,ถนนหลานหลวง,20.50,0.54,1984-05-22,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
1,ถนน,ถนนกรุงเกษม,ถนนหลานหลวง,ถนบำรุงเมือง,17.00,0.86,1984-05-22,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
1,ถนน,ถนนกรุงเกษม,ถนบำรุงเมือง,ถนนหลวง,20.50,0.379,1984-05-22,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
1,ถนน,ถนนกรุงเกษม,ถนนหลวง,ถนนสันติภาพ,19.50,0.404,1984-05-22,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
1,ถนน,ถนนกรุงเกษม,ถนนสันติภาพ,ถ.พระรามที่ 4,21.50,0.42,1984-05-22,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
2,ถนน,ถนนกรุงเทพ-นนทบุรี,ถนนประชาราษฎร์สาย 2,สุดเขตกรุงเทพมหานคร,25.00,3.617,1983-12-22,บางซื่อ,สำนักการโยธา,กรุงเทพมหานคร
3,ถนน,ถนนกรุงธนบุรี,ถนนเจริญนคร,สุดเขต (คลองบางไส้ไก่),27.00-80.00,2.43,2004-02-05,คลองสาน,สำนักการโยธา,กรุงเทพมหานคร
4,ถนน,ถนนกัลยาณไมตรี,ถนนราชินี,ถนนสนามไชย,15.80-17.00,0.22,2018-09-12,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
4,ถนน,ถนนกัลยาณไมตรี,ถนนสนามไชย (ถนนราชดำเเนินใน),ถนนราชินี,16.40,0.239,1985-10-31,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
5,ถนน,ถนนเกษมราษฎร์,ถนนพระรามที่ 4,การท่าเรือแห่งประเทศไทย,30.80-34.70,1.238,1994-04-15,คลองเตย,สำนักการโยธา,กรุงเทพมหานคร
6,ถนน,ถนนแก้วเงินทอง,ถนนฉิมพลี,คลองบางพรม,16.00,2.1,1986-06-09,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
6,ถนน,ถนนแก้วเงินทอง,คลองชักพระ,คลองบางพรม,14.00,1.12,1986-06-09,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
7,ถนน,ถนนไกรสีห์,ถนนสิบสามห้าง,ถนนจักรพงษ์,17.00,0.194,1985-07-26,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
8,ถนน,ถนนขาว,ถนนราชวิถี,ถนนสุโขทัย,12.20-13.70,0.35,2001-06-13,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
9,ถนน,ถนนข้าวหลาม,ถนนเจริญกรุง,สุดพื้นที่เขต (คลองผดุงกรุงเกษม),14.90-29.10,0.245,2011-05-19,สัมพันธวงศ์,สำนักการโยธา,กรุงเทพมหานคร
10,ถนน,ถนนเขียวไข่กา,ถนนสามเสน,แม่น้ำเจ้าพระยา,16.00,0.35,1983-10-11,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
11,ถนน,ถนนครุใน,ถนนประชาอุทิศ,สุดเขตพื้นที่ (คลองรางใหญ่),18.75-20.00,0.68,2004-12-03,ทุ่งครุ,สำนักการโยธา,กรุงเทพมหานคร
12,ถนน,ถนนคลองเก้า,ถนนคู้ - คลองสิบ,สุดเขตกรุงเทพมหานคร,30.00,5.75,1993-06-30,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
13,ถนน,ถนนคลองสิบ-คลองสิบสี่,ถนนคู้-คลองสิบ,ถนนประชาสำราญ,30.00,5.7,1985-08-16,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
14,ถนน,ถนนคลองหนองใหญ่,ถนนสุขาภิบาล 1,ถนนกาญจนาภิเษก,11.10-12.30,1.88,2003-08-15,บางแค,สำนักการโยธา,กรุงเทพมหานคร
15,ถนน,ถนนคอนแวนต์,ถนนสีลม,ถนนสาทรเหนือ,15.00-18.85,0.546,2010-02-03,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
16,ถนน,ถนนคุ้มเกล้า,ถนนคู่ขนานมอเตอร์เวย์ กรุงเทพ-ชลบุรี,สุดเขตพื้นที่ (คลองตาเสือ),27.30-30.00,6.6,2004-04-09,ลาดกระบัง,สำนักการโยธา,กรุงเทพมหานคร
17,ถนน,ถนนคู้-คลองสิบ,ถนนมิตรไมตรี,คลองยายแขม,30.00,1.45,1985-07-18,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
17,ถนน,ถนนคู้-คลองสิบ,คลองยายแขม,คลองสนามกลางลำ,30.00,2.36,1985-07-18,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
17,ถนน,ถนนคู้-คลองสิบ,คลองสนามกลางลำ,สุดระยะถนนลูกรัง,30.00,1.5,1985-07-18,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
17,ถนน,ถนนคู้-คลองสิบ,สุดระยะถนนลูกรัง,สุดเขตกรุงเทพมหานคร,30.00,1.944,1985-07-18,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
18,ถนน,ถนนคู้บอน,ถนนรามอินทรา,คลองคู้บอน,24.00,1.915,1993-05-20,คันนายาว,สำนักการโยธา,กรุงเทพมหานคร
18,ถนน,ถนนคู้บอน,ถนนพระยาสุเรนทร์,วัดคู้บอน,30.00,2.5,1985-09-12,คลองสามวา,สำนักการโยธา,กรุงเทพมหานคร
19,ถนน,ถนนจตุโชติ,ถนนสุขาภิบาล 5 (รัตนโกสินทร์),ถนนจตุโชติ (ช่วง 2),8.00-20.00,2.75,2005-10-07,สายไหม,สำนักการโยธา,กรุงเทพมหานคร
19,ถนน,ถนนจตุโชติ,ถนนคู่ขนานวงแหวนรอบนอกด้านตะวันออก,คลองพระยาสุเรนทร์ (สุดพื้นที่เขต),20.00,2.7,2005-10-07,สายไหม,สำนักการโยธา,กรุงเทพมหานคร
20,ถนน,ถนนจรัญสนิทวงศ์,ถนนเพชรเกษม,จรัญสนิทวงศ์ 21 (สะพานคลองมอญ),28.00,1.77,1984-10-05,บางกอกใหญ่,สำนักการโยธา,กรุงเทพมหานคร
20,ถนน,ถนนจรัญสนิทวงศ์,ถนนเพชรเกษม (คลองมอญ),จรัญสนิทวงศ์ 59 (ถ.สมเด็จพระปิ่นเกล้า),28.00-30.50,6.664,1984-10-05,บางกอกน้อย,สำนักการโยธา,กรุงเทพมหานคร
20,ถนน,ถนนจรัญสนิทวงศ์,ถนนบรมราชชนนี,คลองละมุด (สุดพื้นที่เขต),30.90-38.00,5.4,2010-06-14,บางพลัด,สำนักการโยธา,กรุงเทพมหานคร
21,ถนน,ถนนจรัสเมือง,ถนนรองเมือง,ถนนพระรามที่ 6,20.70-25.80,0.235,2010-09-09,ปทุมวัน,สำนักการโยธา,กรุงเทพมหานคร
22,ถนน,ถนนจอมทอง,ถนนสุขสวัสดิ์,สะพานบางขุนเทียน,16.30-18.50,2.05,2010-03-31,จอมทอง,สำนักการโยธา,กรุงเทพมหานคร
23,ถนน,ถนนจักรพงษ์,ถนนสามเสน,ถนนราชดำเนินกลาง,20.00,0.675,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
